case,observable,time,C,SE_C,damped_fit,real_exponential_fit
driven_T2_T8,I1_minus_I3,0.54,-0.2790232461906083,0.014618443710866834,-0.27351123397121213,0.12564383557886025
driven_T2_T8,I1_minus_I3,0.55,-0.2851751542635875,0.01454854587706074,-0.27842043555394985,0.11614132592322647
driven_T2_T8,I1_minus_I3,0.56,-0.28932339473450297,0.014481188831539408,-0.28147082450692607,0.10735749609250726
driven_T2_T8,I1_minus_I3,0.5700000000000001,-0.2916734777149341,0.014398753996129084,-0.2828209528236281,0.09923799195190493
driven_T2_T8,I1_minus_I3,0.58,-0.29236639429471556,0.014314138787488405,-0.28262308740780484,0.09173257019854891
driven_T2_T8,I1_minus_I3,0.59,-0.29151651604894013,0.014221043932634105,-0.2810230326025888,0.08479478745710514
driven_T2_T8,I1_minus_I3,0.6,-0.28925472989950674,0.014124909681186145,-0.27816000180764555,0.07838171288925005
driven_T2_T8,I1_minus_I3,0.61,-0.2856988465788165,0.014026787474114115,-0.27416653423768816,0.07245366253864031
driven_T2_T8,I1_minus_I3,0.62,-0.2809788227479531,0.013921993584433036,-0.2691684530179698,0.06697395376751378
driven_T2_T8,I1_minus_I3,0.63,-0.27517719973274746,0.013804242854140112,-0.2632848609604652,0.06190867826537964
driven_T2_T8,I1_minus_I3,0.64,-0.26839280237726837,0.013689507307846583,-0.25662817051706754,0.057226492225181454
driven_T2_T8,I1_minus_I3,0.65,-0.26073358530734275,0.01356607547888769,-0.2493041645620865,0.052898422388547674
driven_T2_T8,I1_minus_I3,0.66,-0.2523172191966405,0.013445045903133244,-0.24141208481452192,0.04889768675994245
driven_T2_T8,I1_minus_I3,0.67,-0.24326329480541725,0.013320686769452153,-0.233044744870021,0.04519952888029963
driven_T2_T8,I1_minus_I3,0.68,-0.23374581044223725,0.013195438619606726,-0.22428866497217106,0.041781064634629855
driven_T2_T8,I1_minus_I3,0.6900000000000001,-0.2239356992312669,0.013078885392981875,-0.2152242258120117,0.03862114064564882
driven_T2_T8,I1_minus_I3,0.7000000000000001,-0.21387879803049661,0.01297624555845136,-0.20592583880261534,0.03570020337717039
driven_T2_T8,I1_minus_I3,0.71,-0.20356227201123575,0.012879563987019477,-0.19646213043160518,0.03300017813727931
driven_T2_T8,I1_minus_I3,0.72,-0.19309141435437505,0.012798152214111876,-0.18689613844795727,0.030504357232557643
driven_T2_T8,I1_minus_I3,0.73,-0.1824126530631755,0.012732307850189074,-0.17728551778983054,0.028197296581266507
driven_T2_T8,I1_minus_I3,0.74,-0.17170124389537345,0.012690977094901615,-0.1676827543070178,0.02606472014572721
driven_T2_T8,I1_minus_I3,0.75,-0.1608926017907224,0.012655660944524798,-0.1581353844745102,0.024093431592531866
driven_T2_T8,I1_minus_I3,0.76,-0.15006302812049419,0.01262163106899789,-0.14868621943226348,0.022271232633939205
driven_T2_T8,I1_minus_I3,0.77,-0.13926113464992373,0.012595491824357367,-0.13937357182025248,0.020586847545153514
driven_T2_T8,I1_minus_I3,0.78,-0.12852069163504942,0.012578522479964953,-0.13023148400706272,0.01902985339040171
driven_T2_T8,I1_minus_I3,0.79,-0.11796689867083834,0.012565629101604964,-0.12128995643439108,0.017590615526049114
driven_T2_T8,I1_minus_I3,0.8,-0.10752597787795333,0.012556232830425151,-0.11257517491876316,0.01626022798164859
driven_T2_T8,I1_minus_I3,0.81,-0.09734727481255584,0.012551083341726457,-0.10410973586540814,0.01503045835000247
driven_T2_T8,I1_minus_I3,0.8200000000000001,-0.0873486372773201,0.012539477834522394,-0.0959128684574894,0.013893696845218139
driven_T2_T8,I1_minus_I3,0.8300000000000001,-0.0775664542347549,0.012514699413615207,-0.08800065298672922,0.012842909213529926
driven_T2_T8,I1_minus_I3,0.84,-0.06805497712058861,0.01248303276101585,-0.08038623458887387,0.011871593205500254
driven_T2_T8,I1_minus_I3,0.85,-0.05885750231212621,0.012432694500607341,-0.07308003173945085,0.010973738340251274
driven_T2_T8,I1_minus_I3,0.86,-0.05000729900271161,0.0123762584847036,-0.0660899389519011,0.010143788712748965
driven_T2_T8,I1_minus_I3,0.87,-0.04150191132713406,0.012307423319303132,-0.059421523201504726,0.009376608613991904
driven_T2_T8,I1_minus_I3,0.88,-0.03334455568951155,0.012216946003343351,-0.05307821367464298,0.008667450751363357
driven_T2_T8,I1_minus_I3,0.89,-0.025533720545497685,0.012115595650004113,-0.047061484513949765,0.008011926872494943
driven_T2_T8,I1_minus_I3,0.9,-0.018075632793534607,0.011997396791823812,-0.04137103029593559,0.007405980610862952
driven_T2_T8,I1_minus_I3,0.91,-0.011048784563763684,0.011866234003820874,-0.036004934038840426,0.00684586238508664
driven_T2_T8,I1_minus_I3,0.92,-0.00437994334335602,0.011720326769794533,-0.030959827594940422,0.0063281061966057855
driven_T2_T8,I1_minus_I3,0.93,0.0020069777395297023,0.01156750476673246,-0.02623104433345195,0.0058495081821621706
driven_T2_T8,I1_minus_I3,0.9400000000000001,0.008009016242708888,0.011409961111039589,-0.02181276406771184,0.0054071067883682275
driven_T2_T8,I1_minus_I3,0.9500000000000001,0.013786680650197463,0.01124547533905632,-0.01769815022363,0.004998164445683514
driven_T2_T8,I1_minus_I3,0.96,0.019292922183597835,0.01108787030596499,-0.013879479285696128,0.004620150628398047
driven_T2_T8,I1_minus_I3,0.97,0.02444319537432099,0.01094441789992679,-0.01034826259224544,0.004270726195798018
driven_T2_T8,I1_minus_I3,0.98,0.029141483196747912,0.01079783613544419,-0.007095360583441542,0.003947728917617449
driven_T2_T8,I1_minus_I3,0.99,0.03348813579953662,0.01064577608585927,-0.0041110896336933305,0.003649160094207571
driven_T2_T8,I1_minus_I3,1.0,0.03751676600430176,0.010484167677090013,-0.001385321625179609,0.003373172188629852
equilibrium_T5_T5,sin_theta1,0.05,0.3410942667922008,0.0006860632177830725,0.3516928808530264,0.38723727038334294
equilibrium_T5_T5,sin_theta1,0.06,0.31475304946634497,0.0007148232742490364,0.31949953287243543,0.33163062963072326
equilibrium_T5_T5,sin_theta1,0.07,0.28873941981674256,0.0007450462819923748,0.28915042511770506,0.28400901184020083
equilibrium_T5_T5,sin_theta1,0.08,0.26322745807387166,0.000771342329563314,0.26058602047584756,0.24322578073160786
equilibrium_T5_T5,sin_theta1,0.09,0.23845493405712526,0.000791504658561596,0.23374562249468883,0.20829895512536128
equilibrium_T5_T5,sin_theta1,0.1,0.21449867624347113,0.0008130903466058059,0.20856771818787076,0.1783875647384398
equilibrium_T5_T5,sin_theta1,0.11,0.19148878926934748,0.0008289690031527804,0.18499029130410213,0.1527714012495139
equilibrium_T5_T5,sin_theta1,0.12,0.16950217101263615,0.0008322543279930918,0.16295110767554108,0.13083367707811283
equilibrium_T5_T5,sin_theta1,0.13,0.14863188802677652,0.0008403035003919365,0.1423879742132103,0.1120461743348339
equilibrium_T5_T5,sin_theta1,0.14,0.12887230883681927,0.0008427096886450054,0.12323897306884185,0.09595652635809172
equilibrium_T5_T5,sin_theta1,0.15,0.11020606142287304,0.0008390762678701254,0.1054426724328471,0.08217732560145606
equilibrium_T5_T5,sin_theta1,0.16,0.09277016380763786,0.0008326056204980503,0.08893831538751601,0.070376795610612
equilibrium_T5_T5,sin_theta1,0.17,0.07651187814047335,0.0008264228815056,0.0736659881833477,0.06027080248922213
equilibrium_T5_T5,sin_theta1,0.18,0.061392264218455436,0.0008128804189338203,0.05956676925485236,0.051616013505267885
equilibrium_T5_T5,sin_theta1,0.19,0.04743113958398838,0.0007984861963412098,0.046582860240476275,0.0442040381103673
equilibrium_T5_T5,sin_theta1,0.2,0.0345730318430698,0.0007799962534933504,0.03465770021969975,0.037856410299167746
equilibrium_T5_T5,sin_theta1,0.21,0.022779337103301284,0.0007676953061714816,0.023736064329025083,0.03242029149374984
equilibrium_T5_T5,sin_theta1,0.22,0.012010456604233846,0.0007520574522565347,0.013764147867684725,0.027764790486825817
equilibrium_T5_T5,sin_theta1,0.23,0.002285527626854219,0.0007364749240609135,0.004689636953609488,0.023777811835095575
equilibrium_T5_T5,sin_theta1,0.24,-0.00647734690997652,0.0007253954210489897,-0.003538233259363596,0.02036335681817884
equilibrium_T5_T5,sin_theta1,0.25,-0.014330561203278646,0.0007098394151733524,-0.010968631840771317,0.017439211975444742
