theta1,theta3,density
-1.36136,-1.98968,0.0232988
-1.36136,-1.78024,0.0199868
-1.36136,-1.5708,0.0166888
-1.36136,-1.36136,0.0139855
-1.36136,-1.15192,0.0117215
-1.36136,-0.942478,0.0102256
-1.36136,-0.733038,0.0092198
-1.36136,-0.523599,0.00828358
-1.36136,-0.314159,0.00771621
-1.36136,-0.10472,0.00750716
-1.36136,0.10472,0.00743139
-1.36136,0.314159,0.007608
-1.36136,0.523599,0.00809833
-1.36136,0.733038,0.00885025
-1.36136,0.942478,0.0101382
-1.36136,1.15192,0.0118478
-1.36136,1.36136,0.0135839
-1.36136,1.5708,0.0160279
-1.36136,1.78024,0.0189816
-1.36136,1.98968,0.0222791
-1.36136,2.19911,0.0254686
-1.36136,2.40855,0.028664
-1.36136,2.61799,0.0317343
-1.36136,2.82743,0.0340502
-1.36136,3.03687,0.0353309
-1.15192,-3.03687,0.0304775
-1.15192,-2.82743,0.0297442
-1.15192,-2.61799,0.0280851
-1.15192,-2.40855,0.0255083
-1.15192,-2.19911,0.0226801
-1.15192,-1.98968,0.0196955
-1.15192,-1.78024,0.0169379
-1.15192,-1.5708,0.0140843
-1.15192,-1.36136,0.0118901
-1.15192,-1.15192,0.0101035
-1.15192,-0.942478,0.00874797
-1.15192,-0.733038,0.00779331
-1.15192,-0.523599,0.00708139
-1.15192,-0.314159,0.00662736
-1.15192,-0.10472,0.00646039
-1.15192,0.10472,0.00633095
-1.15192,0.314159,0.00645066
-1.15192,0.523599,0.00689568
-1.15192,0.733038,0.00757045
-1.15192,0.942478,0.00859698
-1.15192,1.15192,0.00995321
-1.15192,1.36136,0.0115423
-1.15192,1.5708,0.0137543
-1.15192,1.78024,0.0162491
-1.15192,1.98968,0.0189643
-1.15192,2.19911,0.021847
-1.15192,2.40855,0.0246851
-1.15192,2.61799,0.0272238
-1.15192,2.82743,0.0292231
-1.15192,3.03687,0.0304657
-0.942478,-3.03687,0.0267995
-0.942478,-2.82743,0.0259083
-0.942478,-2.61799,0.0243306
-0.942478,-2.40855,0.0220924
-0.942478,-2.19911,0.0194489
-0.942478,-1.98968,0.016867
-0.942478,-1.78024,0.0144825
-0.942478,-1.5708,0.0122459
-0.942478,-1.36136,0.0103558
-0.942478,-1.15192,0.00876201
-0.942478,-0.942478,0.00757922
-0.942478,-0.733038,0.00671117
-0.942478,-0.523599,0.00614553
-0.942478,-0.314159,0.00575668
-0.942478,-0.10472,0.00560304
-0.942478,0.10472,0.00560803
-0.942478,0.314159,0.00566096
-0.942478,0.523599,0.00609021
-0.942478,0.733038,0.00661776
-0.942478,0.942478,0.00743655
-0.942478,1.15192,0.00860547
-0.942478,1.36136,0.0100133
-0.942478,1.5708,0.0118941
-0.942478,1.78024,0.0141574
-0.942478,1.98968,0.0165342
-0.942478,2.19911,0.0191725
-0.942478,2.40855,0.0215401
-0.942478,2.61799,0.0234924
-0.942478,2.82743,0.0252352
-0.942478,3.03687,0.0265158
-0.733038,-3.03687,0.023887
-0.733038,-2.82743,0.0230831
-0.733038,-2.61799,0.0215274
-0.733038,-2.40855,0.0195186
-0.733038,-2.19911,0.0172846
-0.733038,-1.98968,0.0149996
-0.733038,-1.78024,0.0127284
-0.733038,-1.5708,0.010791
-0.733038,-1.36136,0.00908986
-0.733038,-1.15192,0.00777173
-0.733038,-0.942478,0.00660128
-0.733038,-0.733038,0.00588519
-0.733038,-0.523599,0.00542134
-0.733038,-0.314159,0.00513946
-0.733038,-0.10472,0.00499914
-0.733038,0.10472,0.00502259
-0.733038,0.314159,0.00516771
-0.733038,0.523599,0.00556826
-0.733038,0.733038,0.00611476
-0.733038,0.942478,0.00678007
-0.733038,1.15192,0.00772326
-0.733038,1.36136,0.00893345
-0.733038,1.5708,0.0105331
-0.733038,1.78024,0.012497
-0.733038,1.98968,0.0147189
-0.733038,2.19911,0.0170347
-0.733038,2.40855,0.0190635
-0.733038,2.61799,0.0208298
-0.733038,2.82743,0.0224881
-0.733038,3.03687,0.0235523
-0.523599,-3.03687,0.0215492
-0.523599,-2.82743,0.0209074
-0.523599,-2.61799,0.0194951
-0.523599,-2.40855,0.0176055
-0.523599,-2.19911,0.0155387
-0.523599,-1.98968,0.0135312
-0.523599,-1.78024,0.0114189
-0.523599,-1.5708,0.00975305
-0.523599,-1.36136,0.00823349
-0.523599,-1.15192,0.00705674
-0.523599,-0.942478,0.00604239
-0.523599,-0.733038,0.00539633
-0.523599,-0.523599,0.00488014
-0.523599,-0.314159,0.00462463
-0.523599,-0.10472,0.00459625
-0.523599,0.10472,0.00459352
-0.523599,0.314159,0.00474723
-0.523599,0.523599,0.00508703
-0.523599,0.733038,0.00564363
-0.523599,0.942478,0.00624063
-0.523599,1.15192,0.00703841
-0.523599,1.36136,0.00823622
-0.523599,1.5708,0.0097059
-0.523599,1.78024,0.0114415
-0.523599,1.98968,0.0133534
-0.523599,2.19911,0.0153687
-0.523599,2.40855,0.0174137
-0.523599,2.61799,0.0190102
-0.523599,2.82743,0.0205027
-0.523599,3.03687,0.0214096
-0.314159,-3.03687,0.0200899
-0.314159,-2.82743,0.0195454
-0.314159,-2.61799,0.0183327
-0.314159,-2.40855,0.0164283
-0.314159,-2.19911,0.0144373
-0.314159,-1.98968,0.0125296
-0.314159,-1.78024,0.0105499
-0.314159,-1.5708,0.00903063
-0.314159,-1.36136,0.0077305
-0.314159,-1.15192,0.00675127
-0.314159,-0.942478,0.0057643
-0.314159,-0.733038,0.00502916
-0.314159,-0.523599,0.00461621
-0.314159,-0.314159,0.00438271
-0.314159,-0.10472,0.00424475
-0.314159,0.10472,0.00426371
-0.314159,0.314159,0.00443317
-0.314159,0.523599,0.00477808
-0.314159,0.733038,0.00528734
-0.314159,0.942478,0.0058838
-0.314159,1.15192,0.0066609
-0.314159,1.36136,0.0078147
-0.314159,1.5708,0.00912463
-0.314159,1.78024,0.0106032
-0.314159,1.98968,0.0125329
-0.314159,2.19911,0.0144785
-0.314159,2.40855,0.0161828
-0.314159,2.61799,0.0177628
-0.314159,2.82743,0.0191392
-0.314159,3.03687,0.0199414
-0.10472,-3.03687,0.0192993
-0.10472,-2.82743,0.0187785
-0.10472,-2.61799,0.0175513
-0.10472,-2.40855,0.0158804
-0.10472,-2.19911,0.0139122
-0.10472,-1.98968,0.0120511
-0.10472,-1.78024,0.0102862
-0.10472,-1.5708,0.00879572
-0.10472,-1.36136,0.00747693
-0.10472,-1.15192,0.00649854
-0.10472,-0.942478,0.00562378
-0.10472,-0.733038,0.00483096
-0.10472,-0.523599,0.00441776
-0.10472,-0.314159,0.00423603
-0.10472,-0.10472,0.00409356
-0.10472,0.10472,0.00413465
-0.10472,0.314159,0.00431336
-0.10472,0.523599,0.00457522
-0.10472,0.733038,0.00498368
-0.10472,0.942478,0.00559993
-0.10472,1.15192,0.0063786
-0.10472,1.36136,0.0074265
-0.10472,1.5708,0.00872019
-0.10472,1.78024,0.0102532
-0.10472,1.98968,0.0120966
-0.10472,2.19911,0.013938
-0.10472,2.40855,0.0155797
-0.10472,2.61799,0.0171776
-0.10472,2.82743,0.0184589
-0.10472,3.03687,0.0191498
0.10472,-3.03687,0.0191936
0.10472,-2.82743,0.0185322
0.10472,-2.61799,0.0173795
0.10472,-2.40855,0.0157576
0.10472,-2.19911,0.0139046
0.10472,-1.98968,0.012074
0.10472,-1.78024,0.0104289
0.10472,-1.5708,0.00887419
0.10472,-1.36136,0.00749768
0.10472,-1.15192,0.00642456
0.10472,-0.942478,0.00563998
0.10472,-0.733038,0.00498943
0.10472,-0.523599,0.00442267
0.10472,-0.314159,0.00420328
0.10472,-0.10472,0.0041043
0.10472,0.10472,0.00412462
0.10472,0.314159,0.00428605
0.10472,0.523599,0.00455306
0.10472,0.733038,0.00497122
0.10472,0.942478,0.00567265
0.10472,1.15192,0.00647407
0.10472,1.36136,0.00753972
0.10472,1.5708,0.00877711
0.10472,1.78024,0.0101617
0.10472,1.98968,0.0120437
0.10472,2.19911,0.0138601
0.10472,2.40855,0.0155414
