case,split,probe,streams,raw_snapshots,mean_iat_snapshots,median_stream_iat,max_stream_iat,effective_samples
equilibrium_dt2p5e-4,validation,I3,16,1600016,47.97181596225497,47.47640469311949,71.79273062207616,33353.25060987725
equilibrium_dt2p5e-4,validation,log_I1,16,1600016,44.89152422258265,42.67898318264312,56.401250798864695,35641.8283341583
equilibrium_dt2p5e-4,validation,log_I2,16,1600016,115.99350745872515,106.65404184326688,200.61411560997504,13794.013432772053
equilibrium_dt2p5e-4,validation,log_I3,16,1600016,43.45373945625387,42.66746821514489,52.92466942474243,36821.134844120425
equilibrium_dt2p5e-4,validation,cos_theta1,16,1600016,52.046050483185596,51.699923428965405,66.53990744422103,30742.313492488996
equilibrium_dt2p5e-4,validation,sin_theta1,16,1600016,19.302492578338704,19.25241442841891,19.872454191668528,82891.67803103011
equilibrium_dt2p5e-4,validation,cos_theta3,16,1600016,55.484570640404066,54.51083647908433,66.98564382663365,28837.134027218417
equilibrium_dt2p5e-4,validation,sin_theta3,16,1600016,19.39973031081292,19.39895645011226,20.614202056788923,82476.1980896297
equilibrium_dt2p5e-4,validation,I1_minus_I3,16,1600016,36.22266151971239,36.06840125481192,37.543048300358684,44171.68515155272
equilibrium_dt2p5e-4,validation,I1_plus_I3,16,1600016,89.7452620427855,85.08826487754806,147.91652374762162,17828.41749614818
