bin_left,bin_right,bin_center,forward_count,reverse_mirror_count,log_probability_ratio,standard_error,accepted
1.1209988858715612,1.207229569400143,1.164114227635852,1260,396,1.157452788691043,0.05760992378838319,1
1.207229569400143,1.2934602529287247,1.2503449111644338,970,289,1.2108693833849964,0.06701593428064921,1
1.2934602529287247,1.3796909364573064,1.3365755946930156,734,186,1.3727623549013144,0.08208984045656925,1
1.3796909364573064,1.4659216199858882,1.4228062782215973,540,136,1.378914253822268,0.09594161260017699,1
1.4659216199858882,1.55215230351447,1.509036961750179,431,88,1.5887712756255412,0.1169778696099632,1
1.55215230351447,1.6383829870430517,1.5952676452787609,335,73,1.5236710906766753,0.1291654162841276,1
1.6383829870430517,1.7246136705716326,1.6814983288073422,265,50,1.667706820558076,0.154186850625014,1
1.7246136705716326,1.8108443541002144,1.7677290123359235,211,45,1.5451956437057468,0.1641997524818878,0
1.8108443541002144,1.8970750376287961,1.8539596958645053,189,34,1.715386490443481,0.1862867950148041,0
1.8970750376287961,1.983305721157378,1.940190379393087,179,13,2.622436448379218,0.2872449635796037,0
1.983305721157378,2.0695364046859597,2.026421062921669,113,17,1.8941744746561244,0.2601405138264484,0
2.0695364046859597,2.1557670882145414,2.1126517464502506,112,7,2.772588722239781,0.3895968612369898,0
2.1557670882145414,2.241997771743123,2.1988824299788323,100,6,2.8134107167600364,0.42031734043061636,0
2.241997771743123,2.328228455271705,2.285113113507414,94,4,3.157000421150113,0.510527470242631,0
2.328228455271705,2.4144591388002867,2.371343797035996,77,4,2.957511060733793,0.5128225940683708,0
2.4144591388002867,2.5006898223288676,2.457574480564577,65,7,2.228477120840324,0.3977961264790775,0
2.5006898223288676,2.5869205058574494,2.5438051640931585,49,4,2.5055259369907357,0.5200078492343227,0
2.5869205058574494,2.673151189386031,2.6300358476217403,67,7,2.2587824703356527,0.39721847387989295,0
2.673151189386031,2.759381872914613,2.716266531150322,55,4,2.6210388241125804,0.5178627406773132,0
2.759381872914613,2.8456125564431947,2.802497214678904,48,3,2.772588722239781,0.5951190357119042,0
2.8456125564431947,2.9318432399717764,2.8887278982074855,59,4,2.691243082785829,0.516671222870379,0
2.9318432399717764,3.018073923500358,2.9749585817360673,54,3,2.8903717578961645,0.5931710140017395,0
3.018073923500358,3.104304607028939,3.0611892652646486,34,1,3.5263605246161616,1.0145993123917847,0
3.104304607028939,3.190535290557521,3.14741994879323,41,0,nan,nan,0
3.190535290557521,3.2767659740861026,3.2336506323218117,36,0,nan,nan,0
3.2767659740861026,3.3629966576146844,3.3198813158503935,28,0,nan,nan,0
3.3629966576146844,3.449227341143266,3.4061119993789752,22,2,2.3978952727983707,0.7385489458759964,0
