label,temperature,bin_index,abs_rate_left,abs_rate_right,abs_rate_center,positive_count,negative_count,supported,log_ratio_over_t
T6,6.0,66,0.22099551313053906,0.2243439299961533,0.2226697215633462,720,714,1,0.00041841248352582897
T6,6.0,67,0.2243439299961533,0.2276923468617675,0.2260181384289604,719,676,1,0.0030834140839041324
T6,6.0,68,0.2276923468617675,0.23104076372738175,0.22936655529457461,645,694,1,-0.0036610821855516014
T6,6.0,69,0.23104076372738175,0.23438918059299596,0.23271497216018885,601,597,1,0.0003338910571302724
T6,6.0,70,0.23438918059299596,0.2377375974586102,0.2360633890258031,562,538,1,0.0021821644865953295
T6,6.0,71,0.2377375974586102,0.24108601432422444,0.2394118058914173,507,518,1,-0.0010732119334149926
T6,6.0,72,0.24108601432422444,0.24443443118983865,0.24276022275703155,482,458,1,0.0025537464968207624
T6,6.0,73,0.24443443118983865,0.2477828480554529,0.2461086396226458,513,440,1,0.007675055912923138
T6,6.0,74,0.2477828480554529,0.25113126492106713,0.24945705648826,456,445,1,0.0012209263674072897
T6,6.0,75,0.25113126492106713,0.25447968178668134,0.25280547335387427,363,406,1,-0.005597516266844095
T6,6.0,76,0.25447968178668134,0.25782809865229556,0.2561538902194884,395,379,1,0.0020674779909347725
T6,6.0,77,0.25782809865229556,0.2611765155179098,0.2595023070851027,368,344,1,0.003372064039776624
T6,6.0,78,0.2611765155179098,0.26452493238352404,0.26285072395071696,336,344,1,-0.0011765248705097081
T6,6.0,79,0.26452493238352404,0.26787334924913825,0.2661991408163311,306,308,1,-0.0003257340510596821
T10,10.0,0,0.0,0.0033517432102488447,0.0016758716051244224,21281,21147,1,0.00031583021953432005
T10,10.0,1,0.0033517432102488447,0.0067034864204976894,0.005027614815373267,21006,20874,1,0.00031518729013618426
T10,10.0,2,0.0067034864204976894,0.010055229630746534,0.008379358025622112,20513,20626,1,-0.0002746792196938685
T10,10.0,3,0.010055229630746534,0.013406972840995379,0.011731101235870955,20017,20114,1,-0.00024170887568598985
T10,10.0,4,0.013406972840995379,0.016758716051244224,0.015082844446119802,19590,19533,1,0.00014569445168072828
T10,10.0,5,0.016758716051244224,0.020110459261493067,0.018434587656368646,18649,18903,1,-0.0006764057139359409
T10,10.0,6,0.020110459261493067,0.023462202471741914,0.021786330866617493,18369,18245,1,0.0003386695637758065
T10,10.0,7,0.023462202471741914,0.026813945681990758,0.025138074076866336,17642,17521,1,0.0003441130665812363
T10,10.0,8,0.026813945681990758,0.0301656888922396,0.02848981728711518,17066,16825,1,0.0007111152291800833
T10,10.0,9,0.0301656888922396,0.03351743210248845,0.03184156049736402,16147,16211,1,-0.00019778751299760617
T10,10.0,10,0.03351743210248845,0.03686917531273729,0.035193303707612866,15591,15740,1,-0.00047557091474213634
T10,10.0,11,0.03686917531273729,0.040220918522986135,0.03854504691786172,15163,15201,1,-0.00012514826715401115
T10,10.0,12,0.040220918522986135,0.04357266173323498,0.04189679012811055,14470,14690,1,-0.0007544724771196703
T10,10.0,13,0.04357266173323498,0.04692440494348383,0.045248533338359403,13496,13594,1,-0.00036175868403896686
T10,10.0,14,0.04692440494348383,0.05027614815373267,0.048600276548608254,13106,13070,1,0.00013753064905873156
T10,10.0,15,0.05027614815373267,0.053627891363981516,0.05195201975885709,12481,12602,1,-0.00048240217917735345
T10,10.0,16,0.053627891363981516,0.05697963457423036,0.05530376296910594,11925,11851,1,0.0003112392284046707
T10,10.0,17,0.05697963457423036,0.0603313777844792,0.05865550617935478,11365,11329,1,0.00015863237065775017
T10,10.0,18,0.0603313777844792,0.06368312099472805,0.06200724938960363,10848,10927,1,-0.0003628029695284296
T10,10.0,19,0.06368312099472805,0.0670348642049769,0.06535899259985248,10234,10209,1,0.00012229130980108757
T10,10.0,20,0.0670348642049769,0.07038660741522573,0.06871073581010131,9869,9997,1,-0.0006443258397586751
T10,10.0,21,0.07038660741522573,0.07373835062547458,0.07206247902035015,9341,9312,1,0.00015547109508148746
T10,10.0,22,0.07373835062547458,0.07709009383572343,0.07541422223059902,8840,8839,1,5.65642853705602e-06
T10,10.0,23,0.07709009383572343,0.08044183704597227,0.07876596544084785,8428,8404,1,0.00014258564795942746
T10,10.0,24,0.08044183704597227,0.08379358025622112,0.08211770865109669,7983,7818,1,0.00104427566464494
T10,10.0,25,0.08379358025622112,0.08714532346646996,0.08546945186134554,7680,7676,1,2.604845070637075e-05
T10,10.0,26,0.08714532346646996,0.09049706667671881,0.08882119507159439,7100,7152,1,-0.00036486269119716393
T10,10.0,27,0.09049706667671881,0.09384880988696766,0.09217293828184323,6954,6670,1,0.00208485868290686
T10,10.0,28,0.09384880988696766,0.0972005530972165,0.09552468149209208,6399,6530,1,-0.0010132607565508244
T10,10.0,29,0.0972005530972165,0.10055229630746534,0.09887642470234093,6073,6157,1,-0.0006868464506817403
T10,10.0,30,0.10055229630746534,0.10390403951771418,0.10222816791258976,5771,5751,1,0.00017358114986061553
T10,10.0,31,0.10390403951771418,0.10725578272796303,0.1055799111228386,5420,5541,1,-0.0011039587216828853
T10,10.0,32,0.10725578272796303,0.11060752593821188,0.10893165433308746,5123,5176,1,-0.0005146176120767084
T10,10.0,33,0.11060752593821188,0.11395926914846072,0.1122833975433363,4845,4830,1,0.00015503888391240928
T10,10.0,34,0.11395926914846072,0.11731101235870957,0.11563514075358514,4587,4599,1,-0.0001306336471375912
T10,10.0,35,0.11731101235870957,0.1206627555689584,0.11898688396383399,4381,4353,1,0.0003205873130800432
T10,10.0,36,0.1206627555689584,0.12401449877920726,0.12233862717408284,4341,4131,1,0.0024792613951414516
T10,10.0,37,0.12401449877920726,0.1273662419894561,0.12569037038433167,3755,3782,1,-0.00035823425100838376
T10,10.0,38,0.1273662419894561,0.13071798519970496,0.1290421135945805,3706,3702,1,5.399568559311068e-05
T10,10.0,39,0.13071798519970496,0.1340697284099538,0.13239385680482937,3562,3525,1,0.0005220874301619007
T10,10.0,40,0.1340697284099538,0.13742147162020263,0.1357456000150782,3251,3263,1,-0.00018421881447076648
