theta1,theta3,density
-2.57611,0.565487,0.0198379
-2.57611,0.69115,0.0205107
-2.57611,0.816814,0.019795
-2.57611,0.942478,0.0244181
-2.57611,1.06814,0.0273523
-2.57611,1.19381,0.0299287
-2.57611,1.31947,0.0331491
-2.57611,1.44513,0.0334926
-2.57611,1.5708,0.0355251
-2.57611,1.69646,0.0415509
-2.57611,1.82212,0.0432398
-2.57611,1.94779,0.0472046
-2.57611,2.07345,0.0551054
-2.57611,2.19911,0.0570376
-2.57611,2.32478,0.064781
-2.57611,2.45044,0.0634356
-2.57611,2.57611,0.0654108
-2.57611,2.70177,0.0700626
-2.57611,2.82743,0.0693612
-2.57611,2.9531,0.0753298
-2.57611,3.07876,0.0760311
-2.45044,-3.07876,0.0720234
-2.45044,-2.9531,0.0717658
-2.45044,-2.82743,0.066928
-2.45044,-2.70177,0.0686169
-2.45044,-2.57611,0.0692324
-2.45044,-2.45044,0.0631923
-2.45044,-2.32478,0.0609451
-2.45044,-2.19911,0.0576531
-2.45044,-2.07345,0.0508258
-2.45044,-1.94779,0.0460166
-2.45044,-1.82212,0.0394039
-2.45044,-1.69646,0.0388457
-2.45044,-1.5708,0.0343085
-2.45044,-1.44513,0.0333924
-2.45044,-1.31947,0.0305584
-2.45044,-1.19381,0.0279821
-2.45044,-1.06814,0.0237597
-2.45044,-0.942478,0.0208112
-2.45044,-0.816814,0.0205679
-2.45044,-0.69115,0.0182492
-2.45044,-0.565487,0.0169467
-2.45044,-0.439823,0.0176194
-2.45044,-0.314159,0.0171328
-2.45044,-0.188496,0.0158303
-2.45044,-0.0628319,0.0167463
-2.45044,0.0628319,0.0177339
-2.45044,0.188496,0.0164171
-2.45044,0.314159,0.0177912
-2.45044,0.439823,0.0194658
-2.45044,0.565487,0.0185927
-2.45044,0.69115,0.0193084
-2.45044,0.816814,0.0196948
-2.45044,0.942478,0.0224286
-2.45044,1.06814,0.0244324
-2.45044,1.19381,0.0285403
-2.45044,1.31947,0.0320899
-2.45044,1.44513,0.033235
-2.45044,1.5708,0.0375003
-2.45044,1.69646,0.036985
-2.45044,1.82212,0.042653
-2.45044,1.94779,0.044986
-2.45044,2.07345,0.0475481
-2.45044,2.19911,0.0516845
-2.45044,2.32478,0.0593707
-2.45044,2.45044,0.0630348
-2.45044,2.57611,0.0648096
-2.45044,2.70177,0.0667419
-2.45044,2.82743,0.0686599
-2.45044,2.9531,0.074199
-2.45044,3.07876,0.0726532
-2.32478,-3.07876,0.0717372
-2.32478,-2.9531,0.071866
-2.32478,-2.82743,0.0647381
-2.32478,-2.70177,0.0667849
-2.32478,-2.57611,0.0646522
-2.32478,-2.45044,0.0581541
-2.32478,-2.32478,0.0579966
-2.32478,-2.19911,0.0519565
-2.32478,-2.07345,0.0477055
-2.32478,-1.94779,0.0446998
-2.32478,-1.82212,0.0385451
-2.32478,-1.69646,0.0374287
-2.32478,-1.5708,0.0343514
-2.32478,-1.44513,0.0307302
-2.32478,-1.31947,0.0301147
-2.32478,-1.19381,0.0270088
-2.32478,-1.06814,0.0236452
-2.32478,-0.942478,0.0210689
-2.32478,-0.816814,0.0181633
-2.32478,-0.69115,0.0166318
-2.32478,-0.565487,0.0166318
-2.32478,-0.439823,0.0167463
-2.32478,-0.314159,0.015773
-2.32478,-0.188496,0.0169753
-2.32478,-0.0628319,0.0160593
-2.32478,0.0628319,0.0149715
-2.32478,0.188496,0.0154868
-2.32478,0.314159,0.0170469
-2.32478,0.439823,0.0175335
-2.32478,0.565487,0.0168751
-2.32478,0.69115,0.0182206
-2.32478,0.816814,0.0184925
-2.32478,0.942478,0.019795
-2.32478,1.06814,0.0215841
-2.32478,1.19381,0.0244038
-2.32478,1.31947,0.0272521
-2.32478,1.44513,0.0300861
-2.32478,1.5708,0.034194
-2.32478,1.69646,0.0354535
-2.32478,1.82212,0.0385595
-2.32478,1.94779,0.0424383
-2.32478,2.07345,0.0457876
-2.32478,2.19911,0.0471473
-2.32478,2.32478,0.0548907
-2.32478,2.45044,0.0609881
-2.32478,2.57611,0.0593134
-2.32478,2.70177,0.0650243
-2.32478,2.82743,0.0662839
-2.32478,2.9531,0.0703488
-2.32478,3.07876,0.0703918
-2.19911,-3.07876,0.0649957
-2.19911,-2.9531,0.0677295
-2.19911,-2.82743,0.0606159
-2.19911,-2.70177,0.0597285
-2.19911,-2.57611,0.0578678
-2.19911,-2.45044,0.0574957
-2.19911,-2.32478,0.0516845
-2.19911,-2.19911,0.0473477
-2.19911,-2.07345,0.0440843
-2.19911,-1.94779,0.0408209
-2.19911,-1.82212,0.0358543
-2.19911,-1.69646,0.0335069
-2.19911,-1.5708,0.0332636
-2.19911,-1.44513,0.0304582
-2.19911,-1.31947,0.0276386
-2.19911,-1.19381,0.023316
-2.19911,-1.06814,0.0224286
-2.19911,-0.942478,0.0200097
-2.19911,-0.816814,0.0173761
-2.19911,-0.69115,0.0170183
-2.19911,-0.565487,0.0154009
