h,a_eff,rmse
0.2,0.666109,0.0022659
0.2,0.667609,0.00222598
0.2,0.669109,0.00218608
0.2,0.670609,0.00214621
0.2,0.672109,0.00210635
0.2,0.673609,0.00206653
0.2,0.675109,0.00202673
0.2,0.676609,0.00198696
0.2,0.678109,0.00194722
0.2,0.679609,0.00190752
0.2,0.681109,0.00186785
0.2,0.682609,0.00182823
0.2,0.684109,0.00178864
0.2,0.685609,0.00174911
0.2,0.687109,0.00170962
0.2,0.688609,0.00167019
0.2,0.690109,0.00163082
0.2,0.691609,0.00159151
0.2,0.693109,0.00155227
0.2,0.694609,0.00151311
0.2,0.696109,0.00147403
0.2,0.697609,0.00143504
0.2,0.699109,0.00139614
0.2,0.700609,0.00135735
0.2,0.702109,0.00131867
0.2,0.703609,0.00128013
0.2,0.705109,0.00124172
0.2,0.706609,0.00120346
0.2,0.708109,0.00116538
0.2,0.709609,0.00112748
0.2,0.711109,0.00108979
0.2,0.712609,0.00105232
0.2,0.714109,0.00101512
0.2,0.715609,0.000978197
0.2,0.717109,0.000941597
0.2,0.718609,0.000905358
0.2,0.720109,0.000869524
0.2,0.721609,0.000834149
0.2,0.723109,0.000799294
0.2,0.724609,0.000765033
0.2,0.726109,0.000731449
0.2,0.727609,0.00069864
0.2,0.729109,0.000666723
0.2,0.730609,0.000635832
0.2,0.732109,0.000606125
0.2,0.733609,0.000577787
0.2,0.735109,0.000551029
0.2,0.736609,0.000526095
0.2,0.738109,0.000503256
0.2,0.739609,0.00048281
0.2,0.741109,0.000465076
0.2,0.742609,0.000450375
0.2,0.744109,0.000439012
0.2,0.745609,0.000431254
0.2,0.747109,0.000427298
0.2,0.748609,0.000427251
0.2,0.750109,0.000431115
0.2,0.751609,0.000438789
0.2,0.753109,0.000450079
0.2,0.754609,0.000464723
0.2,0.756109,0.000482415
0.2,0.757609,0.000502837
0.2,0.759109,0.000525671
0.2,0.760609,0.000550617
0.2,0.762109,0.000577403
0.2,0.763609,0.000605785
0.2,0.765109,0.000635552
0.2,0.766609,0.000666517
0.2,0.768109,0.000698522
0.2,0.769609,0.000731432
0.2,0.771109,0.00076513
0.2,0.772609,0.000799517
0.2,0.774109,0.000834509
0.2,0.775609,0.000870033
0.2,0.777109,0.000906027
0.2,0.778609,0.000942437
0.2,0.780109,0.000979218
0.2,0.781609,0.00101633
0.2,0.783109,0.00105374
0.2,0.784609,0.00109141
0.2,0.786109,0.00112933
0.2,0.787609,0.00116746
0.2,0.789109,0.00120578
0.2,0.790609,0.00124429
0.2,0.792109,0.00128296
0.2,0.793609,0.00132178
0.2,0.795109,0.00136073
0.2,0.796609,0.00139981
0.2,0.798109,0.001439
0.2,0.799609,0.00147831
0.2,0.801109,0.0015177
0.2,0.802609,0.00155719
0.2,0.804109,0.00159677
0.2,0.805609,0.00163642
0.2,0.807109,0.00167615
0.2,0.808609,0.00171594
0.2,0.810109,0.0017558
0.2,0.811609,0.00179572
0.2,0.813109,0.0018357
0.2,0.814609,0.00187572
0.3,0.639311,0.00237829
0.3,0.641061,0.0023319
0.3,0.642811,0.00228553
0.3,0.64456,0.0022392
0.3,0.64631,0.00219291
0.3,0.64806,0.00214665
0.3,0.64981,0.00210043
0.3,0.65156,0.00205426
0.3,0.653309,0.00200814
0.3,0.655059,0.00196206
0.3,0.656809,0.00191605
0.3,0.658559,0.0018701
0.3,0.660309,0.00182422
0.3,0.662059,0.00177841
0.3,0.663808,0.00173268
0.3,0.665558,0.00168704
0.3,0.667308,0.0016415
0.3,0.669058,0.00159606
0.3,0.670808,0.00155073
0.3,0.672557,0.00150554
0.3,0.674307,0.00146048
0.3,0.676057,0.00141558
0.3,0.677807,0.00137084
0.3,0.679557,0.0013263
0.3,0.681307,0.00128196
0.3,0.683056,0.00123785
0.3,0.684806,0.00119401
0.3,0.686556,0.00115045
0.3,0.688306,0.00110722
0.3,0.690056,0.00106435
0.3,0.691805,0.0010219
0.3,0.693555,0.000979913
0.3,0.695305,0.000938458
0.3,0.697055,0.00089761
0.3,0.698805,0.000857457
0.3,0.700555,0.000818102
0.3,0.702304,0.000779668
0.3,0.704054,0.000742299
0.3,0.705804,0.000706167
0.3,0.707554,0.000671471
0.3,0.709304,0.000638449
0.3,0.711053,0.000607376
0.3,0.712803,0.000578566
0.3,0.714553,0.000552377
0.3,0.716303,0.000529199
0.3,0.718053,0.000509447
0.3,0.719803,0.000493532
0.3,0.721552,0.000481839
0.3,0.723302,0.000474681
0.3,0.725052,0.000472266
0.3,0.726802,0.000474669
0.3,0.728552,0.00048182
0.3,0.730301,0.000493515
0.3,0.732051,0.000509442
0.3,0.733801,0.000529221
0.3,0.735551,0.00055244
0.3,0.737301,0.000578688
0.3,0.739051,0.000607573
0.3,0.7408,0.000638738
0.3,0.74255,0.000671868
0.3,0.7443,0.000706689
0.3,0.74605,0.000742962
0.3,0.7478,0.000780487
