event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,population_mean_potential_rate,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
26,13,-0.062300403808070115,-2.2392511774824202,-0.17225009057557078,-1.3727742832594116,-1.0029398968467169,0.40321733674514293,-1.3651653354185154,662.69889536155961,0.0039178559034051836,703,599.18628571428576,57,33.991701244813278
27,13.5,-0.013116804405842508,-2.2523679818882627,-0.1668420727324639,-1.7709536948045503,-1.3653617360778645,0.37624521206393757,-1.1277310000600038,688.6500538831765,0.0043552748590043556,732,630.91215403128763,57,32.621204579392732
28,14,-0.10716138915067042,-2.3595293710389331,-0.16853781221706665,-1.5228114231404231,-1.3465040952937604,0.57161088195991938,-1.3448658915117544,670.10695305741433,0.0034555192366657172,705,599.18628571428576,52,32.455614708431348
29,14.5,-0.067434422330174826,-2.4269637933691079,-0.16737681333580054,-1.5022795585935034,-1.3063598822996114,0.42383192071513004,-1.1867814298052306,672.90387946497503,0.0045995071216154851,722,606.81481481481478,49,31.224346376034781
30,15,-0.086248160572750976,-2.5132119539418589,-0.16754746359612394,-1.7771264235763331,-1.5727803024821714,0.41702074511611081,-1.2623919744684653,671.67570091122582,0.0037207717602437689,712,606.1132947976879,49,30.39350724637681
31,15.5,-0.1079682963717401,-2.621180250313599,-0.16910840324603865,-1.1804849517077689,-1.2148245541242486,0.58395160328207663,-1.3520534023828545,671.07788419040435,0.0036473659987963829,710,608.2227378190255,47,29.444456924632146
32,16,-0.1016859014740108,-2.7228661517876098,-0.17017913448672561,-1.7591694782557215,-1.5946434478137326,0.5416394206815377,-1.3109019080035562,661.2845523915056,0.0040110459663556747,699,587.76681614349775,45,29.378460159139301
33,16.5,-0.072544535548361821,-2.7954106873359716,-0.16941882953551343,-1.7800959977145043,-1.2069344912271551,0.74154428822979934,-1.1734671285260498,678.01307706743796,0.0043598196143325423,718,610.34691501746215,44,28.630843162953255
34,17,-0.08642305043048637,-2.881833737766458,-0.16951963163332107,-1.9005670480651629,-1.4153400643790819,0.30429742323749737,-1.2809809351679733,656.00653567776374,0.0037488885084677034,694,591.08004509582861,44,27.449633507853402
35,17.5,-0.10154436113933851,-2.9833780989057965,-0.17047874850890266,-1.3788351607825242,-1.1462883973498434,0.25521129561559652,-1.327388488003771,667.25009773461079,0.0039200923235992047,710,606.1132947976879,42,26.515349213574066
36,18,-0.11625245891292479,-3.0996305578187213,-0.17220169765659563,-1.5801028892008844,-1.2565126050263964,0.88482601663086813,-1.3079243462004144,657.10242311916215,0.0045817866639428634,713,593.08597285067879,39,25.638808743703848
37,18.5,-0.056891738582926621,-3.1565222964016479,-0.1706228268325215,-1.1420898868400515,-1.1195723182549266,0.58842542602287107,-1.2121345014452301,671.44981092523733,0.003807429671753992,703,590.41441441441441,38,25.049593884376492
38,19,-0.10462816674776931,-3.2611504631494173,-0.17163949806049564,-1.3078911136352569,-1.4192491163550962,0.71060636809135669,-1.4038587019608031,648.07124141654026,0.0042923480336215106,704,589.7502812148482,37,23.901891953498975
39,19.5,-0.1704999827611271,-3.4316504459105444,-0.17598207414925868,-1.1022673283266295,-1.2869866837671122,0.67874777269035014,-1.7504007220405309,613.71115009228879,0.0054782057796765333,677,562.54077253218884,36,22.476549772785734
40,20,-0.076443366622995335,-3.5080938125335397,-0.17540469062667699,-1.2406089058258747,-1.1526500608893546,0.039161873573514132,-1.2221671676787982,665.01773004889458,0.0041554413907913248,702,592.41581920903957,36,22.382513661202186
41,20.5,-0.048023234934136738,-3.5561170474676764,-0.17346912426671593,-1.7902657170205323,-1.0769416979405781,0.56057483357300875,-1.1948245317349893,667.48731372830889,0.0043261695268533946,714,611.05827505827506,35,21.989179214025082
42,21,-0.033283288314624571,-3.589400335782301,-0.1709238255134429,-1.4909582888506456,-1.3252836078203691,0.80526864651603569,-1.1906710267348568,669.53929637161025,0.0040813368083012546,730,615.36150234741785,35,21.335937817930247
43,21.5,-0.11998288969589677,-3.7093832254781978,-0.17252945234782316,-1.3489557663761957,-1.2117550925507314,0.42755829297319248,-1.4065592594569754,642.18475546735988,0.0045166029187402763,690,582.54222222222222,34,20.301568247821876
44,22,-0.12790032853337774,-3.8372835540115755,-0.17442197972779888,-1.2874003206120981,-1.1794382516148982,0.44722101416506899,-1.4993267561541679,634.17968426461607,0.004104130451523383,688,574.24753559693318,34,19.467825182874755
45,22.5,-0.11591818474420013,-3.9532017387557756,-0.17569785505581226,-1.0108228292925416,-1.2007590455617576,0.72795200111413572,-1.3671847958997565,652.42301917607494,0.0045674767682505968,697,591.08004509582861,32,18.776878447102643
46,23,-0.10098280547985805,-4.0541845442356337,-0.17626889322763625,-1.2562597412096415,-1.28739670839609,0.26988989251219309,-1.4191417925140422,658.88915106617765,0.0043201428138487001,707,601.24770642201838,30,18.126400221269535
47,23.5,-0.096440230488762602,-4.1506247747243963,-0.17662233083933601,-1.3374298825005047,-1.4966114727379085,0.2069453685461109,-1.394226370769245,667.03160318155426,0.0042703808425649768,708,598.5022831050228,30,17.655766964135378
48,24,-0.13071550302159718,-4.2813402777459935,-0.17838917823941638,-1.652545901479225,-1.3536183895643856,0.58582366707849198,-1.4063099586674628,667.62368908144242,0.0049051397426231524,713,606.81481481481478,30,16.928352329598656
49,24.5,-0.099680077189623795,-4.3810203549356173,-0.17881715734431092,-1.0316070040408682,-1.1098771214885761,0.729118119455054,-1.2575090920075767,668.61302106688004,0.0044301634481944494,719,602.62988505747126,30,16.855425172801802
50,25,-0.036010052585261576,-4.4170304075208788,-0.17668121630083516,-1.6152981192382796,-1.2634698957607544,0.62435585133336713,-1.0098895972766362,705.51934668068009,0.0035872231593416116,739,637.04495747266094,30,16.8024869403583
51,25.5,-0.066660907732774,-4.4836913152536528,-0.17583103197073149,-1.2943433926789751,-1.5170787614930876,0.63860345232173998,-1.1786962957870539,683.19519780844462,0.0033862460776393046,726,621.93119810201665,28,16.422490211433047
52,26,-0.10877398335458555,-4.5924652986082384,-0.17663328071570147,-1.2360285691027215,-1.2877443245878695,0.56812662626920107,-1.3581211593168991,675.18643332599436,0.0035494802198487623,716,616.08460634547589,28,16.51144773722168
53,26.5,-0.1024371987774142,-4.6949024973856526,-0.17716613197681708,-1.6395951331255252,-1.3192079356987141,0.5859076243457525,-1.2294698304527749,669.11794752570449,0.0046160848693773127,730,616.80941176470583,28,15.958117733000547
54,27,-0.079911988151272872,-4.7748144855369254,-0.17684498094581205,-0.93324402245396509,-1.050957967000161,0.604934118687663,-1.396830167720666,659.08050853798591,0.0041220418729061162,704,595.10556186152098,28,15.09611287071696
55,27.5,-0.065342852060967793,-4.8401573375978932,-0.17600572136719611,-1.3745144616182357,-1.3625311693591824,0.37798796335074653,-1.3150706707043542,683.83389433609386,0.0037734189019692035,721,614.64009378663536,28,15.121802082432003
56,28,-0.046296946370301129,-4.8864542839681944,-0.1745162244274355,-1.4158415570336254,-1.3737949397288738,0.59398134657893764,-1.2775139834260276,680.11485288920062,0.0033452887156902441,732,627.13875598086122,26,14.578133689244801
57,28.5,-0.079889150393743336,-4.9663434343619377,-0.17425766436357676,-1.6395751837169332,-1.4178604603531089,0.57789393862347505,-1.2140498189835698,677.97415957475584,0.0039647329619273402,706,599.18628571428576,26,14.477494891478434
