observable,lag_index,time,C,SE_C,SNR_C,C_discard_first_quarter,lambda_eff,lambda_ci_low,lambda_ci_high
cos_theta1,22,0.22,0.172138058792853,0.0007619090864109144,225.92991980675123,0.1719068270076881,-3.950786490324832,-4.01398532511546,-3.886464614416584
cos_theta1,24,0.24,0.15922456855351405,0.0007681173834728574,207.29197383037808,0.1589705499648968,-3.819673320747247,-3.8832711758951906,-3.7554248962959713
cos_theta1,25,0.25,0.15334283540832988,0.0007723110820004461,198.55060866294977,0.15307628101604984,-3.7364995851453755,-3.801040711338481,-3.670082220613028
cos_theta1,27,0.27,0.14253459131096202,0.0007757888033230767,183.72860074857718,0.14225566601785214,-3.6040312824915155,-3.673469610235313,-3.536116087522372
cos_theta1,28,0.28,0.1375664189161203,0.0007803544931806925,176.28708505977235,0.13725307491000066,-3.525806760631408,-3.6024368803697384,-3.4542433862508535
cos_theta1,30,0.3,0.1282618284770851,0.0007850978975236189,163.37049033203718,0.12785697042047928,-3.452605393044894,-3.531699726987305,-3.374855585296913
cos_theta1,32,0.32,0.11980551212765013,0.0008007793107614792,149.61114818728814,0.1193356532748294,-3.403427961220636,-3.4839066582966742,-3.324392078303818
cos_theta1,33,0.33,0.1158653096426689,0.0008068022683612529,143.6105402603915,0.11535824605432103,-3.336346517248994,-3.4221059322250342,-3.2471629775529234
cos_theta1,35,0.35000000000000003,0.1084042060936144,0.0008186917029397668,132.4115118112904,0.10784706485084063,-3.2904439160702896,-3.3821013268112403,-3.195228289298401
cos_theta1,38,0.38,0.0982156909520887,0.0008353341161236016,117.576535013154,0.0976111408227148,-3.262555850981007,-3.3586610975810283,-3.1627131689139283
cos_theta1,40,0.4,0.09207782859558111,0.0008469974596602416,108.71086748302238,0.09145321363042049,-3.202033488335406,-3.3076348474654544,-3.093933466066164
cos_theta1,42,0.42,0.08638364519102405,0.0008580432081140001,100.67516923873498,0.08574508096618295,-3.1262592395667723,-3.240526411891039,-3.015693035344542
cos_theta1,45,0.45,0.07870160436287567,0.0008821296869648825,89.21772560864825,0.07806175656189948,-3.019596349344443,-3.1379747044809587,-2.9089539095331896
cos_theta1,47,0.47000000000000003,0.07412869147095595,0.0008935276428308235,82.96183343148249,0.07351305995172058,-2.8907172460105133,-3.0155954725520573,-2.776909606194521
cos_theta1,50,0.5,0.06807939158672992,0.0009051325542749815,75.21483043029212,0.06760320487242139,-2.719862380859983,-2.8553559126071026,-2.6012590324156237
cos_theta1,53,0.53,0.06285430751101813,0.0009105542875196867,69.02862176645253,0.06254861816640876,-2.5340435830635784,-2.6691260958897693,-2.4087497756703193
cos_theta1,56,0.56,0.05835112735586216,0.0009043151084181368,64.5252156164152,0.05817509599245786,-2.3677875089612193,-2.499087693671576,-2.2427935900442093
cos_theta1,60,0.6,0.05332349233917521,0.0008875415005639732,60.07999885672016,0.05323932595038674,-2.1940550286268587,-2.328068072816089,-2.0665426258898503
cos_theta1,63,0.63,0.050041975904506444,0.0008667393365201681,57.735900282797445,0.05000579168714585,-1.9964826249706167,-2.129215370982891,-1.8646386437366973
