selection,time,C,SE_C,fitted_or_lambda_eff
driven_dt2p5e-4:real,0.22,0.8178586584602212,0.02345839134451988,-0.9507197247318907
driven_dt2p5e-4:real,0.24,0.8024429311014102,0.02328090316937827,-0.9447907813713187
driven_dt2p5e-4:real,0.25,0.7949162925062505,0.023187916980033266,-0.9409599920592575
driven_dt2p5e-4:real,0.27,0.7801760457584715,0.023015503632311488,-0.9331601073911918
driven_dt2p5e-4:real,0.28,0.7729635804941981,0.022935132637002757,-0.9296468225319158
driven_dt2p5e-4:real,0.3,0.758749081735474,0.02278031500087809,-0.926405191495459
driven_dt2p5e-4:real,0.32,0.7448341223975931,0.02260692313467926,-0.9220137665683176
driven_dt2p5e-4:real,0.33,0.7379936958961978,0.022513763736493005,-0.9154283000619939
driven_dt2p5e-4:real,0.35000000000000003,0.7246515867335532,0.022342515648747195,-0.9114071054769314
driven_dt2p5e-4:real,0.38,0.7051685612000825,0.0221000009279036,-0.9096961622422878
driven_dt2p5e-4:real,0.4,0.6924589585339966,0.021944805864014212,-0.909116382526143
driven_dt2p5e-4:real,0.42,0.6799794844687324,0.021789296981463632,-0.9105578723841117
driven_dt2p5e-4:real,0.45,0.661678197377668,0.021548604196340446,-0.9134038326181106
driven_dt2p5e-4:real,0.47000000000000003,0.6496843695323729,0.021378772583412916,-0.9159755489793396
driven_dt2p5e-4:real,0.5,0.6320121302451434,0.021125931163914837,-0.9208756514633942
driven_dt2p5e-4:real,0.53,0.614805106404877,0.0208980126423927,-0.9257003373923834
driven_dt2p5e-4:real,0.56,0.5979355722342112,0.02070517394162427,-0.9291299120946309
driven_dt2p5e-4:real,0.6,0.576021862531316,0.020477109976465773,-0.9302981292707686
driven_dt2p5e-4:real,0.63,0.5601035620235313,0.02032429556316977,-0.9303245302620224
driven_dt2p5e-4:real,0.67,0.5397270664749438,0.02012205006802463,-0.9291620563254926
driven_dt2p5e-4:real,0.71,0.520054872407249,0.01983757257279393,-0.9302775331426044
driven_dt2p5e-4:real,0.75,0.5010827751562401,0.019523204467010436,-0.9326740490935153
driven_dt2p5e-4:real,0.79,0.4826430210370528,0.019204709554495093,-0.9336096243400375
driven_dt2p5e-4:real,0.84,0.46059032915876164,0.018787806376850385,-0.9321022664726076
driven_dt2p5e-4:real,0.89,0.43960851731389106,0.01842362587033003,-0.9277038447761802
driven_dt2p5e-4:real,0.9400000000000001,0.41975528079163593,0.01805259326509601,-0.9254445597628463
driven_dt2p5e-4:real,1.0,0.39720776690066284,0.017673469117291892,-0.9231130895293101
driven_dt2p5e-4:real,1.06,0.37574517510175537,0.017289146413248243,-0.9224907131442412
driven_dt2p5e-4:real,1.12,0.35551540686915817,0.016841621570376185,-0.9244558951077585
driven_dt2p5e-4:real,1.19,0.333302070826247,0.01635961600242361,-0.922888480059793
driven_dt2p5e-4:real,1.26,0.31234269092148126,0.015798192176809417,-0.9206208560409815
driven_dt2p5e-4:real,1.33,0.29287072446407975,0.015304892226922119,-0.9125983390041847
driven_dt2p5e-4:real,1.41,0.27221400462184414,0.014743936713919794,-0.9026764729408483
driven_dt2p5e-4:real,1.5,0.2511734442155073,0.014043858566688348,-0.8975014623816383
driven_dt2p5e-4:real,1.58,0.23398206849105113,0.01366894324759583,-0.8982870470111481
driven_dt2p5e-4:real,1.68,0.21392078573674783,0.01325869380026784,-0.9045231292534098
driven_dt2p5e-4:real,1.78,0.1952385865125023,0.012927065094783467,-0.9197108522357964
driven_dt2p5e-4:real,1.8800000000000001,0.17811420117217874,0.012640525218796826,-0.9345961027123446
driven_dt2p5e-4:real,2.0,0.15900981408211534,0.012173394514768529,-0.9347682086526776
driven_dt2p5e-4:real,2.11,0.1431265869662346,0.011812379488258463,-0.9351443596778227
driven_dt2p5e-4:real,2.24,0.1270053174502549,0.011377749503359546,-0.9436137599399043
driven_dt2p5e-4:real,2.37,0.11264082177205839,0.010710391771072107,-0.9414428635209335
driven_dt2p5e-4:real,2.5100000000000002,0.09827040429919721,0.010134784230138456,-0.9398524909412105
driven_dt2p5e-4:real,2.66,0.08527965264389759,0.009708008174397901,-0.9002377861976264
driven_dt2p5e-4:real,2.82,0.07363456219300295,0.009027702933358896,-0.8612608892672338
driven_dt2p5e-4:real,2.99,0.06446076605459823,0.008365174171214821,-0.8397212056361354
driven_dt2p5e-4:real,3.16,0.05614307417445476,0.0075347726090849235,-0.8082878021089579
driven_dt2p5e-4:real,3.35,0.04777623095158147,0.00687583516593834,-0.8177973792314882
driven_dt2p5e-4:real,3.5500000000000003,0.04081560219223254,0.006712288098159355,-0.8615433611270713
driven_dt2p5e-4:real,3.7600000000000002,0.03434143966684262,0.00692999963715453,-0.9459209659239194
driven_dt2p5e-4:real,3.98,0.02770014845000902,0.007290027343362198,-0.8644241322692847
driven_dt2p5e-4:real,4.22,0.0209801555058745,0.007923239145084764,-0.6465721878910793
driven_dt2p5e-4:real,4.47,0.0184265804762204,0.00811360584118433,-0.3890399605600885
driven_dt2p5e-4:real,4.73,0.01834171100761103,0.007957397716224295,-0.2290446657831255
driven_dt2p5e-4:real,5.01,0.01855476469617754,0.00758544208393146,-0.17202748932340647
driven_dt2p5e-4:real,5.3100000000000005,0.016344939346460308,0.007691722814113708,-0.24597072081131918
driven_dt2p5e-4:real,5.62,0.01511915677843184,0.00768085681524147,-0.28565606954594724
driven_dt2p5e-4:real,5.96,0.0135533502764958,0.007115390486704218,-0.29889840044063404
driven_dt2p5e-4:real,6.3100000000000005,0.0127990854940827,0.0067708822306936116,-0.29511193665506275
driven_dt2p5e-4:real,6.68,0.010852847855793164,0.006127263037276497,-0.20169023163474786
driven_dt2p5e-4:real,7.08,0.00982666071568442,0.006143338976638449,-0.3015808510025276
driven_dt2p5e-4:real,7.5,0.009934671523734244,0.0058298498488877125,-0.6054735761475931
driven_dt2p5e-4:real,7.94,0.007828703658687694,0.006743391222977647,nan
driven_dt2p5e-4:real,8.41,0.0038074445183201916,0.009217581499096154,nan
driven_dt2p5e-4:real,8.91,-0.0003659896104319755,0.00968219761325288,nan
driven_dt2p5e-4:real,9.44,-0.007478163198340685,0.009273354579721563,nan
driven_dt2p5e-4:real,10.0,-0.008630379190560073,0.008435020293022984,nan
equilibrium_dt1e-3:complex,0.05,0.3061340380147991,0.020528131995003192,0.2887738154477722
equilibrium_dt1e-3:complex,0.06,0.27605742226580554,0.017177724175367212,0.26628085944745783
equilibrium_dt1e-3:complex,0.07,0.2484104325029166,0.015275677960326691,0.24501952984706826
equilibrium_dt1e-3:complex,0.08,0.22322751062606855,0.013611926193806526,0.22496507516383246
equilibrium_dt1e-3:complex,0.09,0.20019539299248904,0.012017257937515393,0.20608826006686976
equilibrium_dt1e-3:complex,0.1,0.18150037144763106,0.011156078116619126,0.1883561368644448
equilibrium_dt1e-3:complex,0.11,0.16774467717030725,0.011118354016180436,0.17173274011091944
equilibrium_dt1e-3:complex,0.12,0.1535106460311244,0.011150667420578185,0.15617970992023555
equilibrium_dt1e-3:complex,0.13,0.1403273710501705,0.011111787584406433,0.14165684929977754
equilibrium_dt1e-3:complex,0.14,0.12698201492424532,0.01148142417934212,0.12812262054712936
equilibrium_dt1e-3:complex,0.15,0.11574025851150313,0.012547384101550194,0.11553458548406625
equilibrium_dt1e-3:complex,0.16,0.10392171922450777,0.01290114044301175,0.1038497940384104
equilibrium_dt1e-3:complex,0.17,0.09283960587645666,0.013433577994066559,0.09302512542623653
equilibrium_dt1e-3:complex,0.18,0.08357945295674257,0.013991171434002941,0.08301758593525782
equilibrium_dt1e-3:complex,0.19,0.07513671428892929,0.014131430215544217,0.07378456706582151
equilibrium_dt1e-3:complex,0.2,0.06694672000171353,0.013769935138670697,0.06528406754940884
equilibrium_dt1e-3:complex,0.21,0.05942468604552892,0.013266498157633514,0.05747488253635113
equilibrium_dt1e-3:complex,0.22,0.0531816459362191,0.01251700853736944,0.05031676302501625
equilibrium_dt1e-3:complex,0.24,0.042356958026044986,0.011710402141237277,0.03779827469950666
equilibrium_dt1e-3:complex,0.25,0.03640041993096899,0.011400536141782358,0.032363261201174665
equilibrium_dt1e-3:complex,0.27,0.0277890746334919,0.011156091108853333,0.02296509276567127
equilibrium_dt1e-3:complex,0.28,0.02434619757671373,0.010841528874864129,0.01893551088459072
equilibrium_dt1e-3:complex,0.3,0.016212067463696876,0.009363204977701059,0.012060152538745969
equilibrium_dt1e-3:complex,0.32,0.008170096423044376,0.008125005774246076,0.006573310900591746
equilibrium_dt1e-3:complex,0.33,0.004231467154114295,0.006889763061641599,0.004284807051050252
equilibrium_dt1e-3:complex,0.35000000000000003,-0.001095925996178137,0.005642920674750968,0.0004984642110260441
equilibrium_dt1e-3:complex,0.38,-0.007198066892238908,0.005832454261660371,-0.0035213236798493056
equilibrium_dt1e-3:complex,0.4,-0.009187419770611755,0.006425163285762438,-0.005311507625901297
equilibrium_dt1e-3:complex,0.42,-0.00814605720959943,0.006655110953604813,-0.006538572372151126
equilibrium_dt1e-3:complex,0.45,-0.007026963947673739,0.0064794566413484255,-0.007555334017797442
equilibrium_dt1e-3:complex,0.47000000000000003,-0.005432508572068958,0.005553545088244742,-0.007813746844821355
equilibrium_dt1e-3:complex,0.5,-0.004941117284390041,0.003909553620263566,-0.0077531536057481405
equilibrium_dt1e-3:complex,0.53,-0.006416058921531209,0.003144259845998667,-0.007324839176259323
equilibrium_dt1e-3:complex,0.56,-0.007762147135487485,0.00319159105678938,-0.006676172200698808
equilibrium_dt1e-3:complex,0.6,-0.00850229234867875,0.0042510802760135835,-0.005650441617046317
equilibrium_dt1e-3:complex,0.63,-0.008337552006163446,0.004911102786690753,-0.00485428794238537
equilibrium_dt1e-3:complex,0.67,-0.00806757525989615,0.005565519623364727,-0.0038437567318891715
equilibrium_dt1e-3:complex,0.71,-0.007529142963956662,0.005541735410077156,-0.0029460622976075768
equilibrium_dt1e-3:complex,0.75,-0.00395284854182712,0.0042162164904037056,-0.00218758690589181
equilibrium_dt1e-3:complex,0.79,0.00019194658808379316,0.0030957275973700128,-0.0015718333926583567
equilibrium_dt1e-3:complex,0.84,0.0014666421240877828,0.0018246771580421345,-0.0009870851365680277
equilibrium_dt1e-3:complex,0.89,0.0007948938554105426,0.0018003401873147196,-0.0005763675984778953
equilibrium_dt1e-3:complex,0.9400000000000001,0.0006589395640611976,0.0020199928727071092,-0.00030209545416418987
equilibrium_dt1e-3:complex,1.0,0.0008151106355147481,0.0021080636451086183,-0.0001037856917326795
equilibrium_dt1e-3:real,0.0,1.014241546672599,0.026316134015118467,nan
equilibrium_dt1e-3:real,0.01,1.003533110397818,0.02624157572438902,nan
equilibrium_dt1e-3:real,0.02,0.9940438645315609,0.026170777077464787,-0.9859755016365317
equilibrium_dt1e-3:real,0.03,0.9845395921591686,0.026094319526779954,-0.9655593791606798
equilibrium_dt1e-3:real,0.04,0.9750193797104776,0.026027516504056426,-0.9731475955201143
equilibrium_dt1e-3:real,0.05,0.9655132135108488,0.02595741060643691,-0.9767775366243939
equilibrium_dt1e-3:real,0.06,0.9560932318667319,0.025890299115871034,-0.9772938560697026
equilibrium_dt1e-3:real,0.07,0.9468143286625992,0.02582306281364625,-0.9744675581825517
equilibrium_dt1e-3:real,0.08,0.9376395435146392,0.02574970451104833,-0.969500376320494
equilibrium_dt1e-3:real,0.09,0.9286027946520318,0.02567719197451713,-0.9633645226734693
equilibrium_dt1e-3:real,0.1,0.9197256473031301,0.0256030407096074,-0.9569556706449854
equilibrium_dt1e-3:real,0.11,0.9110232609857666,0.025538673848272853,-0.9510222120893059
equilibrium_dt1e-3:real,0.12,0.9024266082104042,0.025466594820647594,-0.9466301250852406
equilibrium_dt1e-3:real,0.13,0.8939413747047438,0.025395722586205316,-0.9433377849082826
equilibrium_dt1e-3:real,0.14,0.8855511425467648,0.02532544662200763,-0.9396536511541738
equilibrium_dt1e-3:real,0.15,0.8772876388137417,0.025258390438998416,-0.936374674434091
equilibrium_dt1e-3:real,0.16,0.8691373954557138,0.025203465576052887,-0.9342433746705633
equilibrium_dt1e-3:real,0.17,0.8610781007409938,0.02514529032880439,-0.9326340036494392
equilibrium_dt1e-3:real,0.18,0.8530690349188759,0.025083349108803096,-0.930850306068552
equilibrium_dt1e-3:real,0.19,0.8451630428438368,0.025018580985333456,-0.9287134469160128
equilibrium_dt1e-3:real,0.2,0.8373709883473834,0.024953870419119676,-0.924864013656875
equilibrium_dt1e-3:real,0.21,0.8296771687176008,0.02489563376552407,-0.9182171562619642
equilibrium_dt1e-3:real,0.22,0.8220867424472007,0.02483880559378763,-0.9145386610395736
equilibrium_dt1e-3:real,0.24,0.8072381265734114,0.024743167238959442,-0.9090289607305194
equilibrium_dt1e-3:real,0.25,0.7999428399213743,0.02470215761042022,-0.9046278202623831
equilibrium_dt1e-3:real,0.27,0.7856370631979654,0.024597612729300763,-0.8972104968823433
equilibrium_dt1e-3:real,0.28,0.7786551355431229,0.024540186608668964,-0.8912263296525917
equilibrium_dt1e-3:real,0.3,0.7649313346952593,0.02442017116768144,-0.8849063482350137
equilibrium_dt1e-3:real,0.32,0.7515625444978398,0.024291104068022644,-0.881144938180344
equilibrium_dt1e-3:real,0.33,0.745012169569266,0.02421747114771766,-0.874993345560971
equilibrium_dt1e-3:real,0.35000000000000003,0.732078757723293,0.024073232488210243,-0.8716199769051037
equilibrium_dt1e-3:real,0.38,0.7132176288072252,0.023868231272682054,-0.8700183654003161
equilibrium_dt1e-3:real,0.4,0.7009417820923807,0.023729646008561586,-0.86656621986643
equilibrium_dt1e-3:real,0.42,0.6889019135968852,0.02358756316560563,-0.8648421432287782
equilibrium_dt1e-3:real,0.45,0.6713103030306626,0.023365257112954167,-0.8656811382914639
equilibrium_dt1e-3:real,0.47000000000000003,0.6598092715086008,0.023200527199696213,-0.8686407394468729
equilibrium_dt1e-3:real,0.5,0.6428148399140449,0.022964836771132528,-0.8727403256665496
equilibrium_dt1e-3:real,0.53,0.6261239902712434,0.022684721987959927,-0.8776184961504194
equilibrium_dt1e-3:real,0.56,0.6098603782671539,0.02238018381340329,-0.8791005976369465
equilibrium_dt1e-3:real,0.6,0.5886668513307745,0.02196586965455677,-0.8777633433729717
equilibrium_dt1e-3:real,0.63,0.5733943169562072,0.021693823552593142,-0.8776151027356536
equilibrium_dt1e-3:real,0.67,0.5537213328729287,0.021333084325725258,-0.8745510266588518
equilibrium_dt1e-3:real,0.71,0.534636874647345,0.02100419034139822,-0.8712812739429218
equilibrium_dt1e-3:real,0.75,0.5162947132752507,0.02069138062833386,-0.8656180212386694
equilibrium_dt1e-3:real,0.79,0.4987817565391651,0.0204111515914505,-0.8587721417439617
equilibrium_dt1e-3:real,0.84,0.4779501734101862,0.02006112006513396,-0.8516532939329603
equilibrium_dt1e-3:real,0.89,0.45806394485577595,0.019725874905860204,-0.8490716784400579
equilibrium_dt1e-3:real,0.9400000000000001,0.4391599187475298,0.019307386657634103,-0.848117154917614
equilibrium_dt1e-3:real,1.0,0.4173242868849117,0.018882002481801614,-0.8475448087262321
equilibrium_dt1e-3:real,1.06,0.3965970243859702,0.018443866723839335,-0.850129141817355
equilibrium_dt1e-3:real,1.12,0.37693527409238525,0.01808797639457757,-0.8536309780249833
equilibrium_dt1e-3:real,1.19,0.35507581884901107,0.01767403091031139,-0.8628632049180917
equilibrium_dt1e-3:real,1.26,0.33426013317468295,0.017262308599420968,-0.880806179440123
equilibrium_dt1e-3:real,1.33,0.314174212181886,0.016931134287310898,-0.9033818476055528
equilibrium_dt1e-3:real,1.41,0.29196668226118616,0.01644524175210784,-0.9190152456771938
equilibrium_dt1e-3:real,1.5,0.2683475498451858,0.015855279156619304,-0.9416756923215084
equilibrium_dt1e-3:real,1.58,0.24909507553904195,0.015374313743053524,-0.954438856647343
equilibrium_dt1e-3:real,1.68,0.2259607147467586,0.014942784899999933,-0.9655014851027275
equilibrium_dt1e-3:real,1.78,0.20509992859958848,0.01460005590356015,-0.9786437413027846
equilibrium_dt1e-3:real,1.8800000000000001,0.18593411746646782,0.014318123560779078,-0.9859213291369684
