case,kind,replicate,observable,weight_abs
driven_dt1e-3,complex,53,I1_plus_I3,0.11992231421450454
driven_dt1e-3,complex,53,cos_theta3,0.043747853852633266
driven_dt1e-3,complex,53,cos_theta1_plus_cos_theta3,0.030586331708479103
driven_dt1e-3,complex,54,I2,0.09272959759000025
driven_dt1e-3,complex,54,I1_plus_I3,0.09551837338452351
driven_dt1e-3,complex,54,cos_theta3,0.037735921236762185
driven_dt1e-3,complex,54,cos_theta1_plus_cos_theta3,0.024592703460574225
driven_dt1e-3,complex,55,I2,0.09880317472166289
driven_dt1e-3,complex,55,I1_plus_I3,0.10075403249389203
driven_dt1e-3,complex,55,cos_theta3,0.039601569777018196
driven_dt1e-3,complex,55,cos_theta1_plus_cos_theta3,0.024595911283622342
driven_dt1e-3,complex,56,I2,0.08348754732080137
driven_dt1e-3,complex,56,I1_plus_I3,0.10025597128699536
driven_dt1e-3,complex,56,cos_theta3,0.03775171267291853
driven_dt1e-3,complex,56,cos_theta1_plus_cos_theta3,0.025435079495134058
driven_dt1e-3,complex,57,I2,0.08476402485640055
driven_dt1e-3,complex,57,I1_plus_I3,0.10733583489154605
driven_dt1e-3,complex,57,cos_theta3,0.03663697743759821
driven_dt1e-3,complex,57,cos_theta1_plus_cos_theta3,0.026071760181756633
driven_dt1e-3,complex,58,I2,0.09379937882825845
driven_dt1e-3,complex,58,I1_plus_I3,0.10897101400148383
driven_dt1e-3,complex,58,cos_theta3,0.040910436472630075
driven_dt1e-3,complex,58,cos_theta1_plus_cos_theta3,0.025321705868192945
driven_dt1e-3,complex,59,I2,0.09072564848980243
driven_dt1e-3,complex,59,I1_plus_I3,0.11068245636412881
driven_dt1e-3,complex,59,cos_theta3,0.04043829986988543
driven_dt1e-3,complex,59,cos_theta1_plus_cos_theta3,0.03183166875724227
driven_dt1e-3,complex,60,I2,0.08772869328223576
driven_dt1e-3,complex,60,I1_plus_I3,0.099359490835024
driven_dt1e-3,complex,60,cos_theta3,0.04080882008083971
driven_dt1e-3,complex,60,cos_theta1_plus_cos_theta3,0.02801927507466467
driven_dt1e-3,complex,61,I2,0.08791085740238339
driven_dt1e-3,complex,61,I1_plus_I3,0.10655019667261564
driven_dt1e-3,complex,61,cos_theta3,0.03759221611759685
driven_dt1e-3,complex,61,cos_theta1_plus_cos_theta3,0.028872575930093545
driven_dt1e-3,complex,62,I2,0.08356043724292989
driven_dt1e-3,complex,62,I1_plus_I3,0.09716311818760563
driven_dt1e-3,complex,62,cos_theta3,0.038465906446681845
driven_dt1e-3,complex,62,cos_theta1_plus_cos_theta3,0.024114876854082763
driven_dt1e-3,complex,63,I2,0.11963735280209883
driven_dt1e-3,complex,63,I1_plus_I3,0.12676259176575058
driven_dt1e-3,complex,63,cos_theta3,0.046106186694487336
driven_dt1e-3,complex,63,cos_theta1_plus_cos_theta3,0.029600086786660148
driven_dt1e-3,complex,64,I2,0.09893355038513019
driven_dt1e-3,complex,64,I1_plus_I3,0.11013110975251907
driven_dt1e-3,complex,64,cos_theta3,0.044543272942868944
driven_dt1e-3,complex,64,cos_theta1_plus_cos_theta3,0.03256767051228153
driven_dt1e-3,complex,65,I2,0.10022236205299888
driven_dt1e-3,complex,65,I1_plus_I3,0.10468602310947439
driven_dt1e-3,complex,65,cos_theta3,0.04261498192885035
driven_dt1e-3,complex,65,cos_theta1_plus_cos_theta3,0.0288522124962621
driven_dt1e-3,complex,66,I2,0.10250875479011366
driven_dt1e-3,complex,66,I1_plus_I3,0.1167432842700719
driven_dt1e-3,complex,66,cos_theta3,0.04407870836547253
driven_dt1e-3,complex,66,cos_theta1_plus_cos_theta3,0.031317558736222564
driven_dt1e-3,complex,67,I2,0.08248083391361107
driven_dt1e-3,complex,67,I1_plus_I3,0.096340728094191
driven_dt1e-3,complex,67,cos_theta3,0.035080120923445264
driven_dt1e-3,complex,67,cos_theta1_plus_cos_theta3,0.026651937525668034
driven_dt1e-3,complex,68,I2,0.08957866235875181
driven_dt1e-3,complex,68,I1_plus_I3,0.10947536499468026
driven_dt1e-3,complex,68,cos_theta3,0.036287567962567505
driven_dt1e-3,complex,68,cos_theta1_plus_cos_theta3,0.025626926670601513
driven_dt1e-3,complex,69,I2,0.09950001519936608
driven_dt1e-3,complex,69,I1_plus_I3,0.09184426585791501
driven_dt1e-3,complex,69,cos_theta3,0.04493665873722003
