case,stream_order,stream_id,observable,mean
driven_dt2p5e-4,15,58,I2,1.660969906383177
driven_dt2p5e-4,15,58,I1_plus_I3,2.8781551452631065
driven_dt2p5e-4,15,58,cos_theta3,-0.16926956367343748
driven_dt2p5e-4,15,58,cos_theta1_plus_cos_theta3,-0.36939774944211634
driven_dt2p5e-4,16,60,I2,1.838161386952626
driven_dt2p5e-4,16,60,I1_plus_I3,3.0318396964107155
driven_dt2p5e-4,16,60,cos_theta3,-0.2029787828159862
driven_dt2p5e-4,16,60,cos_theta1_plus_cos_theta3,-0.4499511685125729
equilibrium_dt1e-3,1,2,I2,1.6971974756561308
equilibrium_dt1e-3,1,2,I1_plus_I3,2.9816334515263687
equilibrium_dt1e-3,1,2,cos_theta3,-0.2093667470142979
equilibrium_dt1e-3,1,2,cos_theta1_plus_cos_theta3,-0.39617666919854555
equilibrium_dt1e-3,2,3,I2,1.5788183427503615
equilibrium_dt1e-3,2,3,I1_plus_I3,2.85077981124416
equilibrium_dt1e-3,2,3,cos_theta3,-0.16671270463666127
equilibrium_dt1e-3,2,3,cos_theta1_plus_cos_theta3,-0.34817504539882554
equilibrium_dt1e-3,3,12,I2,1.613345220850639
equilibrium_dt1e-3,3,12,I1_plus_I3,2.915767963489877
equilibrium_dt1e-3,3,12,cos_theta3,-0.1674853915308743
equilibrium_dt1e-3,3,12,cos_theta1_plus_cos_theta3,-0.35821951640800964
equilibrium_dt1e-3,4,19,I2,1.7524133360236
equilibrium_dt1e-3,4,19,I1_plus_I3,2.9620303462025666
equilibrium_dt1e-3,4,19,cos_theta3,-0.20194915317293835
equilibrium_dt1e-3,4,19,cos_theta1_plus_cos_theta3,-0.41343241799559943
equilibrium_dt1e-3,5,23,I2,1.819022886102842
equilibrium_dt1e-3,5,23,I1_plus_I3,2.9993082113266887
equilibrium_dt1e-3,5,23,cos_theta3,-0.21438984991819204
equilibrium_dt1e-3,5,23,cos_theta1_plus_cos_theta3,-0.4459151611706883
equilibrium_dt1e-3,6,30,I2,1.6896341300563027
equilibrium_dt1e-3,6,30,I1_plus_I3,2.838503363054426
equilibrium_dt1e-3,6,30,cos_theta3,-0.1611135966239305
equilibrium_dt1e-3,6,30,cos_theta1_plus_cos_theta3,-0.34893993775812343
equilibrium_dt1e-3,7,31,I2,1.6384910631749816
equilibrium_dt1e-3,7,31,I1_plus_I3,2.9283132791073427
equilibrium_dt1e-3,7,31,cos_theta3,-0.15291354999047868
equilibrium_dt1e-3,7,31,cos_theta1_plus_cos_theta3,-0.3000974089600308
equilibrium_dt1e-3,8,34,I2,1.6453920133828601
equilibrium_dt1e-3,8,34,I1_plus_I3,2.969767523735417
equilibrium_dt1e-3,8,34,cos_theta3,-0.15862509751332968
equilibrium_dt1e-3,8,34,cos_theta1_plus_cos_theta3,-0.31367268883105304
equilibrium_dt1e-3,9,36,I2,1.7180238124483085
