bin_left,bin_right,bin_center,forward_count,reverse_mirror_count,log_probability_ratio,standard_error,accepted
-0.9321401463676586,-0.8830801386640976,-0.9076101425158781,1107,2718,-0.8982426620024522,0.03565473255007859,1
-0.8830801386640976,-0.8340201309605366,-0.8585501348123171,1355,3083,-0.8221016945723489,0.03259396831130182,1
-0.8340201309605366,-0.7849601232569756,-0.8094901271087561,1594,3724,-0.8485517790467973,0.029931271876796874,1
-0.7849601232569756,-0.7359001155534146,-0.7604301194051951,1990,4108,-0.7248016533299108,0.027311902559715655,1
-0.7359001155534146,-0.6868401078498536,-0.7113701117016341,2427,4908,-0.7042106001042008,0.024814920826691882,1
-0.6868401078498536,-0.6377801001462928,-0.6623101039980732,2983,5723,-0.6515636378943538,0.02258243827159907,1
-0.6377801001462928,-0.5887200924427318,-0.6132500962945123,3544,6729,-0.6411705114633465,0.02075518091441553,1
-0.5887200924427318,-0.5396600847391708,-0.5641900885909513,4366,7722,-0.5702261397142924,0.018935224620375838,1
-0.5396600847391708,-0.4906000770356098,-0.5151300808873903,5483,9228,-0.5205899438895958,0.017051326951325926,1
-0.4906000770356098,-0.4415400693320488,-0.4660700731838293,6662,10594,-0.4638680633508469,0.015636435854209534,1
-0.4415400693320488,-0.3924800616284878,-0.4170100654802683,8217,12387,-0.4104423566230121,0.014227744524268362,1
-0.3924800616284878,-0.3434200539249268,-0.3679500577767073,10209,14514,-0.35184401666906695,0.01291711193848957,1
-0.3434200539249268,-0.2943600462213658,-0.3188900500731463,12309,16799,-0.3109886586999186,0.011864599484317161,1
-0.2943600462213658,-0.2453000385178048,-0.2698300423695853,15095,19557,-0.2589697154517098,0.010834190716747938,1
-0.2453000385178048,-0.1962400308142438,-0.2207700346660243,18135,22672,-0.223286910213459,0.009962392258076002,1
-0.1962400308142438,-0.1471800231106828,-0.1717100269624633,22067,26110,-0.16823510281009396,0.009144180559812917,1
-0.1471800231106828,-0.09812001540712201,-0.1226500192589024,26186,29908,-0.13290108633210748,0.008463109057460427,1
-0.09812001540712201,-0.049060007703561004,-0.0735900115553415,30791,32839,-0.06439439396437627,0.007932756122108446,1
-0.049060007703561004,0.0,-0.024530003851780502,34158,34657,-0.014502906237599512,0.007624297898670085,1
0.0,0.049060007703561226,0.024530003851780613,34700,33789,0.026604381219144324,0.007642896981483572,1
0.049060007703561226,0.09812001540712201,0.07359001155534162,33001,30803,0.06892577620404945,0.007922530051110401,1
0.09812001540712201,0.1471800231106828,0.1226500192589024,29267,26273,0.1079188055467206,0.00849882723627266,1
0.1471800231106828,0.19624003081424402,0.1717100269624634,26270,22345,0.1618250213120338,0.00910049319293886,1
0.19624003081424402,0.2453000385178048,0.2207700346660244,22854,18564,0.20790193534559248,0.009880471516015146,1
0.2453000385178048,0.294360046221366,0.2698300423695854,19827,14918,0.28447610762345393,0.010838329581932224,1
0.294360046221366,0.3434200539249268,0.3188900500731464,17054,12525,0.3086581333489293,0.011767650114189888,1
0.3434200539249268,0.39248006162848803,0.3679500577767074,14492,10015,0.36951280391504915,0.012994376200864403,1
0.39248006162848803,0.4415400693320488,0.4170100654802684,12358,8305,0.39744588357352956,0.014189032191395579,1
0.4415400693320488,0.49060007703561004,0.4660700731838294,10588,6642,0.46630816141029996,0.015652590979856454,1
0.49060007703561004,0.5396600847391708,0.5151300808873904,9089,5421,0.5167845908584323,0.017160737607081752,1
0.5396600847391708,0.588720092442732,0.5641900885909514,7807,4457,0.560544873173735,0.018773820630488897,1
0.588720092442732,0.6377801001462928,0.6132500962945124,6782,3624,0.6266936555227139,0.02057637771561378,1
0.6377801001462928,0.6868401078498536,0.6623101039980732,5791,2969,0.6680797924620301,0.022572006768117867,1
0.6868401078498536,0.7359001155534148,0.7113701117016342,4869,2401,0.7070032599614477,0.024937403826069845,1
0.7359001155534148,0.7849601232569756,0.7604301194051952,4224,1949,0.7734661258785367,0.02738295193865233,1
0.7849601232569756,0.8340201309605368,0.8094901271087562,3607,1610,0.8066422229250303,0.029972599402541523,1
0.8340201309605368,0.8830801386640976,0.8585501348123172,3117,1324,0.8562135432703835,0.03280408986083797,1
0.8830801386640976,0.9321401463676589,0.9076101425158782,2729,1130,0.8817176090019523,0.035374996023149176,1
0.9321401463676589,0.9812001540712196,0.9566701502194392,2336,872,0.9854059200391381,0.039684646686174614,1
0.9812001540712196,1.0302601617747809,1.0057301579230002,1962,688,1.0479308021919649,0.04430770100124302,1
1.0302601617747809,1.0793201694783416,1.0547901656265612,1732,579,1.0957296115493853,0.04800503017701111,1
1.0793201694783416,1.1283801771819029,1.1038501733301223,1504,492,1.117404788017477,0.051936633913111166,1
1.1283801771819029,1.1774401848854636,1.1529101810336833,1247,414,1.1026299718547223,0.05672198477031523,1
1.1774401848854636,1.2265001925890244,1.201970188737244,1168,357,1.1853123816085334,0.06047548951220581,1
1.2265001925890244,1.2755602002925857,1.251030196440805,946,291,1.1789193018803856,0.06703363759538772,1
1.2755602002925857,1.3246202079961464,1.300090204144366,860,231,1.31451467872576,0.07410664630570424,1
