n,A,tail,time_points,t_min,t_max,minimum_raw_count,maximum_probability,rate_proxy,intercept,r_squared,minimum_observed_count,maximum_included_probability
30,0.06,minus,4,20.0,80.0,20,0.2,0.08612218234636321,-0.5771894796617391,0.9996656935889066,138,0.0967988048764879
30,0.07,minus,4,20.0,80.0,20,0.2,0.0964125397613468,-0.5664418137552466,0.999770237249171,62,0.07962290413413542
30,0.08,plus,6,100.0,200.0,20,0.2,0.007764298969130371,-0.930369858184856,0.9995429903247267,8409,0.18247839308578745
30,0.08,minus,4,20.0,80.0,20,0.2,0.10870399723417065,-0.4834017456713725,0.9991531962320126,24,0.06537581594777934
30,0.09,plus,8,60.0,200.0,20,0.2,0.013020584431080031,-0.8994522478295348,0.9995338778379651,3037,0.18973814324116745
30,0.1,plus,8,60.0,200.0,20,0.2,0.01904320942256984,-0.8762649339772156,0.9996563012566358,916,0.13424959197388633
30,0.11,plus,9,40.0,200.0,20,0.2,0.026444011910501924,-0.795846437216364,0.9998030411253659,231,0.1569420442908346
30,0.12,plus,9,40.0,200.0,20,0.2,0.034295630202137654,-0.729915360457681,0.9999568316859772,50,0.12100974462365591
30,0.13,plus,9,20.0,180.0,20,0.2,0.043533521058728014,-0.6499147255048814,0.9993423990656917,21,0.19685040157429926
30,0.14,plus,8,20.0,160.0,20,0.2,0.051119720437872086,-0.6791677420295467,0.9965760401451295,22,0.1713120360296941
30,0.15,plus,6,20.0,120.0,20,0.2,0.061851360123162794,-0.5464758859834525,0.9965194929146086,47,0.14861348873672084
30,0.16,plus,5,20.0,100.0,20,0.2,0.06840837537248959,-0.6304393046469908,0.9995804114222419,112,0.12839578266990911
30,0.17,plus,5,20.0,100.0,20,0.2,0.07927520412787467,-0.5370468505105037,0.9991672247903703,39,0.11044093178036606
30,0.18,plus,4,20.0,80.0,20,0.2,0.08806546640590997,-0.5454598916497982,0.999352393697335,123,0.09439895846665813
30,0.19,plus,4,20.0,80.0,20,0.2,0.09682193795816589,-0.550686712293767,0.9995508646944388,63,0.08071483425060796
30,0.2,plus,4,20.0,80.0,20,0.2,0.10950477388101941,-0.43602834745570507,0.9994572739630853,25,0.06850861544861128
40,0.01,minus,9,40.0,200.0,20,0.2,0.029192928682294214,-0.43464154175060027,0.9984647642920929,171,0.18221166154633897
40,0.02,minus,9,40.0,200.0,20,0.2,0.03943110748788464,-0.4043310933807298,0.9993795416073685,26,0.12755216333845365
40,0.03,minus,7,40.0,160.0,20,0.2,0.05110892211392935,-0.3156538108542201,0.9989197882690292,23,0.08648153481822837
40,0.04,minus,6,20.0,120.0,20,0.2,0.05783517063628714,-0.6006891853537649,0.9992392392594386,92,0.16337554396518622
40,0.05,plus,6,100.0,200.0,20,0.2,0.008332970335365342,-0.7915430895434499,0.9999475832819966,8554,0.19665793053777209
40,0.05,minus,6,20.0,120.0,20,0.2,0.06908962005663057,-0.5850363878705437,0.9995249476557755,24,0.1321825403174197
40,0.06,plus,8,60.0,200.0,20,0.2,0.015310306115941948,-0.7320857152875855,0.9997981939304629,2243,0.1891381048387097
40,0.06,minus,5,20.0,100.0,20,0.2,0.08093952032469937,-0.560489300615777,0.999326182138664,35,0.10607821099449635
40,0.07,plus,9,40.0,200.0,20,0.2,0.02379790805539717,-0.6518414934028526,0.9993913069040147,442,0.18924611175115208
40,0.07,minus,4,20.0,80.0,20,0.2,0.09575432588160906,-0.45207621888099025,0.9975184802428211,67,0.08484357001151926
40,0.08,plus,9,40.0,200.0,20,0.2,0.03423665286369404,-0.4831613065018801,0.9988837133929075,61,0.14045698924731181
40,0.08,minus,4,20.0,80.0,20,0.2,0.10840943568657374,-0.405637781500623,0.9957691022601389,24,0.06736768846793806
40,0.09,plus,7,40.0,160.0,20,0.2,0.04451755110855821,-0.3993421992455208,0.9988590431453732,65,0.10246855798771122
40,0.1,plus,7,20.0,140.0,20,0.2,0.05552287855871627,-0.4045440021749409,0.9942809598475477,31,0.17250095993856393
40,0.11,plus,6,20.0,120.0,20,0.2,0.0655604789933732,-0.4093368569956684,0.9952810172255333,34,0.14530170069115578
40,0.12,plus,5,20.0,100.0,20,0.2,0.07431493833561371,-0.4784686753350176,0.9975146267397177,68,0.12172820939459875
40,0.13,plus,4,20.0,80.0,20,0.2,0.08518736871268635,-0.47021854573099964,0.99648018931519,154,0.10106053212594394
40,0.14,plus,4,20.0,80.0,20,0.2,0.09653992507797146,-0.4385639582787523,0.9977612876958922,66,0.08363464738256751
40,0.15,plus,4,20.0,80.0,20,0.2,0.11295352196184333,-0.2463674811814745,0.9959506242294467,20,0.06895958658645847
