source,n,tau,observable,n_samples,autocorrelation_time,effective_sample_size,mean,std,negative_count,negative_probability,target_symmetry_slope,ft_slope,ft_intercept,ft_r_squared,ft_slope_ci_low,ft_slope_ci_high,ft_intercept_ci_low,ft_intercept_ci_high,ft_bins_used
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,heat_current,1000064,1.0,1000064.0,0.795948701200249,1.0232428582406434,211630,0.21161645654678102,0.4,0.08111731618263589,0.0017748890164462016,0.9982951997726114,0.08042301681752485,0.0817325240195152,0.0013802210919162854,0.0022043150436935406,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,heat_current,499968,1.0,499968.0,0.7959488400759613,0.6434577255312622,48779,0.09756424411162315,0.4,0.10949050161780707,0.0005562301025530276,0.9964191160505175,0.10770380337456673,0.1110894235464941,6.874718158245624e-05,0.0010887411495719064,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,heat_current,333312,1.0,333312.0,0.7959488400759615,0.5003857668473065,14702,0.04410882296466974,0.4,0.13132279541436742,-0.00010275199454612042,0.9768785148178017,0.12596346275951764,0.13630199647120467,-0.0008196777846427817,0.0005981129399057335,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,heat_current,249984,1.0,249984.0,0.7959488400759613,0.4223887649718634,4959,0.019837269585253458,0.4,0.08515673120391584,0.00015754985575383858,0.4909387277083357,0.000991068819174103,0.16394724999463922,-0.0022083596823888004,0.002712787291192947,8
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,heat_current,199936,1.0,199936.0,0.7959593714318859,0.37172623822701617,1689,0.008447703265044815,0.4,0.15738902546967823,5.1503630853657126e-05,0.9622878542007292,0.1378189914794389,0.1758398040601725,-0.001266940617661634,0.001397516644051314,13
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,heat_current,166656,1.0,166656.0,0.7959488400759615,0.3355190796856718,615,0.0036902361751152074,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,heat_current,142848,1.0,142848.0,0.7959488400759613,0.30746247672282023,205,0.0014350918458781363,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,heat_current,124928,1.0,124928.0,0.7959506776933334,0.2864861495696417,76,0.0006083504098360656,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,heat_current,111104,1.0,111104.0,0.7959488400759612,0.2679274028155426,35,0.00031502016129032257,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,heat_current,99968,1.0,99968.0,0.7959593714318859,0.2540087427671864,15,0.00015004801536491676,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,heat_current,1000064,1.0,1000064.0,0.5229449840788842,0.962654788148505,288969,0.2889505071675413,0.4,0.05841277843968171,0.001768027001528678,0.9959488702405249,0.05781691412109241,0.05895430975792601,0.001367195006304907,0.0021893474806732715,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,heat_current,499968,1.0,499968.0,0.5229514852283311,0.5885383824529266,90933,0.18187764016897082,0.4,0.0804878769256742,0.00032980314676694743,0.9975496011254593,0.07954771038818508,0.08143459345036189,-4.495374346626752e-05,0.0006817637941953831,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,60.0,heat_current,333312,1.0,333312.0,0.5229514852283311,0.4442327654572038,37616,0.112855222734255,0.4,0.09577883661688819,0.00021021989436173378,0.9946633544900961,0.09390386454707587,0.09741718880340414,-0.0001362019288433632,0.000584604963604922,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,80.0,heat_current,249984,1.0,249984.0,0.5229514852283311,0.3669441079379927,17289,0.06916042626728111,0.4,0.10736056374938585,0.0002393957929960957,0.9869704799831002,0.10406946078540438,0.11037800498466507,-0.00022259940585724617,0.0007270661886730923,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,100.0,heat_current,199936,1.0,199936.0,0.5229615895165683,0.31900604137816996,8435,0.042188500320102434,0.4,0.11545479926936941,0.00035852686145863014,0.9526939294992977,0.10908973280135068,0.12066855443312956,-0.00011529322842220309,0.0008755003988942959,59
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,120.0,heat_current,166656,1.0,166656.0,0.5229514852283311,0.2842652857372592,4174,0.02504560291858679,0.4,0.09739111235654474,5.567294801622386e-05,0.5222552757977742,0.042580588313362956,0.1576809712451389,-0.0012139742528748264,0.0011923219755718207,16
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,140.0,heat_current,142848,1.0,142848.0,0.5229514852283311,0.2594498535448523,2143,0.015001960125448029,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,160.0,heat_current,124928,1.0,124928.0,0.5229522122235897,0.23966178807408955,1068,0.008548924180327868,0.4,0.1405316108578979,0.00025091233333227823,0.9776809774283253,0.11268716893305157,0.1706880362070574,-0.0009307905937039956,0.0012711296349069486,8
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,180.0,heat_current,111104,1.0,111104.0,0.5229514852283311,0.2235236707063309,581,0.0052293346774193545,0.4,nan,nan,nan,nan,nan,nan,nan,1
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,200.0,heat_current,99968,1.0,99968.0,0.5229615895165683,0.21032102991610077,308,0.0030809859154929575,0.4,nan,nan,nan,nan,nan,nan,nan,0
