# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091426 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
phase,checkpoint,absolute_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
burnin,2,1000,17,0.46684782772354083,0.033059720577860413,0.070836582419360639,0.042449029730276207,256
burnin,2,1000,18,0.49813858010202239,0.036155503877972714,0.021687440093955956,0.044224160497363781,256
burnin,2,1000,19,0.51324725363164703,0.034551125954928263,0.0066402663760527503,0.044011183574884073,256
burnin,2,1000,20,0.47191958292751224,0.034025344556840351,0.026059105864533194,0.043354253766951859,256
burnin,2,1000,21,0.47678704780108205,0.031746226797399274,-0.03425005087046884,0.04461789336082915,256
burnin,2,1000,22,0.52862575329254469,0.03817102908349207,0.0081406902754679322,0.043708312752362151,256
burnin,2,1000,23,0.49922613326043574,0.034311096836955678,-0.023312974943110021,0.043064831948615087,256
burnin,2,1000,24,0.50864018566971936,0.033733701056647303,-0.0034504570285207592,0.043842323046731545,256
burnin,2,1000,25,0.46480269565859089,0.031928292028695432,,,256
measurement,2,3000,1,0.49300863781945736,0.028144118417790871,-0.050062867667293176,0.043593389382929476,256
measurement,2,3000,2,0.49169617695224588,0.03131153213347989,-0.036108172631429625,0.044628399696489782,256
measurement,2,3000,3,0.48895528305092739,0.033376565549085968,0.018882035172282485,0.042781117414305209,256
measurement,2,3000,4,0.49307428902102401,0.032687335013282429,0.018834410806448432,0.044718837715086703,256
measurement,2,3000,5,0.49015987509937986,0.03215246748697613,0.12325255947689584,0.044437897114229012,256
measurement,2,3000,6,0.50340877053986333,0.03300735015409436,-0.043813749421133252,0.043332786936114372,256
measurement,2,3000,7,0.51047107865963426,0.031935085405168873,-0.063782394808185927,0.045988384396124057,256
measurement,2,3000,8,0.50117664161214748,0.033789140440487996,-0.014828575338469818,0.046179030645705499,256
measurement,2,3000,9,0.43368349120919447,0.027433824699903114,-0.005465771599119762,0.043207974031470753,256
measurement,2,3000,10,0.47394788122710452,0.031279266087676567,0.032345474962312437,0.045536348760366656,256
measurement,2,3000,11,0.50447772482837649,0.034618709224423325,0.039046905147188227,0.042502787068756619,256
measurement,2,3000,12,0.51195861225687622,0.035994641956784312,-0.034961310666403733,0.043880936594314739,256
measurement,2,3000,13,0.53260659657478016,0.035852223283427465,-0.028256290626814007,0.045184431240862057,256
measurement,2,3000,14,0.48563180368091707,0.035595553036249242,0.020119414170039818,0.042808607910089884,256
measurement,2,3000,15,0.566110791449006,0.040882132589088863,0.069715236336151065,0.044199342819845229,256
measurement,2,3000,16,0.53713356705884507,0.036028367942385446,0.077689818966973689,0.043443444792802981,256
measurement,2,3000,17,0.44545575097504297,0.031512385088662415,-0.049093827875367424,0.044307528948664805,256
measurement,2,3000,18,0.50011301921676932,0.033994307874024382,0.010228559976667384,0.043802682413503623,256
