# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091426 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
quarter,interval_start,interval_end,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
4,1500,2000,2,0.48881358567384237,0.0023699440661195227,0.0060427739168349747,0.0012206583955611137,256
4,1500,2000,3,0.48935133102865397,0.0023542402811649273,0.0049572877434973977,0.0012000854647475569,256
4,1500,2000,4,0.49073011646868736,0.0023783052878309711,0.0069860385772566565,0.0012609097587280415,256
4,1500,2000,5,0.49040709665657733,0.0023446429829262869,0.0060219329691270649,0.0013073425114151827,256
4,1500,2000,6,0.49354737963844886,0.0022578257202399456,0.0077950152384024529,0.00132200479299443,256
4,1500,2000,7,0.49421106217609884,0.0022510369336821651,0.0069096558649392927,0.0012322507684161858,256
4,1500,2000,8,0.49388817351181125,0.0024191455799092623,0.0048714018725517687,0.0013676649743803327,256
4,1500,2000,9,0.50015675603042076,0.0026183301102458249,0.0033182517134951964,0.0013512310082320999,256
4,1500,2000,10,0.49680177361588412,0.0026603551641545859,0.0057614860309407835,0.0013547442643760991,256
4,1500,2000,11,0.49704504106942954,0.0027109056307989743,0.0047075290104403511,0.0013432928258632635,256
4,1500,2000,12,0.49945278107162988,0.0029204334091470861,0.0051521288007359452,0.0013618088294231117,256
4,1500,2000,13,0.49745704882925845,0.0029889107147225177,0.0054322698405083435,0.0012710645178453722,256
4,1500,2000,14,0.49948718111942259,0.0030642611970469226,0.0045858357019911318,0.0013657954903266154,256
4,1500,2000,15,0.50146446602516659,0.003269762897852259,0.0052553842070016928,0.0011686154024797047,256
4,1500,2000,16,0.50081701248383925,0.0033995648870246927,0.0062321170999077849,0.0013428616000158604,256
4,1500,2000,17,0.50539936564080767,0.0035534855617540984,0.0033849402197389088,0.0014151230238051635,256
4,1500,2000,18,0.50622600988615896,0.0039392298231292122,0.00252197298197839,0.0011470455263796824,256
4,1500,2000,19,0.50443160469198944,0.0038692279570948841,0.0010843162365080652,0.001152355991417893,256
4,1500,2000,20,0.50596388857717856,0.0037358284858280038,0.0018354877251734825,0.0012686308749117294,256
4,1500,2000,21,0.50485628361326196,0.0039403779235877194,0.001489028076390877,0.0013107791280502178,256
4,1500,2000,22,0.50427801657218541,0.0041591627501691734,0.0030272273324816815,0.0012846841999922724,256
4,1500,2000,23,0.50538146672140227,0.0044971446153972599,0.00067548815182022449,0.0012351352247195017,256
4,1500,2000,24,0.50303292906823405,0.0046167092793103206,-9.2869147862567007e-05,0.0012106754342128888,256
4,1500,2000,25,0.47910203102739429,0.0032834735102897973,,,256
