# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=100 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026091501 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,z_delta_I,mean_sin_q3,mean_sin_q4,mean_delta_sin_q4_minus_q3,se_delta_sin,z_delta_sin,sample_count
34,0.24480222309664681,0.24122440216369331,-0.0035778209329534816,0.0055788860744634405,-0.014722736356416778,-0.64131457161859773,0.0041921843826709711,0.001780367455183747,-0.0024118169274872244,0.0029979503527983319,-0.80448861510865188,256
35,0.2467858453242498,0.24028093627039868,-0.0065049090538508367,0.005481271277113722,-0.026710542782465575,-1.1867518911189765,0.0019568728046049106,0.0026827221650335144,0.00072584936042860405,0.0027366984387915982,0.26522811214417402,256
36,0.2456420125645519,0.24138969758360926,-0.0042523149809426449,0.005415720552003761,-0.017462168858159308,-0.78517991098512863,0.0044315229883030325,-0.0016674517912791645,-0.0060989747795821966,0.0029014793172149,-2.102022490181505,256
37,0.24862630434545244,0.24167955498018157,-0.0069467493652708694,0.0054268113186424285,-0.028336391389755852,-1.2800793978974505,0.0032199982311881502,-0.0011126595254693855,-0.0043326577566575354,0.0028420677728692822,-1.5244737644955559,256
38,0.24627205790643736,0.24118743127392314,-0.0050846266325141184,0.0052824097637588999,-0.020861740289695341,-0.96255816188253418,-0.00021152143096527675,0.0046280012944196897,0.0048395227253849645,0.0028223324517448432,1.7147245436635359,256
39,0.24412483730466411,0.24043034583347039,-0.0036944914711937666,0.0049632366248142292,-0.01524900197028977,-0.744371415362863,1.9057016869262379e-05,0.0050013249493287741,0.0049822679324595109,0.0030177184989177023,1.6510048681632796,256
40,0.24286724035356003,0.24253721275899839,-0.00033002759456163483,0.0052928005477965801,-0.0013598045606932497,-0.062354058419795737,0.0038259636811356227,0.0062511046818976854,0.0024251410007620627,0.0028576067578138663,0.84866155713368707,256
41,0.24520035519783159,0.24517208619492456,-2.8269002906771757e-05,0.0055509605152371383,-0.00011529605059567425,-0.005092632676664626,0.0022656420945926042,0.003006291990199484,0.0007406498956068798,0.0030830057298507829,0.24023630200736837,256
42,0.24371485529651105,0.24511475870150198,0.0013999034049909367,0.0056064858576667393,0.0057275720001555668,0.24969355859100248,0.0021492474732028107,0.003008574629697862,0.00085932715649505293,0.0028656430824798651,0.29987236084942231,256
43,0.24652726805172273,0.2464151274555772,-0.0001121405961454397,0.0057398741896632468,-0.00045498458711400907,-0.019537117441944994,0.0049814815596846123,0.0016900300037250679,-0.0032914515559595435,0.0029804487436666141,-1.1043476466266375,256
44,0.24622152678621567,0.24642774427737374,0.00020621749115805332,0.0058011640420131266,0.00083717769728085321,0.035547605560640461,0.00014419347337300229,0.00077916167832405318,0.00063496820495105252,0.0028615003156137126,0.22190044903590003,256
45,0.2456083230083588,0.24775678624967021,0.0021484632413115027,0.0062506339394721834,0.0087094251336198997,0.34371925505733958,-0.0002006783184767723,0.0037885521865094699,0.0039892305049862463,0.0030039689984432847,1.3279865761109861,256
