theta1,theta3,pdf,log_pdf
-1.5708,2.61799,0.0313847,-3.46144
-1.5708,2.82743,0.0332767,-3.4029
-1.5708,3.03687,0.0343842,-3.37016
-1.36136,-3.03687,0.0320393,-3.44079
-1.36136,-2.82743,0.0311575,-3.4687
-1.36136,-2.61799,0.0296086,-3.51969
-1.36136,-2.40855,0.0276884,-3.58674
-1.36136,-2.19911,0.0257251,-3.66029
-1.36136,-1.98968,0.0237734,-3.73919
-1.36136,-1.78024,0.021831,-3.82442
-1.36136,-1.5708,0.0201956,-3.90229
-1.36136,-1.36136,0.0188431,-3.97161
-1.36136,-1.15192,0.0177439,-4.03171
-1.36136,-0.942478,0.0168772,-4.08179
-1.36136,-0.733038,0.016229,-4.12096
-1.36136,-0.523599,0.0157472,-4.15109
-1.36136,-0.314159,0.015455,-4.16982
-1.36136,-0.10472,0.015316,-4.17885
-1.36136,0.10472,0.0152943,-4.18028
-1.36136,0.314159,0.0154135,-4.17251
-1.36136,0.523599,0.0156986,-4.15419
-1.36136,0.733038,0.0161476,-4.12598
-1.36136,0.942478,0.0167668,-4.08835
-1.36136,1.15192,0.0175626,-4.04198
-1.36136,1.36136,0.0185766,-3.98585
-1.36136,1.5708,0.019815,-3.92132
-1.36136,1.78024,0.0213014,-3.84898
-1.36136,1.98968,0.0230439,-3.77035
-1.36136,2.19911,0.0250126,-3.68837
-1.36136,2.40855,0.0271477,-3.60646
-1.36136,2.61799,0.0291851,-3.5341
-1.36136,2.82743,0.0309096,-3.47669
-1.36136,3.03687,0.0319494,-3.4436
-1.15192,-3.03687,0.030057,-3.50466
-1.15192,-2.82743,0.0292529,-3.53178
-1.15192,-2.61799,0.0278104,-3.58235
-1.15192,-2.40855,0.0260379,-3.6482
-1.15192,-2.19911,0.0242041,-3.72123
-1.15192,-1.98968,0.0223178,-3.80237
-1.15192,-1.78024,0.0205258,-3.88607
-1.15192,-1.5708,0.0189846,-3.96412
-1.15192,-1.36136,0.0177451,-4.03164
-1.15192,-1.15192,0.0167403,-4.08994
-1.15192,-0.942478,0.0159412,-4.13885
-1.15192,-0.733038,0.0153445,-4.177
-1.15192,-0.523599,0.0149061,-4.20599
-1.15192,-0.314159,0.0146137,-4.2258
-1.15192,-0.10472,0.0144738,-4.23541
-1.15192,0.10472,0.0144706,-4.23563
-1.15192,0.314159,0.0145979,-4.22688
-1.15192,0.523599,0.0148575,-4.20925
-1.15192,0.733038,0.0152639,-4.18227
-1.15192,0.942478,0.0158357,-4.14549
