theta1,theta3,diff
-0.733038,2.19911,-0.00194201
-0.733038,2.40855,-0.00147878
-0.733038,2.61799,-0.000735728
-0.733038,2.82743,-0.000298402
-0.733038,3.03687,0.000538912
-0.523599,-3.03687,-0.000243123
-0.523599,-2.82743,-3.28544e-05
-0.523599,-2.61799,-0.000524582
-0.523599,-2.40855,-0.0010089
-0.523599,-2.19911,-0.00161509
-0.523599,-1.98968,-0.00198283
-0.523599,-1.78024,-0.00220264
-0.523599,-1.5708,-0.00209863
-0.523599,-1.36136,-0.00196912
-0.523599,-1.15192,-0.00193515
-0.523599,-0.942478,-0.00180443
-0.523599,-0.733038,-0.00145211
-0.523599,-0.523599,-0.00165587
-0.523599,-0.314159,-0.00140932
-0.523599,-0.10472,-0.00144135
-0.523599,0.10472,-0.00132745
-0.523599,0.314159,-0.00132673
-0.523599,0.523599,-0.00150759
-0.523599,0.733038,-0.00162581
-0.523599,0.942478,-0.00178695
-0.523599,1.15192,-0.00199295
-0.523599,1.36136,-0.00206335
-0.523599,1.5708,-0.00221331
-0.523599,1.78024,-0.00218457
-0.523599,1.98968,-0.00212587
-0.523599,2.19911,-0.00240532
-0.523599,2.40855,-0.00130326
-0.523599,2.61799,-0.00110663
-0.523599,2.82743,-0.000601322
-0.523599,3.03687,-0.00049412
-0.314159,-3.03687,-0.000701336
-0.314159,-2.82743,-0.000246067
-0.314159,-2.61799,-0.000695292
-0.314159,-2.40855,-0.00126276
-0.314159,-2.19911,-0.00170477
-0.314159,-1.98968,-0.00206404
-0.314159,-1.78024,-0.00231739
-0.314159,-1.5708,-0.00199985
-0.314159,-1.36136,-0.00176564
-0.314159,-1.15192,-0.00192048
-0.314159,-0.942478,-0.00172733
-0.314159,-0.733038,-0.00153723
-0.314159,-0.523599,-0.00134039
-0.314159,-0.314159,-0.00147428
-0.314159,-0.10472,-0.0013035
-0.314159,0.10472,-0.00125054
-0.314159,0.314159,-0.00126566
-0.314159,0.523599,-0.00129547
-0.314159,0.733038,-0.00152975
-0.314159,0.942478,-0.00170921
-0.314159,1.15192,-0.00174259
-0.314159,1.36136,-0.0020142
-0.314159,1.5708,-0.00178586
-0.314159,1.78024,-0.00226273
-0.314159,1.98968,-0.00206
-0.314159,2.19911,-0.00204197
-0.314159,2.40855,-0.00137117
-0.314159,2.61799,-0.00129752
-0.314159,2.82743,-0.00095387
-0.314159,3.03687,-0.000742897
-0.10472,-3.03687,-0.00052818
-0.10472,-2.82743,-0.000850135
-0.10472,-2.61799,-0.0011563
-0.10472,-2.40855,-0.0013977
-0.10472,-2.19911,-0.00185743
-0.10472,-1.98968,-0.00236164
-0.10472,-1.78024,-0.001986
-0.10472,-1.5708,-0.0021613
-0.10472,-1.36136,-0.00193183
-0.10472,-1.15192,-0.00164417
-0.10472,-0.942478,-0.00157415
-0.10472,-0.733038,-0.00152433
-0.10472,-0.523599,-0.00138194
-0.10472,-0.314159,-0.00136523
-0.10472,-0.10472,-0.0013203
-0.10472,0.10472,-0.00129545
-0.10472,0.314159,-0.00142566
-0.10472,0.523599,-0.00127555
-0.10472,0.733038,-0.00136864
-0.10472,0.942478,-0.00136385
-0.10472,1.15192,-0.00173119
-0.10472,1.36136,-0.001945
-0.10472,1.5708,-0.00203468
-0.10472,1.78024,-0.00207565
-0.10472,1.98968,-0.00180515
-0.10472,2.19911,-0.0017332
-0.10472,2.40855,-0.00147327
-0.10472,2.61799,-0.00150318
-0.10472,2.82743,-0.000956061
-0.10472,3.03687,-0.000624893
0.10472,-3.03687,-0.000745088
0.10472,-2.82743,-0.000814656
0.10472,-2.61799,-0.000605215
0.10472,-2.40855,-0.0013675
0.10472,-2.19911,-0.00183104
0.10472,-1.98968,-0.00233003
0.10472,-1.78024,-0.00199289
0.10472,-1.5708,-0.00222623
0.10472,-1.36136,-0.00206153
0.10472,-1.15192,-0.00183402
0.10472,-0.942478,-0.00159266
0.10472,-0.733038,-0.00153942
0.10472,-0.523599,-0.00134357
0.10472,-0.314159,-0.00119856
0.10472,-0.10472,-0.00136595
0.10472,0.10472,-0.00124099
0.10472,0.314159,-0.00139723
0.10472,0.523599,-0.00140156
0.10472,0.733038,-0.00146854
0.10472,0.942478,-0.00137631
0.10472,1.15192,-0.0013761
0.10472,1.36136,-0.00182079
0.10472,1.5708,-0.00199938
0.10472,1.78024,-0.0020228
0.10472,1.98968,-0.00204236
0.10472,2.19911,-0.00205633
0.10472,2.40855,-0.00162116
0.10472,2.61799,-0.0013766
0.10472,2.82743,-0.000841466
0.10472,3.03687,-0.000332591
0.314159,-3.03687,-0.00045869
0.314159,-2.82743,-0.00052146
0.314159,-2.61799,-0.00119407
0.314159,-2.40855,-0.00122123
0.314159,-2.19911,-0.00177971
0.314159,-1.98968,-0.00194222
0.314159,-1.78024,-0.00197956
0.314159,-1.5708,-0.00221492
0.314159,-1.36136,-0.00232655
0.314159,-1.15192,-0.00196263
0.314159,-0.942478,-0.00168761
0.314159,-0.733038,-0.00142136
0.314159,-0.523599,-0.00141367
0.314159,-0.314159,-0.00135863
0.314159,-0.10472,-0.0013802
0.314159,0.10472,-0.00128474
0.314159,0.314159,-0.00132144
0.314159,0.523599,-0.00131458
0.314159,0.733038,-0.00155776
0.314159,0.942478,-0.00160672
0.314159,1.15192,-0.00178337
0.314159,1.36136,-0.00185875
0.314159,1.5708,-0.00192447
0.314159,1.78024,-0.00187512
0.314159,1.98968,-0.00208985
0.314159,2.19911,-0.00198065
0.314159,2.40855,-0.00161261
0.314159,2.61799,-0.000934224
0.314159,2.82743,-0.00032262
0.314159,3.03687,-0.000478935
0.523599,-3.03687,-8.36224e-06
0.523599,-2.82743,-0.00042878
0.523599,-2.61799,-0.000386241
0.523599,-2.40855,-0.00138826
0.523599,-2.19911,-0.00144282
0.523599,-1.98968,-0.00212529
0.523599,-1.78024,-0.00218788
0.523599,-1.5708,-0.0019689
0.523599,-1.36136,-0.00218876
0.523599,-1.15192,-0.00207665
0.523599,-0.942478,-0.0018331
0.523599,-0.733038,-0.00174624
0.523599,-0.523599,-0.00137038
0.523599,-0.314159,-0.00138781
0.523599,-0.10472,-0.0014377
0.523599,0.10472,-0.00137672
0.523599,0.314159,-0.00136917
0.523599,0.523599,-0.00151765
0.523599,0.733038,-0.00163515
