case,delta_beta,t,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
dbeta_0p027972,0.02797202797202797,320,21,107.74799826254957,1206,53,3.124772463735009,0.1403463997566502
dbeta_0p027972,0.02797202797202797,320,22,112.87885532267097,1182,62,2.9478288129209522,0.13028835691161278
dbeta_0p027972,0.02797202797202797,320,23,118.00971238279239,1178,47,3.2214257625014735,0.1487464022399057
dbeta_0p027972,0.02797202797202797,320,24,123.1405694429138,1200,42,3.3524072174927233,0.15698043554168506
dbeta_0p027972,0.02797202797202797,320,25,128.2714265030352,1290,41,3.44882543065141,0.1586361803022521
dbeta_0p027972,0.02797202797202797,320,26,133.4022835631566,1326,29,3.8226263407593337,0.187714960601602
dbeta_0p027972,0.02797202797202797,320,27,138.53314062327803,1279,33,3.6573262401123623,0.17630907841572646
dbeta_0p027972,0.02797202797202797,320,28,143.66399768339943,1235,24,3.940772418714132,0.20609799432759396
dbeta_0p027972,0.02797202797202797,320,29,148.79485474352083,1315,16,4.409003222372084,0.2515163141304441
dbeta_0p027972,0.02797202797202797,320,30,153.92571180364223,1176,17,4.236660784402356,0.24428235619425961
dbeta_0p027972,0.02797202797202797,320,31,159.05656886376366,1232,11,4.718498871295094,0.3028543861673118
dbeta_0p027972,0.02797202797202797,320,32,164.18742592388506,1188,13,4.515077142461053,0.2788634572059017
dbeta_0p027972,0.02797202797202797,320,33,169.31828298400646,1208,11,4.69882610569639,0.3028810087784101
dbeta_0p027972,0.02797202797202797,320,34,174.4491400441279,1183,11,4.677913591180016,0.3029098866770564
dbeta_0p027972,0.02797202797202797,640,1,7.297697498001052,87,88,-0.011428695823622744,0.15118825760355722
dbeta_0p027972,0.02797202797202797,640,2,14.595394996002105,91,74,0.20679441331268036,0.15653282244476557
dbeta_0p027972,0.02797202797202797,640,3,21.893092494003156,114,79,0.3667505959274739,0.14639042889705142
dbeta_0p027972,0.02797202797202797,640,4,29.19078999200421,128,59,0.7744928200138977,0.15735835707827175
dbeta_0p027972,0.02797202797202797,640,5,36.48848749000526,146,62,0.8564722366632449,0.15158610532155534
dbeta_0p027972,0.02797202797202797,640,6,43.78618498800631,170,46,1.3071570405611668,0.16619712204475467
dbeta_0p027972,0.02797202797202797,640,7,51.08388248600737,162,35,1.5322482737429706,0.1863981439757419
dbeta_0p027972,0.02797202797202797,640,8,58.38157998400842,219,33,1.8925641683500207,0.1867330724555573
dbeta_0p027972,0.02797202797202797,640,9,65.67927748200947,189,39,1.5781853689299958,0.17587504351678476
dbeta_0p027972,0.02797202797202797,640,10,72.97697498001052,200,31,1.8643301620628903,0.1930234817739257
dbeta_0p027972,0.02797202797202797,640,11,80.27467247801158,244,30,2.0959708436310462,0.19347272156319875
dbeta_0p027972,0.02797202797202797,640,12,87.57236997601262,229,15,2.7256718024520294,0.26652106651021207
dbeta_0p027972,0.02797202797202797,640,13,94.87006747401368,275,20,2.6210388241125804,0.2315952582337636
dbeta_0p027972,0.02797202797202797,640,14,102.16776497201474,289,10,3.3638415951183864,0.3216523085762898
dbeta_0p027972,0.02797202797202797,640,15,109.46546247001578,311,13,3.174843554717697,0.28308746176169336
dbeta_0p027972,0.02797202797202797,640,16,116.76315996801684,319,10,3.462606009790799,0.32114606682667707
dbeta_0p027972,0.02797202797202797,640,17,124.0608574660179,344,14,3.2015843277581397,0.2726454624099904
dbeta_0p057143,0.05714285714285716,20,1,1.3113961170989672,17881,16724,0.06689388309874734,0.010757304095484779
dbeta_0p057143,0.05714285714285716,20,2,2.6227922341979344,18483,15983,0.14532573331402684,0.010801400275636848
dbeta_0p057143,0.05714285714285716,20,3,3.9341883512969016,18651,15414,0.19062357659950854,0.010885426714098697
dbeta_0p057143,0.05714285714285716,20,4,5.245584468395869,19299,14703,0.2720017265014528,0.010946665560357978
dbeta_0p057143,0.05714285714285716,20,5,6.556980585494836,19894,13606,0.3799073068073531,0.011124899936945997
dbeta_0p057143,0.05714285714285716,20,6,7.868376702593803,20128,13110,0.4287365827424215,0.011223176271649335
dbeta_0p057143,0.05714285714285716,20,7,9.17977281969277,20582,12497,0.4989282919102533,0.01134042979084375
dbeta_0p057143,0.05714285714285716,20,8,10.491168936791738,20636,11366,0.5964106805074738,0.011680783513503044
dbeta_0p057143,0.05714285714285716,20,9,11.802565053890705,20863,10943,0.6452772727114311,0.011803150605694389
dbeta_0p057143,0.05714285714285716,20,10,13.113961170989672,20629,10202,0.7041140733101362,0.01210353019846691
dbeta_0p057143,0.05714285714285716,20,11,14.42535728808864,20890,9595,0.7780284461088112,0.012332507554042513
dbeta_0p057143,0.05714285714285716,20,12,15.736753405187606,21038,8957,0.853894976824024,0.012616558932440743
dbeta_0p057143,0.05714285714285716,20,13,17.04814952228657,20984,8272,0.9308839247984992,0.01298249224961792
dbeta_0p057143,0.05714285714285716,20,14,18.35954563938554,20694,7532,1.0106831923878528,0.013456970195990719
dbeta_0p057143,0.05714285714285716,20,15,19.67094175648451,20306,7062,1.0561881113728362,0.013814828028644824
dbeta_0p057143,0.05714285714285716,20,16,20.982337873583475,20170,6434,1.1425999231492858,0.014317922000569114
dbeta_0p057143,0.05714285714285716,20,17,22.29373399068244,19843,5873,1.2174857235627328,0.014854842172323265
dbeta_0p057143,0.05714285714285716,20,18,23.60513010778141,19498,5499,1.265745638681402,0.015268875439932146
dbeta_0p057143,0.05714285714285716,20,19,24.91652622488038,18917,4919,1.3469557308703235,0.016004869788062905
dbeta_0p057143,0.05714285714285716,20,20,26.227922341979344,18825,4426,1.4476895320570993,0.016705043883349265
dbeta_0p057143,0.05714285714285716,20,21,27.53931845907831,18259,3996,1.5193642483682888,0.017464757718393464
dbeta_0p057143,0.05714285714285716,20,22,28.85071457617728,17611,3655,1.5724276136112065,0.01817637213122561
dbeta_0p057143,0.05714285714285716,20,23,30.162110693276247,17079,3205,1.673137548264421,0.019250036829497472
dbeta_0p057143,0.05714285714285716,20,24,31.473506810375213,16634,2932,1.7357640094220907,0.020029526979018494
dbeta_0p057143,0.05714285714285716,20,25,32.78490292747418,15887,2708,1.769290809687858,0.0207899197801873
dbeta_0p057143,0.05714285714285716,20,26,34.09629904457314,15506,2377,1.8753878574187104,0.02202701804572815
dbeta_0p057143,0.05714285714285716,20,27,35.407695161672116,14603,2092,1.943106440855658,0.023377137376430508
dbeta_0p057143,0.05714285714285716,20,28,36.71909127877108,14081,1871,2.018353323643222,0.02460673133438818
dbeta_0p057143,0.05714285714285716,20,29,38.03048739587005,13665,1709,2.0789294152465776,0.02565769208969964
dbeta_0p057143,0.05714285714285716,20,30,39.34188351296902,12899,1551,2.1182499047885974,0.0268750947005117
dbeta_0p057143,0.05714285714285716,20,31,40.653279630067985,12218,1356,2.1983710847093714,0.028623584382325547
dbeta_0p057143,0.05714285714285716,20,32,41.96467574716695,11638,1218,2.257065436946773,0.030115502305882995
dbeta_0p057143,0.05714285714285716,20,33,43.276071864265916,11220,1031,2.3871686950597275,0.03254318153572976
dbeta_0p057143,0.05714285714285716,20,34,44.58746798136488,10602,927,2.436844375981896,0.034250116461622994
dbeta_0p057143,0.05714285714285716,20,35,45.898864098463854,9974,816,2.5033226311419607,0.036410862031001315
dbeta_0p057143,0.05714285714285716,20,36,47.21026021556282,9496,730,2.565581402147067,0.038407948547045316
dbeta_0p057143,0.05714285714285716,20,37,48.521656332661784,8847,615,2.666211429676868,0.04170190555122395
