event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
38,38,-0.044261185152396187,-1.2227067508087517,-0.032176493442335571,0.23081141790228488,-0.50434675494514292,0.16914804134647116,-0.42899627879697955,-0.017584763787085299,0,-0.31909571324823954,725.32576292347312,0.00443265873833904,1,758,654.54182272159801,85,44.715394456289978,44.715394456289978
39,39,-0.026234742101371999,-1.2489414929101237,-0.032024140843849323,0.21931267171360674,-0.61971149569015127,0.24734762734949836,-0.42990976693451693,0.039222341719366588,0,-0.28892373196980103,720.97688724160218,0.0028571591812187849,1,745,644.88068880688809,83,42.677085877085879,42.677085877085879
40,40,-0.049608988472787274,-1.298550481382911,-0.032463762034572775,0.30927285641904984,-0.44864128518492957,0.27085737406437294,-0.29917875761249196,0.038465717965858091,0,-0.27855688703452725,723.94691521105528,0.0032035788759957945,1,759,652.91158156911581,81,41.560681728101464,41.560681728101464
41,41,0.010345516846337333,-1.2882049645365736,-0.031419633281379845,0.12572221635442027,-0.54830642366808025,0.14658968351128546,-0.41402538634044522,0.022344380480627885,0,-0.24427494036897759,732.58006763596882,0.0037652138665091404,1,758,652.91158156911581,80,40.829218908184721,40.829218908184721
42,42,-0.064533779464756691,-1.3527387440013303,-0.03220806533336501,0.2087678766573681,-0.5388127488322948,0.23039135640968922,-0.35988667110242567,0.021248912728349608,0,-0.29809926450547358,719.26830061105454,0.0037051409072455816,1,753,642.50980392156862,79,42.353017206559493,42.353017206559493
43,43,-0.025223316223794257,-1.3779620602251246,-0.032045629307561038,0.19318118654166366,-0.42295085644091562,0.21057565463947361,-0.29228617712294264,0.06517108302113378,0,-0.23663948153663208,740.17251043023634,0.0035445198332468199,1,756,649.67534076827758,77,42.999097843024686,42.999097843024686
44,44,-0.0061553904790292435,-1.3841174507041538,-0.031457214788730765,0.068959996487875583,-0.53376656353741014,0.15218987718136162,-0.38011232087086483,0.063878912329311435,0,-0.26613270039513481,728.7654194150382,0.0045871637407760802,1,750,637.81995133819953,75,41.93968482521398,41.93968482521398
45,45,-0.02661872217698491,-1.4107361728811387,-0.031349692730691971,0.1747179652323578,-0.43441467017368035,0.10768522648033287,-0.40118123387611382,0.02659727102632364,0,-0.29760162826249864,733.81990191897603,0.0034142904094014242,1,757,651.28944099378884,71,41.017681114066654,41.017681114066654
46,46,-0.028171031688906112,-1.4389072045700448,-0.031280591403696628,0.15911178811069704,-0.45236123913187171,0.15535982756486424,-0.37833348831285502,-0.018553701963009182,0,-0.29441676862478361,716.83218820559466,0.0035006919622081294,1,759,647.26913580246912,69,41.114178168130486,41.114178168130486
47,47,-0.043453106679872455,-1.4823603112499173,-0.03153958109042377,0.28769519320313897,-0.55806505183784383,0.38114918009782744,-0.27290300332967454,0.16203119740012742,0,-0.26368561532722551,718.85495663063671,0.0036025535633837213,1,748,642.50980392156862,69,39.437941928689632,39.437941928689632
48,48,-0.009035793031096695,-1.491396104281014,-0.031070752172521126,0.19495690106969293,-0.44968292548476368,0.1808883865873708,-0.33702738981277697,0.021523460812270599,0,-0.27573191827527277,725.44944618623583,0.0035132816301757953,1,749,643.29815950920249,68,39.93966633655824,39.93966633655824
49,49,-0.032800095783412253,-1.5241962000644262,-0.031106044899274005,0.39493630773098015,-0.35842897557680103,0.32997106504782964,-0.25151560573955284,-0.011008906878942369,0,-0.215501507354845,739.3175749420335,0.0028924615720250899,1,760,654.54182272159801,68,39.800197373415322,39.800197373415322
50,50,-0.023256428917248329,-1.5474526289816746,-0.030949052579633492,0.25307683667364045,-0.40854423169696952,0.24043041474112595,-0.32065858836672056,0.0014612769351754391,0,-0.29036252638647869,725.18319377879595,0.0034443574247203222,1,751,646.47102342786684,67,40.45432098765432,40.45432098765432
51,51,-0.011487800947694637,-1.5589404299293692,-0.030567459410379787,0.22267691822492394,-0.63106844061083378,0.22357088717348456,-0.45612942418217117,0.064675124972810569,0,-0.25812017874273352,727.86693990635479,0.0031115590663913081,1,753,651.28944099378884,66,39.791135397692777,39.791135397692777
52,52,-0.090140146705131485,-1.6490805766345007,-0.031713088012201934,0.60538908022666649,-0.33728249615249095,0.46444804489038521,-0.29786265406777696,0.00278088091640736,0,-0.30936860103692188,691.00420209063338,0.0040746629785143916,1,724,615.36150234741785,63,38.094020199084504,38.094020199084504
53,53,-0.035213792626758611,-1.6842943692612593,-0.031779139042665272,0.19632165332211052,-0.51099301182750745,0.26331576662836548,-0.35060955978653235,0.043759261592336736,0,-0.25242152811070501,730.02811853646028,0.0034158202222770674,1,755,652.09950248756218,61,36.880135059088353,36.880135059088353
54,54,-0.059985103186146027,-1.7442794724474053,-0.032301471711988987,0.20965080404316014,-0.60871475906962491,0.21409702571302006,-0.43745630962027549,0.058103996857447743,0,-0.33849849122171977,716.44124730042631,0.0035317721402770633,1,738,632.43425814234013,60,37.783799365811475,37.783799365811475
55,55,-0.079346693664402501,-1.8236261661118078,-0.033156839383851049,0.42123239921749334,-0.30482514158086826,0.3321017428043993,-0.276180234832684,0.028413110492400692,0,-0.28694574199239553,731.81095705215796,0.0031116175344048287,1,756,655.36000000000001,59,37.718561151079136,37.718561151079136
56,56,-0.024870001700909583,-1.8484961678127174,-0.033008860139512812,0.27179686105555473,-0.44637281884463714,0.18025343096454347,-0.36983526023288382,0.064546231568178916,0,-0.27626794312145508,726.72301180087857,0.0037844863933592958,1,755,644.88068880688809,59,38.138357459809413,38.138357459809413
57,57,-0.058754684847842853,-1.9072508526605603,-0.033460541274746673,0.33355240446421347,-0.35295188884481499,0.21803978638455249,-0.38597324545151962,-0.069644293488172984,0,-0.28794704183973352,719.28993100683067,0.0030724570726297779,1,748,640.93887530562347,59,38.322344857832029,38.322344857832029
58,58,-0.038223680072273503,-1.9454745327328338,-0.03354266435746265,0.19787280543490368,-0.7429656375741378,0.31536971147099013,-0.43162256976797048,0.10210304903233169,0,-0.28347803861536724,710.68166932242423,0.0034946569230269644,1,727,623.41022592152194,57,36.487438235089428,36.487438235089428
59,59,-0.093407313955319538,-2.0388818466881533,-0.034557319435392427,0.39377890967697177,-0.41554659006791539,0.32178508035833586,-0.34091267798730202,-0.032228696672182332,0,-0.34426814483585289,705.84486776967958,0.0031087740777887602,1,731,623.41022592152194,57,37.321184510250568,37.321184510250568
60,60,-0.077301187823956674,-2.11618303451211,-0.035269717241868496,0.21642196885614989,-0.560334681316633,0.29223145991893029,-0.3353461896960136,-0.039372280561200478,0,-0.30842161982689548,716.08330632574177,0.0030677281293526675,1,746,637.81995133819953,56,35.317480633209833,35.317480633209833
61,61,-0.036083144956853275,-2.1522661794689633,-0.035283052122442024,0.25854463537449768,-0.48566546484883949,0.2370541384905962,-0.34522284641994067,0.018132522965295307,0,-0.26562847802943185,717.94550786106208,0.0033959675961910876,1,754,636.27184466019412,56,34.631613712926878,34.631613712926878
62,62,-0.039349734388935964,-2.1916159138578992,-0.035348643771901597,0.13950656816701171,-0.44574442428360989,0.16103139151461315,-0.3232600084619735,0.011480616884866911,0,-0.28789312655493421,721.6277060551148,0.0036098406848025784,1,744,636.27184466019412,54,32.901663005961723,32.901663005961723
63,63,-0.044102168879486037,-2.2357180827373853,-0.035487588614879134,0.24638689258320118,-0.36478343280555253,0.21832397561509737,-0.29818711041447249,0.082981430983140564,0,-0.29572024311051465,716.67711223775734,0.0034860068562357267,1,744,639.37560975609756,54,32.982385505787619,32.982385505787619
64,64,-0.017226334905577012,-2.2529444176429623,-0.035202256525671285,0.18665902213973637,-0.40581136007048046,0.15868307829321612,-0.32694915167544025,0.077889036786092422,0,-0.25957353424211799,734.71376821917954,0.0031429334141064159,1,760,654.54182272159801,53,32.240068872217442,32.240068872217442
65,65,-0.020336299680919545,-2.2732807173238818,-0.034973549497290486,0.21510726503250102,-0.53493840853659469,0.25831299628657645,-0.34173354261177058,0.080720772626474785,0,-0.24917592934523375,708.31715748196723,0.0050661359421712631,1,744,636.27184466019412,52,32.180702185121532,32.180702185121532
66,66,-0.042112301386116435,-2.3153930187099983,-0.035081712404696944,0.17995884795960246,-0.44526036552800097,0.14082165182877895,-0.42078729723770447,-0.058481002153513574,0,-0.31055386788610051,719.60383785745466,0.0039609053551036642,1,756,645.67487684729065,52,30.268922117660644,30.268922117660644
67,67,-0.029239826875965491,-2.3446328455859637,-0.034994520083372595,0.199810253769244,-0.50204773330444019,0.13557802188174223,-0.45827677802756511,0.043877394090548992,0,-0.30016491914961896,717.9413654616975,0.0038881533043623562,1,741,637.81995133819953,52,30.531563009550432,30.531563009550432
68,68,-0.078269399737242118,-2.4229022453232059,-0.035630915372400089,0.39193576190407864,-0.3046975010958502,0.28699930245319355,-0.27512630747676109,0.032970772330492656,0,-0.32413856002660163,710.25634062922234,0.0036317507963506113,1,756,644.08845208845207,51,29.52404550061944,29.52404550061944
69,69,-0.0052111189197638907,-2.4281133642429698,-0.035190048757144488,0.18402731336479236,-0.55740556350737203,0.16931820889998864,-0.47641646301633572,0.045074288912586552,0,-0.25767524211154458,734.98523813803763,0.0031669903139761421,1,770,665.34010152284259,51,28.376704914483653,28.376704914483653
70,70,-0.05552585593409809,-2.4836392201770678,-0.035480560288243826,0.42334025885515347,-0.55651310489912309,0.40682894041948875,-0.35233536088815881,0.080336093738022182,0,-0.2871164424609165,699.78401878728573,0.0040242342906668324,1,747,638.59683313032883,50,27.273994693856316,27.273994693856316
71,71,-0.061139639491440967,-2.5447788596685088,-0.035841955769978999,0.33510480728749087,-0.44242356732896115,0.26293949746751027,-0.36425355803530601,0.0012263642477098181,0,-0.32797710454241741,714.18278857039354,0.0038100066131256439,1,738,634.73123486682812,50,27.52023515825941,27.52023515825941
72,72,-0.072669026379021062,-2.6174478860475299,-0.036353442861771251,0.5087517725463111,-0.42392169502122828,0.35422018488485374,-0.39410144475797748,0.07325296393135175,0,-0.29527928797998865,704.26812304105772,0.0036857983244519004,1,743,633.96372430471581,50,27.862464792474888,27.862464792474888
73,73,-0.067797649621804901,-2.6852455356693348,-0.036784185420127874,0.2626632224482518,-0.51014193061487101,0.30494141582874829,-0.30109962169015175,0.044050051797448794,0,-0.29511724438861942,720.15722855304887,0.002938023964379948,1,756,648.87128712871288,50,26.94459862267448,26.94459862267448
74,74,-0.022882519458899964,-2.7081280551282347,-0.036596325069300467,0.32786063946857535,-0.37056206368286482,0.24156453437555561,-0.31129472564788929,0.016081422916960849,0,-0.20389410900836805,736.69117099191681,0.0044247182272815211,1,759,654.54182272159801,49,26.171217491139618,26.171217491139618
75,75,-0.0045089182738005107,-2.7126369734020352,-0.036168492978693803,0.2658434696578546,-0.46587066693110285,0.27886492960584502,-0.36977074815091515,0.072397244687012849,0,-0.24612383412729774,718.27792836740787,0.0047140890885997658,1,741,634.73123486682812,48,24.25687054686777,24.25687054686777
76,76,-0.030161546968400899,-2.7427985203704361,-0.036089454215400475,0.21096379685434194,-0.49074399654763667,0.23324916138106974,-0.35839961870801329,0.031326712093892831,0,-0.27375240989271571,710.87765309719316,0.0048295042282781031,1,740,628.6426858513189,48,23.88011842404919,23.88011842404919
77,77,-0.077840069469102602,-2.8206385898395387,-0.036631669997916089,0.087511212732444596,-0.63425346688767281,0.15925878300988586,-0.44370343589489519,0.0059587924137974218,0,-0.34819545331231477,707.1274553482699,0.0040531556912392604,1,736,626.38948626045396,47,24.820716754248924,24.820716754248924
78,78,-0.068416979106381781,-2.8890555689459205,-0.037039173960845134,0.40457629642122805,-0.28341731977857099,0.33775234849144964,-0.28141055740968257,-0.037761452975247571,0,-0.2786628589642588,711.37419719108095,0.003214738071562924,1,763,657.82685069008778,45,23.117774152299486,23.117774152299486
79,79,-0.060777375541308132,-2.9498329444872287,-0.037339657525154793,0.22463324263141485,-0.52200348214426318,0.22932823556872353,-0.37818652726230817,0.062391722349878498,0,-0.3051322205935656,718.08104980967414,0.0032045392734879347,1,738,639.37560975609756,44,21.949593904379135,21.949593904379135
80,80,-0.025521308404343301,-2.975354252891572,-0.037191928161144652,0.39248037558256715,-0.34760909585998367,0.29649702892042518,-0.33843013491570678,0.022448485115203341,0,-0.22920027694200057,725.08482557735863,0.0035387449210411565,1,751,646.47102342786684,41,21.227953680459958,21.227953680459958
81,81,-0.01624447975680976,-2.9915987326483817,-0.036933317687017062,0.18593209693729146,-0.41838779027746725,0.19239157748419933,-0.3223268703426162,0.039894363179521136,0,-0.25995601193867868,728.08374162154939,0.0041651211489639557,1,750,645.67487684729065,41,21.065048816746355,21.065048816746355
