timestep,marginal,bin,center,left,right,target_density,reconstructed_density,seed_min_density,seed_max_density
coarse,log_I2,4,-5.9240481709373345,-5.984702665685417,-5.863393676189252,0.00151258584430965,0.0015786048097896608,0.0015694715018578183,0.0015883132862255483
coarse,log_I2,5,-5.802739181441169,-5.863393676189252,-5.742084686693086,0.0015745347526090214,0.0014810402954978815,0.0014722664713879452,0.0014915700657780198
coarse,log_I2,6,-5.681430191945003,-5.742084686693086,-5.620775697196921,0.0019488094069177373,0.001832303831852717,0.0018230664303957621,0.001845539539944025
coarse,log_I2,7,-5.560121202448838,-5.620775697196921,-5.499466707700755,0.0021294937227908893,0.002246186414562102,0.0022346872971969393,0.0022623950417184698
coarse,log_I2,8,-5.438812212952672,-5.499466707700755,-5.378157718204589,0.0024779563319748533,0.002420439661993087,0.0024079606767554015,0.0024375152270628064
coarse,log_I2,9,-5.317503223456507,-5.378157718204589,-5.256848728708424,0.0027980256915216255,0.0027297847192669106,0.0027160356153245508,0.0027496082204982054
coarse,log_I2,10,-5.196194233960341,-5.256848728708424,-5.135539739212258,0.0029528979622700335,0.0028205056016464094,0.0028061028055779078,0.0028406429283426952
coarse,log_I2,11,-5.074885244464175,-5.135539739212258,-5.014230749716093,0.003407189956465448,0.0035072777806683508,0.0034875096127876086,0.0035337036546234666
coarse,log_I2,12,-4.95357625496801,-5.014230749716093,-4.892921760219927,0.003794370633336494,0.0038162499831683734,0.003796715154253229,0.003845840334390083
coarse,log_I2,13,-4.832267265471844,-4.892921760219927,-4.771612770723761,0.0048165276202761205,0.004438974030283326,0.0044163432483056795,0.004473776032420322
coarse,log_I2,14,-4.710958275975679,-4.771612770723761,-4.6503037812275965,0.0054592475438821385,0.005027912281816694,0.005002682356993161,0.005063760599968337
coarse,log_I2,15,-4.5896492864795135,-4.6503037812275965,-4.528994791731431,0.006029693741138809,0.005819177052309568,0.00578631164251023,0.005865038645205479
coarse,log_I2,16,-4.468340296983348,-4.528994791731431,-4.407685802235266,0.007180910953702179,0.006312756385835838,0.006279794159406462,0.006359432247706822
coarse,log_I2,17,-4.347031307487183,-4.407685802235266,-4.2863768127391,0.007823630877308104,0.006926673440695146,0.0068885561712692,0.006976237332654637
coarse,log_I2,18,-4.225722317991017,-4.2863768127391,-4.165067823242934,0.008879343522909892,0.008057960200691714,0.008013619458142319,0.008117210220653637
coarse,log_I2,19,-4.104413328494852,-4.165067823242934,-4.043758833746769,0.009612405604452522,0.009037816213672044,0.008988865377580283,0.009103525329626301
coarse,log_I2,20,-3.983104338998686,-4.043758833746769,-3.922449844250603,0.010557126456017864,0.010410717155784779,0.010357115326040145,0.010488203688814724
coarse,log_I2,21,-3.86179534950252,-3.922449844250603,-3.8011408547544376,0.01186063473481718,0.012372142864186295,0.012309815586955845,0.012458504815950625
coarse,log_I2,22,-3.740486360006355,-3.8011408547544376,-3.679831865258272,0.01326739119411541,0.013849250997747623,0.013782749638524884,0.013948214287260289
