timestep,model,stream_index,mean_exp_log_ratio
coarse,1,28,1.000733153370556
coarse,1,29,1.003202087819146
coarse,1,30,0.99310198682648
coarse,1,31,1.0035197265310007
coarse,2,0,0.996137404214384
coarse,2,1,0.9988004772665083
coarse,2,2,1.0029356761364687
coarse,2,3,1.0150209247011148
coarse,2,4,1.001729901605443
coarse,2,5,1.0036691801869209
coarse,2,6,0.9958784740394911
coarse,2,7,1.0030328836617093
coarse,2,8,0.9989598028423144
coarse,2,9,1.008326767918864
coarse,2,10,0.9935763232954493
coarse,2,11,0.9969123391670083
coarse,2,12,1.0001040246458133
coarse,2,13,1.0007039705518779
coarse,2,14,1.002482664018844
coarse,2,15,1.0027331879159629
coarse,2,16,1.0119523739849572
coarse,2,17,1.0070969005932058
coarse,2,18,0.9987667771490385
coarse,2,19,0.9948848803076652
coarse,2,20,1.001187994303941
coarse,2,21,0.9993142834568922
coarse,2,22,0.9999805799534768
coarse,2,23,1.0129882586782506
coarse,2,24,1.009008905899781
coarse,2,25,1.0063250481239425
coarse,2,26,0.9949148629195287
coarse,2,27,0.9953537370854099
coarse,2,28,1.0042891076858584
coarse,2,29,1.006957368752338
coarse,2,30,0.9968892893705628
coarse,2,31,1.0074066254828498
coarse,3,0,0.9994898687841876
coarse,3,1,1.0020127260112925
coarse,3,2,1.0063416726620338
coarse,3,3,1.0181353704637925
coarse,3,4,1.0051897870581932
coarse,3,5,1.0072016360186815
coarse,3,6,0.9991887456107312
coarse,3,7,1.0061495653321444
coarse,3,8,1.0022233327723493
coarse,3,9,1.0113275746447155
coarse,3,10,0.9965853277824545
coarse,3,11,1.0002326327312088
coarse,3,12,1.0030254423285085
coarse,3,13,1.004119739401592
coarse,3,14,1.0055716342936374
coarse,3,15,1.0057567849686215
coarse,3,16,1.0153007518564607
coarse,3,17,1.0106086147558646
coarse,3,18,1.0020229112469985
coarse,3,19,0.9983603311124504
coarse,3,20,1.0042968257228866
coarse,3,21,1.0025870330183377
coarse,3,22,1.0033942350143132
coarse,3,23,1.0163940766021975
coarse,3,24,1.012323964570565
coarse,3,25,1.0099157262464509
coarse,3,26,0.9981193744066237
coarse,3,27,0.9987524419794619
coarse,3,28,1.0076605880107359
coarse,3,29,1.0103490361576193
coarse,3,30,1.0000628656969939
coarse,3,31,1.010322808110586
