timestep,i,j,theta1,theta3,target_density,reconstructed_density,difference
fine,1,15,-2.9845130209103035,-1.5184364492350668,0.03524992054736173,0.03352024616102219,-0.0017296743863395372
fine,1,16,-2.9845130209103035,-1.413716694115407,0.034395031609268885,0.03162767195531383,-0.002767359653955054
fine,1,17,-2.9845130209103035,-1.3089969389957472,0.032400290753718836,0.030319451938302006,-0.0020808388154168293
fine,1,18,-2.9845130209103035,-1.2042771838760875,0.03151690551768963,0.028724665590575738,-0.0027922399271138945
fine,1,19,-2.9845130209103035,-1.0995574287564276,0.030889986963088208,0.028927940944984225,-0.001962046018103982
fine,1,20,-2.9845130209103035,-0.9948376736367679,0.027498927508653192,0.02872832069240525,0.0012293931837520575
fine,1,21,-2.9845130209103035,-0.8901179185171082,0.028838253511665437,0.02678210436292021,-0.002056149148745228
fine,1,22,-2.9845130209103035,-0.7853981633974485,0.028125846063254613,0.026562914461175962,-0.0015629316020786509
fine,1,23,-2.9845130209103035,-0.6806784082777886,0.026302082995323207,0.02627019208894592,-3.189090637728542e-05
fine,1,24,-2.9845130209103035,-0.5759586531581289,0.02427884584183691,0.02472837152300202,0.00044952568116510966
fine,1,25,-2.9845130209103035,-0.4712388980384692,0.025333208865484652,0.02501329850242788,-0.0003199103630567718
fine,1,26,-2.9845130209103035,-0.36651914291880927,0.024877268098501795,0.02583199486190903,0.0009547267634072362
fine,1,27,-2.9845130209103035,-0.2617993877991496,0.02345245320168049,0.024458369631925377,0.0010059164302448874
fine,1,28,-2.9845130209103035,-0.15707963267948988,0.024649297715010367,0.024189170740798304,-0.0004601269742120634
fine,1,29,-2.9845130209103035,-0.05235987755982996,0.024592305119137514,0.024218549380697632,-0.0003737557384398821
fine,1,30,-2.9845130209103035,0.05235987755982974,0.023765912478981202,0.025167169968289497,0.0014012574893082948
fine,1,31,-2.9845130209103035,0.15707963267948943,0.022398090178032546,0.024983407890849407,0.0025853177128168613
fine,1,32,-2.9845130209103035,0.26179938779914935,0.023509445797553246,0.025375897406862875,0.0018664516093096287
fine,1,33,-2.9845130209103035,0.36651914291880905,0.02473478660881976,0.025759076829075148,0.0010242902202553875
fine,1,34,-2.9845130209103035,0.47123889803846875,0.02621659410151392,0.027325080579301844,0.0011084864777879226
fine,1,35,-2.9845130209103035,0.5759586531581287,0.024449823629455376,0.025848241398345868,0.001398417768890492
fine,1,36,-2.9845130209103035,0.6806784082777884,0.026558549676751173,0.02692044363783323,0.00036189396108205624
fine,1,37,-2.9845130209103035,0.7853981633974481,0.02687200895405177,0.025380100159050623,-0.0014919087950011484
fine,1,38,-2.9845130209103035,0.890117918517108,0.02672952746436963,0.027277648745711754,0.0005481212813421253
fine,1,39,-2.9845130209103035,0.9948376736367677,0.0276984015942083,0.027528789112461986,-0.000169612481746316
fine,1,40,-2.9845130209103035,1.0995574287564271,0.028895246107538294,0.027585472679330914,-0.0013097734282073795
fine,1,41,-2.9845130209103035,1.204277183876087,0.027726897892144498,0.029989488809638698,0.0022625909174942005
fine,1,42,-2.9845130209103035,1.308996938995747,0.029778631343567574,0.030272226784370516,0.0004935954408029422
fine,1,43,-2.9845130209103035,1.4137166941154065,0.03228630556197326,0.029822052483831043,-0.002464253078142218
fine,1,44,-2.9845130209103035,1.5184364492350664,0.03445202420514152,0.03129131601291938,-0.003160708192222139
fine,1,45,-2.9845130209103035,1.6231562043547263,0.034537513098951096,0.034077464091717545,-0.00046004900723355113
fine,1,46,-2.9845130209103035,1.7278759594743858,0.03522142424942538,0.03559536166873148,0.0003739374193061015
fine,1,47,-2.9845130209103035,1.8325957145940457,0.03690270582767433,0.03555687426248266,-0.00134583156519167
fine,1,48,-2.9845130209103035,1.9373154697137056,0.039666846727508184,0.03858609826646628,-0.0010807484610419055
fine,1,49,-2.9845130209103035,2.042035224833365,0.0403792541759189,0.040064890890620895,-0.0003143632852980055
fine,1,50,-2.9845130209103035,2.146754979953025,0.04154760239131211,0.04449507630248056,0.0029474739111684523
fine,1,51,-2.9845130209103035,2.251474735072685,0.04405527660971815,0.04368005775893637,-0.00037521885078177497
fine,1,52,-2.9845130209103035,2.3561944901923444,0.04650595823225098,0.04444720311428196,-0.002058755117969019
fine,1,53,-2.9845130209103035,2.4609142453120043,0.04918461023827482,0.04933816068808181,0.00015355044980699256
fine,1,54,-2.9845130209103035,2.5656340004316642,0.05018198066605023,0.05059211292599417,0.0004101322599439419
fine,1,55,-2.9845130209103035,2.6703537555513237,0.053829506801913056,0.05509824266042628,0.0012687358585132258
fine,1,56,-2.9845130209103035,2.7750735106709836,0.055653269869843994,0.05437719250944884,-0.0012760773603951517
fine,1,57,-2.9845130209103035,2.8797932657906435,0.05975673677269014,0.05831885230479202,-0.0014378844678981165
fine,1,58,-2.9845130209103035,2.984513020910303,0.06195095171379511,0.05949950535624887,-0.0024514463575462386
fine,1,59,-2.9845130209103035,3.089232776029963,0.06052613681697319,0.05894972082651782,-0.0015764159904553751
fine,2,0,-2.879793265790644,-3.089232776029963,0.060098692347926766,0.061611508854828106,0.0015128165069013405
fine,2,1,-2.879793265790644,-2.9845130209103035,0.059101321920152036,0.058962782772035184,-0.00013853914811685214
fine,2,2,-2.879793265790644,-2.879793265790644,0.05804695889650395,0.057513983885540985,-0.0005329750109629647
fine,2,3,-2.879793265790644,-2.7750735106709836,0.055881240253335414,0.055725489598808464,-0.00015575065452694964
fine,2,4,-2.879793265790644,-2.670353755551324,0.052347699309218565,0.054105023714761454,0.0017573244055428885
fine,2,5,-2.879793265790644,-2.5656340004316647,0.0533165734390569,0.05270871182128356,-0.0006078616177733406
fine,2,6,-2.879793265790644,-2.4609142453120048,0.04852919538573719,0.051619816439187616,0.0030906210534504264
fine,2,7,-2.879793265790644,-2.356194490192345,0.04624949155082273,0.045974107937983295,-0.000275383612839436
fine,2,8,-2.879793265790644,-2.2514747350726854,0.04471069146225562,0.04472408705916214,1.3395596906523588e-05
fine,2,9,-2.879793265790644,-2.1467549799530254,0.04388429882209939,0.04255173541058698,-0.0013325634115124094
fine,2,10,-2.879793265790644,-2.0420352248333655,0.043969787715908495,0.04179208481625881,-0.0021777028996496847
fine,2,11,-2.879793265790644,-1.9373154697137058,0.040778202347028544,0.03968970959464091,-0.0010884927523876348
fine,2,12,-2.879793265790644,-1.8325957145940461,0.03821353553275011,0.036963887937214716,-0.0012496475955353914
fine,2,13,-2.879793265790644,-1.7278759594743862,0.034623001992760166,0.03613480915516636,0.0015118071624061966
fine,2,14,-2.879793265790644,-1.6231562043547265,0.03416706122577724,0.033150544163596106,-0.0010165170621811367
fine,2,15,-2.879793265790644,-1.5184364492350668,0.033397661181493746,0.03196299390129145,-0.0014346672802022925
fine,2,16,-2.879793265790644,-1.413716694115407,0.03151690551768949,0.032319469485039325,0.0008025639673498314
fine,2,17,-2.879793265790644,-1.3089969389957472,0.03140292032594372,0.03052964305778072,-0.0008732772681629974
fine,2,18,-2.879793265790644,-1.2042771838760875,0.028923742405474535,0.029191340992290916,0.00026759858681638105
fine,2,19,-2.879793265790644,-1.0995574287564276,0.027299453423098138,0.027802901801528574,0.0005034483784304364
fine,2,20,-2.879793265790644,-0.9948376736367679,0.027042986741670227,0.028776797067012676,0.0017338103253424497
fine,2,21,-2.879793265790644,-0.8901179185171082,0.027755394190081047,0.025488589592819928,-0.0022668045972611198
fine,2,22,-2.879793265790644,-0.7853981633974485,0.02727095712516165,0.025644523345999832,-0.0016264337791618184
fine,2,23,-2.879793265790644,-0.6806784082777886,0.02715697193341594,0.02481267975028954,-0.0023442921831264008
fine,2,24,-2.879793265790644,-0.5759586531581289,0.025789149632467503,0.025568391746315252,-0.00022075788615225078
fine,2,25,-2.879793265790644,-0.4712388980384692,0.02564666814278525,0.026216659389416124,0.0005699912466308743
fine,2,26,-2.879793265790644,-0.36651914291880927,0.023480949499616717,0.024602063607728767,0.00112111410811205
fine,2,27,-2.879793265790644,-0.2617993877991496,0.02504824588612037,0.023972463305962647,-0.0010757825801577213
fine,2,28,-2.879793265790644,-0.15707963267948988,0.023167490222316012,0.02372558847179423,0.0005580982494782193
fine,2,29,-2.879793265790644,-0.05235987755982996,0.022369593880096024,0.023435152264745764,0.0010655583846497403
fine,2,30,-2.879793265790644,0.05235987755982974,0.024962756992311083,0.022856863842890807,-0.002105893149420276
fine,2,31,-2.879793265790644,0.15707963267948943,0.02225560868835031,0.025394102946138572,0.0031384942577882616
fine,2,32,-2.879793265790644,0.26179938779914935,0.0228540309450153,0.023865920412703318,0.0010118894676880187
fine,2,33,-2.879793265790644,0.36651914291880905,0.023423956903743957,0.02282814214761661,-0.0005958147561273483
fine,2,34,-2.879793265790644,0.47123889803846875,0.02479177920469241,0.023091820329098633,-0.001699958875593776
fine,2,35,-2.879793265790644,0.5759586531581287,0.02524771997167526,0.02432930464176254,-0.000918415329912721
fine,2,36,-2.879793265790644,0.6806784082777884,0.026273586697386775,0.024556761779222714,-0.0017168249181640609
