I1_I2_I3,theta1,theta3,log_density,density
1.0,-3.0892327760299634,-0.7853981633974483,-6.911566460936223,0.0009961960713823369
1.0,-3.0892327760299634,-0.7330382858376185,-6.920419102877942,0.00098741602490291
1.0,-3.0892327760299634,-0.6806784082777888,-6.928831342550305,0.0009791444845136418
1.0,-3.0892327760299634,-0.6283185307179586,-6.936772674130681,0.0009713995666798771
1.0,-3.0892327760299634,-0.5759586531581289,-6.944215108771422,0.0009641968251080338
1.0,-3.0892327760299634,-0.5235987755982991,-6.951133121697559,0.0009575495185958289
1.0,-3.0892327760299634,-0.47123889803846897,-6.957503566580593,0.0009514688908806388
1.0,-3.0892327760299634,-0.41887902047863923,-6.963305569360204,0.0009459644495643779
1.0,-3.0892327760299634,-0.3665191429188095,-6.968520413798748,0.0009410442323494712
1.0,-3.0892327760299634,-0.3141592653589793,-6.973131430381602,0.0009367150504241291
1.0,-3.0892327760299634,-0.2617993877991496,-6.977123898704474,0.0009329827008591989
1.0,-3.0892327760299634,-0.20943951023931984,-6.980484971321934,0.0009298521422153548
1.0,-3.0892327760299634,-0.15707963267948966,-6.983203624374069,0.0009273276300421531
1.0,-3.0892327760299634,-0.10471975511965992,-6.985270637423969,0.0009254128113886584
1.0,-3.0892327760299634,-0.05235987755983018,-6.986678602103708,0.0009241107796584809
1.0,-3.0892327760299634,0.0,-6.987421956625163,0.0009234240929895365
1.0,-3.0892327760299634,0.05235987755982974,-6.9874970411452235,0.0009233547607376244
1.0,-3.0892327760299634,0.10471975511965947,-6.986902167486451,0.0009239042035708207
1.0,-3.0892327760299634,0.15707963267948966,-6.9856376958326605,0.000925073193168402
1.0,-3.0892327760299634,0.2094395102393194,-6.983706110715013,0.0009268617776265174
1.0,-3.0892327760299634,0.26179938779914913,-6.98111208881367,0.0009292691984784553
1.0,-3.0892327760299634,0.3141592653589793,-6.977862551745562,0.0009322938048088303
1.0,-3.0892327760299634,0.36651914291880905,-6.973966698016079,0.0009359329693287655
1.0,-3.0892327760299634,0.4188790204786388,-6.969436009615779,0.0009401830105124111
1.0,-3.0892327760299634,0.47123889803846897,-6.964284230283937,0.0009450391239861963
1.0,-3.0892327760299634,0.5235987755982987,-6.9585273141776,0.0009504953253177056
1.0,-3.0892327760299634,0.5759586531581284,-6.952183345506827,0.0009565444051822493
1.0,-3.0892327760299634,0.6283185307179586,-6.945272431534469,0.0009631778966198562
1.0,-3.0892327760299634,0.6806784082777884,-6.93781657308413,0.0009703860527839247
1.0,-3.0892327760299634,0.7330382858376181,-6.929839518229434,0.0009781578323009555
1.0,-3.0892327760299634,0.7853981633974483,-6.921366606019895,0.0009864808882093382
1.0,-3.0892327760299634,0.837758040957278,-6.912424607806032,0.00099534155554445
1.0,-3.0892327760299634,0.8901179185171078,-6.903041573847972,0.0010047248321184493
1.0,-3.0892327760299634,0.9424777960769379,-6.893246692349266,0.0010146143470348983
1.0,-3.0892327760299634,0.9948376736367672,-6.883070166824125,0.0010249923120856628
1.0,-3.0892327760299634,1.0471975511965974,-6.872543115826362,0.0010358394524551543
1.0,-3.0892327760299634,1.0995574287564276,-6.8616974966759505,0.0010471349150791682
1.0,-3.0892327760299634,1.1519173063162569,-6.8505660521455445,0.0010588561554402732
1.0,-3.0892327760299634,1.204277183876087,-6.839182276432158,0.0010709788062810584
1.0,-3.0892327760299634,1.2566370614359172,-6.827580394505348,0.0010834765343339075
1.0,-3.0892327760299634,1.3089969389957465,-6.815795347445434,0.0010963208933072687
1.0,-3.0892327760299634,1.3613568165555767,-6.803862775923901,0.0011094811826709151
1.0,-3.0892327760299634,1.413716694115407,-6.791818994625195,0.0011229243220085658
1.0,-3.0892327760299634,1.4660765716752362,-6.779700952042926,0.0011366147498201985
1.0,-3.0892327760299634,1.5184364492350664,-6.767546172369566,0.0011505143538647804
1.0,-3.0892327760299634,1.5707963267948966,-6.755392678646787,0.0011645824378648082
1.0,-3.0892327760299634,1.6231562043547259,-6.743278898411121,0.0011787757272132217
1.0,-3.0892327760299634,1.675516081914556,-6.731243554283604,0.0011930484148105938
1.0,-3.0892327760299634,1.7278759594743862,-6.719325542026019,0.0012073522477622936
