j,controlled_mean_sin,controlled_se,controlled_z,simd_mean_sin,simd_se,simd_z,controlled_over_simd_se
43,-0.0009220099147823649,0.0006678033445403839,-1.3806608222618875,0.0013373294882601432,0.0006834397747638317,1.9567627428799683,0.9771209830027069
44,-6.863759935269322e-05,0.0006499343077060003,-0.1056069798730207,0.00024272572712151253,0.000713261115303197,0.34030416338949493,0.9112151128969406
45,0.0003010713773095116,0.0006173223008588217,0.4877053313814512,0.0008168146576664453,0.0006913165651949559,1.1815349129325405,0.8929661633158359
46,0.0010071232767341813,0.0006442460794253142,1.5632586815779521,0.0011535091681025202,0.0006958256489081537,1.6577560340187731,0.9258728539774655
47,0.0009379779253304599,0.0006733112402896856,1.393082231817345,0.0009821319203651853,0.0007172646652844428,1.3692740879347587,0.9387207719519729
48,0.0006872694776481111,0.0006561108382957389,1.0474899019094202,0.0008841137605363155,0.0007327916542072467,1.2065008593646893,0.8953579568336335
49,0.0002300160114538283,0.0006613802639556905,0.3477817890695909,0.0009403798112391799,0.0007009685399609353,1.3415435324552325,0.9435234625402004
50,0.0005807765442557951,0.000646192034424825,0.898767724323225,0.0008523301658250508,0.0007026857806705246,1.2129605995609174,0.9196031173538314
51,0.00017948242596024346,0.0006582277541892318,0.2726752629586698,-0.0006172955108626306,0.000703656967509169,-0.8772676735480303,0.9354384090294037
52,0.00015058631939842543,0.0006715483551938886,0.22423749270437618,0.0004884909238013276,0.0006777056348730321,0.7208010361207137,0.9909145219365085
53,-0.0003176607108863794,0.0006365936925222411,-0.4990007199533807,-0.00016259446033554966,0.0006811474687233426,-0.23870669392678848,0.9345901170496788
54,-0.000628832931481896,0.0006493766676264678,-0.9683639139366356,-0.000342281079015631,0.000699912053595444,-0.48903441119114205,0.9277975201178831
55,8.905898382109444e-05,0.0006222963027970302,0.14311347089931556,0.0003858990562110041,0.0007062666440376635,0.5463928665876865,0.8811067435372818
56,0.0003465808580597809,0.0006336880321584097,0.5469266270964424,-0.0004145892418631346,0.0006796537211187912,-0.6100006944428571,0.9323689585856803
57,-3.489767636396119e-05,0.0006463878494706557,-0.0539887567387596,-0.0006684781921343914,0.0006753017409564156,-0.9898955557076454,0.9571837450843681
58,-0.0003445933756723573,0.0006377303861554526,-0.5403433537952188,-0.000953963101829067,0.0007186065490196581,-1.3275179625491704,0.8874541806298053
59,0.0005059135918797471,0.0006089273317977771,0.8308275314003469,0.00019154647056321558,0.000703280547479979,0.2723613943959804,0.8658384395526196
60,-0.00011454531898426272,0.00067986665283168,-0.16848203762778408,-0.0007803644074983898,0.0007050905257052545,-1.1067577552794996,0.9642260504800504
61,-0.000500066323542442,0.0006529695491337446,-0.7658340640935705,-0.0013825822774132248,0.0007096617153362696,-1.9482272293047331,0.9201138162347371
62,0.0005917550161526237,0.000661436908451988,0.8946507347731076,-0.0010706584531132224,0.0007165201316550344,-1.4942475525986845,0.9231239699074274
63,-0.0005860660222041693,0.0006562441864860052,-0.8930608975637264,-0.00111600819829338,0.0007002901534941331,-1.5936368557018838,0.9371032610006604
64,-0.00016738085644222713,0.0006385746522089919,-0.2621163490646148,-0.0025171619081037497,0.0007342946396488501,-3.4279998411911214,0.8696436249546465
65,0.0012586612420232538,0.0006173642548125417,2.0387659833098652,-0.002101907467117129,0.0006900592089565105,-3.0459813300594574,0.8946540337402407
66,0.0003782129138008177,0.0006554164592115585,0.5770573937917178,-0.0015335934788022606,0.0007183016903978618,-2.1350269661105976,0.9124528982362945
67,0.0010151942522677588,0.0006462033398785955,1.5710136262348737,-0.001867268595412191,0.0007112338993910104,-2.6253931329918725,0.9085665635902662
68,-0.00037821946444108813,0.0006547990611551182,-0.5776114946986616,-0.001905851705858626,0.0006562783816477418,-2.9040293862393205,0.9977458948306214
69,0.00013708897516391506,0.0006466525051968989,0.2119979031430071,-0.0019833784066930964,0.0006677406376495473,-2.9702826140320067,0.9684186774570456
70,-0.0006836767817441252,0.0006784204920253331,-1.0077478345371027,-0.0031301141979097023,0.0006774592347726647,-4.620372765248489,1.001418915269479
71,0.0001575769019003305,0.0006369024621647045,0.24741135615139254,-0.0017545381189819193,0.0006943548875835987,-2.526860760047112,0.9172578368119039
72,0.0006868838185043651,0.0006330771110588618,1.084992343753367,-0.0023268330451569575,0.0006857135969808252,-3.3933015990960773,0.9232383809308723
73,0.000727342609923997,0.0006541065215855833,1.1119635501582925,-0.0024338450668797097,0.0007065583977252113,-3.4446481348400306,0.9257642732596505
74,-0.0008615784870661845,0.0006268941171899377,-1.3743604596709618,-0.0017279612139915396,0.0006740004864363577,-2.5637388232874843,0.93010929488273
75,-9.304010840083623e-05,0.0006632010574870963,-0.14028944518479824,-0.0027518958095406505,0.0006860465103777927,-4.011237966978703,0.9666998482681359
76,0.00043391859029540906,0.0006576785138677932,0.6597730975633416,-0.0034859379440424455,0.0007046125463414994,-4.94731177033703,0.9333902969548332
77,0.0002520053182415217,0.00064822647661481,0.3887612236352213,-0.003384580656603091,0.0006908208156511877,-4.8993611366685395,0.938342420970296
78,0.0004391368590665712,0.000651315309975841,0.6742308254397704,-0.0022334026096175377,0.0007237387744881983,-3.085923662438728,0.8999314848598894
79,0.0003712292635769706,0.0006704880628140358,0.553670205579683,-0.0022810629539863443,0.0006898945326490373,-3.3063937254692886,0.9718703817517076
80,0.000983498032221477,0.0006342220825743309,1.550715528903412,-0.0026172076800842514,0.000681222240952856,-3.841929289365899,0.9310061305209533
81,0.0009856786251189993,0.0006501893975585508,1.5159869244564805,-0.0038104088984433696,0.0007295649094545833,-5.222851111756458,0.8912015766282222
82,0.0009487901429498511,0.0006313275661437317,1.5028492241281985,-0.00458438878122181,0.0007040971057983745,-6.511017789263002,0.8966484323605769
83,-0.00022455115003674572,0.000661633097093143,-0.33938923403817267,-0.0034540395695680185,0.0007260885540927057,-4.757050018346678,0.9112292066356783
84,-0.0019265121678687452,0.0006456057257488555,-2.9840382311264846,-0.003586577050913379,0.0007139238762246157,-5.023752770225274,0.9043061133673782
85,-0.00046009277202401573,0.0006476494188939064,-0.7104040528744535,-0.004028579575063505,0.0006885394014181013,-5.850906377712484,0.9406134457374861
86,-0.0007620815038111666,0.0006198626994935487,-1.2294359774088939,-0.005301975536042511,0.0006981768272626639,-7.594029662700097,0.8878305255759337
87,-0.0012871285680039301,0.0006436402140112095,-1.9997640607047493,-0.004629701873282894,0.0007506549593410017,-6.167549838540064,0.8574381691639789
88,-0.0007848282447262744,0.0005915974916893204,-1.3266253757857884,-0.005405163882575097,0.0007262338886299888,-7.442731559624301,0.8146101427535217
89,-9.425623995318793e-05,0.0006427586489390815,-0.14664328532764903,-0.005283335322421482,0.0006982169551745105,-7.566896339692838,0.9205715274823598
90,-0.0010522064500723305,0.0006079639698983768,-1.7307052755909373,-0.0054744133865572645,0.0006843357120934122,-7.999602080988583,0.888400180137595
91,-0.0004603953696321298,0.0006404982978657219,-0.7188081079469941,-0.005296567428901708,0.0006465734429157993,-8.19174911517586,0.990604091280519
92,0.00019769073319171102,0.0006201253602113524,0.3187915635708458,-0.004279706900680706,0.000678497490232662,-6.307623775016708,0.9139685395132511
93,0.0009739320389319205,0.0006551883480093276,1.4864916964580313,-0.004399242773688819,0.0006732337203800276,-6.534495585285791,0.9731959766357013
94,0.00045185786130504373,0.0006399761406485948,0.7060542301578628,-0.004863094876498338,0.0006685336516051646,-7.274270883480489,0.9572833605488631
95,0.0010696748240587356,0.0006596776485381863,1.6215113948897362,-0.006387561579886158,0.0006700780976691097,-9.53256284917462,0.9844787508096418
96,-0.0002609693152207333,0.0006232039305390572,-0.4187542832006865,-0.006193812928010342,0.0006862721603201902,-9.025301164949674,0.9081002648399614
97,-0.001029901575246054,0.0006137086571177925,-1.6781604158606147,-0.0061597277948662755,0.0006510031206100696,-9.46190210131997,0.942712312258461
98,-0.0006177646050006942,0.000616082358200511,-1.0027305550593866,-0.004691567069499251,0.000649135894799169,-7.227403548452266,0.9490807135093274
99,-0.00011668063081802916,0.0001920112879628551,-0.6076758926829408,-0.002222658322359147,0.00020385185758931614,-10.90330178318491,0.9419158119701059
