case,replicate,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
equilibrium_dt2p5e-4,197,-5.963038880424105,5.2927441071235695,1,0.13830482616471637,0.7209650355738848,0.19641366826350462,-5.827354031512055,5.319536768733915,517,1.4594991881722308e-12
equilibrium_dt2p5e-4,198,-5.963038880424105,5.2927441071235695,1,0.3588236607141551,0.7267081131309481,0.1856458182976002,-5.752413941413388,5.0022418617707345,517,2.320366121466577e-13
equilibrium_dt2p5e-4,199,-5.963038880424105,5.2927441071235695,1,0.20934627798464384,0.723796749665431,0.19648207475488758,-5.753873620153387,5.301448014401707,517,3.097522238704187e-13
equilibrium_dt2p5e-4,200,-5.963038880424105,5.2927441071235695,1,0.3575763809119796,0.7293522249523651,0.19732449606915267,-5.605558863036089,5.284443182212888,518,4.929390229335695e-14
equilibrium_dt2p5e-4,201,-5.963038880424105,5.2927441071235695,1,0.02433712111790573,0.7172254385682739,0.19435457531013867,-5.9387027739130005,5.292521881589981,516,4.6851411639181606e-14
equilibrium_dt2p5e-4,202,-5.963038880424105,5.2927441071235695,1,0.5966023436558765,0.7170745651869012,0.21635472210608533,-5.78024929982489,5.860654598028648,517,2.765565554341265e-13
equilibrium_dt2p5e-4,203,-5.963038880424105,5.2927441071235695,1,0.6766619450142098,0.7206306844273952,0.2190567358088395,-5.668768210761231,5.902068454910999,517,5.614397835529417e-13
equilibrium_dt2p5e-4,204,-5.963038880424105,5.2927441071235695,1,0.46583297410004726,0.7176952606048457,0.1769272562744456,-6.044227463274017,4.834040745708244,517,3.4201530496602572e-12
equilibrium_dt2p5e-4,205,-5.963038880424105,5.2927441071235695,1,0.6457733883467427,0.7403093001993909,0.1899517342299769,-5.376154183541143,5.02331949491929,516,3.0478952695034423e-12
equilibrium_dt2p5e-4,206,-5.963038880424105,5.2927441071235695,1,0.1927008576793022,0.710024106249783,0.19086623038870293,-6.151419637306123,5.252169349121867,517,1.8418599978531347e-13
equilibrium_dt2p5e-4,207,-5.963038880424105,5.2927441071235695,1,0.19640706686964268,0.7219439821897439,0.19885039297590587,-5.7848974948626655,5.375456758311805,517,3.3084646133829665e-13
equilibrium_dt2p5e-4,208,-5.963038880424105,5.2927441071235695,1,0.3515883518046701,0.7251503150513561,0.20389079195087742,-5.666653172738715,5.481873378799201,517,1.9739765377835283e-13
equilibrium_dt2p5e-4,209,-5.963038880424105,5.2927441071235695,1,0.2137549021219583,0.7227561068376911,0.19887252809417777,-5.763839137546776,5.370272299536225,517,8.379708038575018e-11
equilibrium_dt2p5e-4,210,-5.963038880424105,5.2927441071235695,1,0.28681137274555674,0.7105237151021054,0.18528775975610787,-6.177141513546039,5.1019016956253775,517,2.3863133691293115e-12
equilibrium_dt2p5e-4,211,-5.963038880424105,5.2927441071235695,1,0.2622168341489286,0.7068467352489864,0.1959279304006113,-6.198594313311205,5.407945262276014,517,3.9401815143946806e-13
equilibrium_dt2p5e-4,212,-5.963038880424105,5.2927441071235695,1,0.6621227699430964,0.7304695772071024,0.17384262711871046,-5.730431742566706,4.672824368855052,517,7.696066006701585e-13
