case,mode,lambda_real,lambda_imag,I_equal,theta1,theta3,phi_real,phi_imag
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.199114857512855,0.1652922240212613,-0.45430417696617353
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.2776546738526005,0.17515791567436167,-0.461054404355647
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.356194490192345,0.18224166596319702,-0.463651829806216
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.434734306532089,0.1864291035464991,-0.46168136651919234
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.5132741228718345,0.1876252418010823,-0.45483705299943267
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.5918139392115798,0.18575676763299054,-0.44293177233503706
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.670353755551324,0.18077411710190616,-0.4259040523164417
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.7488935718910685,0.17265328508285838,-0.40382176543479154
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.827433388230814,0.16139732077255664,-0.3768826241738065
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.905973204570559,0.14703746663994344,-0.3454114460419687
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.9845130209103035,0.12963390529133145,-0.3098542425360935
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,3.063052837250048,0.10927608651219622,-0.27076926471826135
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,3.141592653589793,0.08608261528007677,-0.2288152133912973
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-3.141592653589793,0.14804955780764528,-0.25785389808625314
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-3.0630528372500483,0.1215541082971362,-0.21469466204799276
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.9845130209103035,0.09224768588823706,-0.16998414848527088
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.9059732045705586,0.060340783849463175,-0.12457003062950528
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.827433388230814,0.026069801830653216,-0.07933633901636006
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.748893571891069,-0.010305388746367439,-0.0351831377381151
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.670353755551324,-0.04850424306809409,0.006994320346227545
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.5918139392115793,-0.08822865837361193,0.046326454299716935
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.5132741228718345,-0.12916635313225477,0.08198972533181526
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.4347343065320897,-0.17099445116960776,0.11322602139852611
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.356194490192345,-0.21338320779919473,0.13936058437479082
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.2776546738526,-0.25599981225342505,0.15981804293540847
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.199114857512855,-0.29851219940092755,0.17413615994936305
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.1205750411731104,-0.3405928039169561,0.18197695847150308
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-2.0420352248333655,-0.38192219173215236,0.18313495394993834
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.9634954084936207,-0.42219250668024233,0.17754229049920778
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.8849555921538759,-0.4611106747206388,0.1652706542950823
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.806415775814131,-0.49840131381818553,0.14652991548144023
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.7278759594743862,-0.5338093043806149,0.12166352952030901
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.6493361431346414,-0.5671019829194354,0.09114080771073155
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.5707963267948966,-0.5980709301243237,0.05554624271644548
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.4922565104551517,-0.626533333619494,0.015566146508398382
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.413716694115407,-0.6523329150849486,-0.02802707661056436
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.335176877775662,-0.675340420950712,-0.07439264187614758
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.2566370614359172,-0.6954536852809968,-0.12264065276301722
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.1780972450961724,-0.7125972825342906,-0.17185246089820766
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.0995574287564276,-0.726721796400319,-0.22110162542928755
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-1.0210176124166828,-0.7378027386758357,-0.26947496599747855
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-0.9424777960769379,-0.7458391589675232,-0.3160932017669589
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-0.8639379797371931,-0.7508519917449655,-0.3601306796932304
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-0.7853981633974483,-0.7528821917799751,-0.40083371810824436
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-0.7068583470577035,-0.751988712201504,-0.43753712619121155
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-0.6283185307179586,-0.7482463812017173,-0.46967850512998355
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.0630528372500483,-0.5497787143782138,-0.7417437338168578,-0.49680999164280626
