case,replicate,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
driven_dt2p5e-4,174,-5.581749738501255,5.695778969252528,1,0.4942331669859677,0.7396695615782773,0.2255920216184842,-5.141598084150104,5.920574308441142,517,3.1086244689504383e-13
driven_dt2p5e-4,175,-5.581749738501255,5.695778969252528,1,0.3921071249833606,0.7372207468334797,0.22243883224298897,-5.2260563030889955,5.860794657801652,517,4.656275365277907e-13
driven_dt2p5e-4,176,-5.581749738501255,5.695778969252528,1,0.06217872152588151,0.7259282454118557,0.21488654050530429,-5.566112312798266,5.755959234522603,516,2.0961010704922955e-13
driven_dt2p5e-4,177,-5.581749738501255,5.695778969252528,1,0.36623539413828776,0.730017420598096,0.19927464509619838,-5.575053340396403,5.3296048000760985,517,1.8207657603852567e-14
driven_dt2p5e-4,178,-5.581749738501255,5.695778969252528,1,0.5596920427687287,0.74581247467741,0.22080758867396136,-5.02539649793169,5.756822023291267,516,4.913847106990943e-13
driven_dt2p5e-4,179,-5.581749738501255,5.695778969252528,1,0.5924650152929156,0.7485679369474347,0.21535834079942648,-4.996661707672944,5.602576015825697,516,6.927791673660977e-14
driven_dt2p5e-4,180,-5.581749738501255,5.695778969252528,1,0.05370944602857412,0.728033581556162,0.21266663195604998,-5.529331799941016,5.684071522485992,517,1.092459456231154e-12
driven_dt2p5e-4,181,-5.581749738501255,5.695778969252528,1,0.36461426510659667,0.7128540936126744,0.20881335527750083,-5.946349036312687,5.699082657287819,517,1.3003709220527071e-11
driven_dt2p5e-4,182,-5.581749738501255,5.695778969252528,1,0.7471364726496965,0.699203088408553,0.20538379309999985,-6.328662200316706,5.714073316691376,516,6.3933303096064265e-12
driven_dt2p5e-4,183,-5.581749738501255,5.695778969252528,1,0.3337715168451094,0.713921865660964,0.21587706316149544,-5.864703256543843,5.872812107631782,516,1.3316014957354128e-12
driven_dt2p5e-4,184,-5.581749738501255,5.695778969252528,1,0.31745274915682103,0.7357527194481882,0.21969749571125788,-5.283125429298677,5.803481197179838,516,4.389821839367869e-13
driven_dt2p5e-4,185,-5.581749738501255,5.695778969252528,1,0.5435530813611964,0.7258970509066799,0.19205287934726373,-5.730364791661894,5.172937197555476,516,1.2082557176995579e-12
driven_dt2p5e-4,186,-5.581749738501255,5.695778969252528,1,0.508685712290422,0.745472519116589,0.21202688122076205,-5.096851491573997,5.542042688514098,517,3.4017233474514796e-13
driven_dt2p5e-4,187,-5.581749738501255,5.695778969252528,1,0.3829723237714537,0.7401703943421343,0.21616720679948373,-5.198992079144955,5.68295808866679,516,1.0635936575909e-13
driven_dt2p5e-4,188,-5.581749738501255,5.695778969252528,1,0.31240492195965136,0.7242216729635578,0.22422920054089074,-5.5377528647792165,6.005070272666159,516,1.9095836023552692e-14
driven_dt2p5e-4,189,-5.581749738501255,5.695778969252528,1,0.6030687093940487,0.7049968629323413,0.2207101093615313,-6.056244642753659,6.067997257476932,517,1.9539925233402755e-14
driven_dt2p5e-4,190,-5.581749738501255,5.695778969252528,1,0.4826932305119127,0.7236497351283955,0.23067654243888305,-5.501199552319119,6.17170377664131,516,5.286882043264995e-13
driven_dt2p5e-4,191,-5.581749738501255,5.695778969252528,1,0.3464864918401348,0.7293811460378397,0.22525933925936512,-5.400165188559896,5.99087207362855,516,8.946177132429511e-13
driven_dt2p5e-4,192,-5.581749738501255,5.695778969252528,1,0.713135710023316,0.7009580092879113,0.22146558684792692,-6.15465774980507,6.120442308256929,516,2.042810365310288e-14
driven_dt2p5e-4,193,-5.581749738501255,5.695778969252528,1,0.3720078369031094,0.7375897073491948,0.2207368642668392,-5.229600496355625,5.815698700629764,516,5.517808432387028e-13
driven_dt2p5e-4,194,-5.581749738501255,5.695778969252528,1,0.35617724871100637,0.7129212403760139,0.21527801816398018,-5.895057655582773,5.865190838947017,517,4.6851411639181606e-14
