event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
102,51,0,0,0,1.4854867228315369,1.4854867228315369,0.3798573372919819,256,0.00390625,256,256,256,256
103,51.5,0,0,0,1.4495353890893814,1.4495353890893814,0.59304543161454726,256,0.00390625,256,256,256,256
104,52,0,0,0,1.4982483631507884,1.4982483631507884,0.50971573053779318,256,0.00390625,256,256,256,256
105,52.5,0,0,0,1.1958320137073588,1.1958320137073588,0.53422206755637913,256,0.00390625,256,256,256,256
106,53,0,0,0,0.67183822395258896,0.67183822395258896,0.40137464246303783,256,0.00390625,256,256,256,256
107,53.5,0,0,0,2.04039177106826,2.04039177106826,0.27599490056507331,256,0.00390625,256,256,256,256
108,54,0,0,0,1.8197769800441812,1.8197769800441812,0.64847892428868548,256,0.00390625,256,256,256,256
109,54.5,0,0,0,1.4172700351633321,1.4172700351633321,0.2763494273605116,256,0.00390625,256,256,256,256
110,55,0,0,0,1.5924294744814176,1.5924294744814176,0.50824635458289458,256,0.00390625,256,256,256,256
111,55.5,0,0,0,1.0761611946180787,1.0761611946180787,0.1936045777808984,256,0.00390625,256,256,256,256
112,56,0,0,0,0.71751885586335185,0.71751885586335185,0.43023928066950462,256,0.00390625,256,256,256,256
113,56.5,0,0,0,1.2139177255572189,1.2139177255572189,0.44209432139007038,256,0.00390625,256,256,256,256
114,57,0,0,0,1.6498750505789097,1.6498750505789097,0.5472725210360051,256,0.00390625,256,256,256,256
115,57.5,0,0,0,0.80465153331611095,0.80465153331611095,0.4236886691041919,256,0.00390625,256,256,256,256
116,58,0,0,0,2.1020690256479324,2.1020690256479324,0.57055591256132276,256,0.00390625,256,256,256,256
117,58.5,0,0,0,1.5381163362047592,1.5381163362047592,0.29201567558861063,256,0.00390625,256,256,256,256
118,59,0,0,0,1.8401899184586312,1.8401899184586312,0.56447179197388986,256,0.00390625,256,256,256,256
119,59.5,0,0,0,1.349798980191921,1.349798980191921,0.32678989429953642,256,0.00390625,256,256,256,256
120,60,0,0,0,1.3518511007008522,1.3518511007008522,0.24603609797570045,256,0.00390625,256,256,256,256
121,60.5,0,0,0,0.84978606349755825,0.84978606349755825,0.63392211026810008,256,0.00390625,256,256,256,256
122,61,0,0,0,1.2853627652613768,1.2853627652613768,0.34638196609793453,256,0.00390625,256,256,256,256
123,61.5,0,0,0,1.1759491342989423,1.1759491342989423,0.014793009374819215,256,0.00390625,256,256,256,256
124,62,0,0,0,0.70377861204697523,0.70377861204697523,0.2147646713502771,256,0.00390625,256,256,256,256
125,62.5,0,0,0,1.3741904235193974,1.3741904235193974,0.2720881677369773,256,0.00390625,256,256,256,256
126,63,0,0,0,0.73854341059986905,0.73854341059986905,0.41237143440196367,256,0.00390625,256,256,256,256
127,63.5,0,0,0,1.0090239819001663,1.0090239819001663,0.60844951736725028,256,0.00390625,256,256,256,256
128,64,0,0,0,1.0914642378168453,1.0914642378168453,0.60030291045092354,256,0.00390625,256,256,256,256
129,64.5,0,0,0,1.6651063134696418,1.6651063134696418,0.15070409104226393,256,0.00390625,256,256,256,256
130,65,0,0,0,1.7984754782950616,1.7984754782950616,0.40098392967887814,256,0.00390625,256,256,256,256
131,65.5,0,0,0,0.70549281621690696,0.70549281621690696,0.4779602983689813,256,0.00390625,256,256,256,256
132,66,0,0,0,1.5220321649494502,1.5220321649494502,0.73968992564159941,256,0.00390625,256,256,256,256
133,66.5,0,0,0,1.8563160635713598,1.8563160635713598,0.23070585702450352,256,0.00390625,256,256,256,256
134,67,0,0,0,2.3171259550572514,2.3171259550572514,0.32917789399834985,256,0.00390625,256,256,256,256
135,67.5,0,0,0,1.0265916628545813,1.0265916628545813,0.3201132828538481,256,0.00390625,256,256,256,256
136,68,0,0,0,1.0474683042242532,1.0474683042242532,0.18107968785186071,256,0.00390625,256,256,256,256
137,68.5,0,0,0,1.9219550816862208,1.9219550816862208,0.68238822708768898,256,0.00390625,256,256,256,256
138,69,0,0,0,1.3165280541408626,1.3165280541408626,0.38679354763391482,256,0.00390625,256,256,256,256
139,69.5,0,0,0,1.6450984711377681,1.6450984711377681,0.42985837740134514,256,0.00390625,256,256,256,256
140,70,0,0,0,0.85423139455745101,0.85423139455745101,0.20097799992515986,256,0.00390625,256,256,256,256
141,70.5,0,0,0,1.3786832699268752,1.3786832699268752,0.32561853977909216,256,0.00390625,256,256,256,256
142,71,0,0,0,0.88721348631835906,0.88721348631835906,0.39161722396648257,256,0.00390625,256,256,256,256
143,71.5,0,0,0,1.4630945420752706,1.4630945420752706,0.66735918017479612,256,0.00390625,256,256,256,256
144,72,0,0,0,1.2418776313516706,1.2418776313516706,0.41319703468080271,256,0.00390625,256,256,256,256
145,72.5,0,0,0,1.4742444913106763,1.4742444913106763,0.38849338542622991,256,0.00390625,256,256,256,256
146,73,0,0,0,1.726908938692483,1.726908938692483,0.39880810834991243,256,0.00390625,256,256,256,256
147,73.5,0,0,0,0.69480262258975545,0.69480262258975545,0.53734191278432419,256,0.00390625,256,256,256,256
148,74,0,0,0,1.0160256471118589,1.0160256471118589,0.53180099165939343,256,0.00390625,256,256,256,256
149,74.5,0,0,0,0.79624999746019975,0.79624999746019975,0.14626691633005451,256,0.00390625,256,256,256,256
