case,T_left,T_right,delta_beta,t,N_windows,mean_Q,std_Q,skew_Q,excess_kurtosis_Q,n_negative,dx,reliable_k_lo,reliable_k_hi,n_symmetric_pairs,resolved,a_fit,a_fit_wls_se,a_fit_intercept,a_fit_R2,bootstrap_resolved,bootstrap_total,a_bootstrap_mean,a_bootstrap_se,a_bootstrap_ci_low,a_bootstrap_ci_high,per_t_bootstrap_resolved,per_t_bootstrap_total,per_t_bootstrap_mean,per_t_bootstrap_se,per_t_bootstrap_ci_low,per_t_bootstrap_ci_high,per_t_ci_contains_reference,a_Gauss,gaussFT
dbeta_0p222222,9.0,3.0,0.2222222222222222,20,1000064,50.828201771898556,29.966002014463974,0.5613633212461678,0.5939638054965877,24798,1.4983001007231986,-28,136,28,1,0.17618319216250697,0.0010224266280008778,0.015103942823138426,0.9994002621094296,851,1000,0.17597080068381038,0.0010052503083463422,0.1740688961741566,0.1778150741504523,1000,1000,0.17598621830784372,0.0010129695168830562,0.17405154782848703,0.17782091428104993,0,0.11320800370578343,1.9629550468865797
dbeta_0p222222,9.0,3.0,0.2222222222222222,40,499968,101.65756168339865,42.1593280532486,0.4311179714151364,0.3266610538133503,985,2.10796640266243,-14,139,14,1,0.191477273152547,0.005595368693798065,0.051595007508262174,0.990120035582623,381,1000,nan,nan,nan,nan,1000,1000,0.19131210178034785,0.007666254987178558,0.177235790955672,0.20773658288410873,0,0.1143884890942965,1.9426974163373436
dbeta_0p222222,9.0,3.0,0.2222222222222222,80,249984,203.3151233667973,59.35161599483431,0.3232561135300114,0.16067575908869802,3,2.9675807997417154,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.11543422289706498,1.9250982650126403
dbeta_0p222222,9.0,3.0,0.2222222222222222,160,124928,406.6253754462419,83.92479193915875,0.23233008694470103,0.08886652556164698,0,4.196239596957938,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.1154632895664526,1.9246136417612338
dbeta_0p222222,9.0,3.0,0.2222222222222222,320,62464,813.2507508924838,119.07865502699757,0.17144043092873504,0.06881050916946085,0,5.953932751349878,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.11470612988289904,1.9373177566803446
dbeta_0p222222,9.0,3.0,0.2222222222222222,640,31232,1626.5015017849676,168.54503704905255,0.09836169450361469,0.01093360250487807,0,8.427251852452628,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.11451240253828841,1.9405952307036776
dbeta_0p400000,10.0,2.0,0.4,20,1000064,64.24241805191502,32.685686666643996,0.6005528806961791,0.6212700365015995,7941,1.6342843333321997,-20,138,20,1,0.21573154250084392,0.0020884586162063117,0.05114534202738336,0.9984729296502616,640,1000,nan,nan,nan,nan,1000,1000,0.21521360817665752,0.0020201207989608114,0.21133510146972873,0.21919509698774695,0,0.120264278066631,3.3260084077367074
dbeta_0p400000,10.0,2.0,0.4,40,499968,128.48494804396555,45.934176777894145,0.4603259876653559,0.3522652222654883,80,2.2967088388947072,-2,147,2,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.12178964764500887,3.284351402065927
dbeta_0p400000,10.0,2.0,0.4,80,249984,256.96989608793103,64.71624362647975,0.3377375055780593,0.18533325630517083,0,3.2358121813239875,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.12271160657591922,3.2596753572167443
dbeta_0p400000,10.0,2.0,0.4,160,124928,513.947568710835,91.22789080335846,0.23610935471253575,0.08361596810959115,0,4.561394540167923,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.12350756043814697,3.2386681315782404
dbeta_0p400000,10.0,2.0,0.4,320,62464,1027.89513742167,128.65321336975506,0.16342145320925255,0.024029920130284932,0,6.432660668487753,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.12420455727974603,3.2204937464498964
dbeta_0p400000,10.0,2.0,0.4,640,31232,2055.7902748433394,182.20584713791067,0.10608141463048312,0.016505292264190174,0,9.110292356895533,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.1238466271430896,3.2298013214187016
dbeta_0p000000,6.0,6.0,0.0,20,1000064,0.030611938160363363,25.72828103919953,-0.0027179951497128163,0.37828011673050854,499786,1.2864140519599765,-85,85,85,1,0.0001630124232864755,0.00012820858603343677,-0.002397268739404307,0.021354029726014856,818,1000,0.00017348438166326228,0.00013608338181565326,-8.979583321258201e-05,0.000418259395715775,1000,1000,0.00016835179309846292,0.00013470560955426036,-9.370404115716493e-05,0.00041582965764320085,1,9.249095866234768e-05,nan
dbeta_0p000000,6.0,6.0,0.0,40,499968,0.06095314336108756,36.110661683551164,-0.006828848045177584,0.20635221352679078,249282,1.8055330841775583,-78,76,76,1,-1.1067792118875444e-05,0.00013110639363309194,0.004959653755677883,0.00010246864674234857,542,1000,nan,nan,nan,nan,1000,1000,-8.950733035638661e-06,0.0001366979194397053,-0.00028364218610702044,0.0002488823188692237,1,9.348785814611578e-05,nan
dbeta_0p000000,6.0,6.0,0.0,80,249984,0.12190628672217514,50.883761537303734,-0.0029387554290639527,0.11902424409273094,124666,2.5441880768651868,-71,73,71,1,3.89543721509715e-05,0.0001328501124826916,0.003999427984943898,0.0010327858834333625,398,1000,nan,nan,nan,nan,1000,1000,3.9372226132919175e-05,0.00012564754118974522,-0.00021867433731323144,0.0002789069262667737,1,9.41667715490248e-05,nan
dbeta_0p000000,6.0,6.0,0.0,160,124928,0.2378684883838777,71.82083216876076,-0.00032657791290917907,0.06122800750445245,62425,3.591041608438038,-66,67,66,1,0.00022666363230172484,0.00013418150169795839,-0.010718223803932274,0.055104015533052,343,1000,nan,nan,nan,nan,1000,1000,0.0002200973923598219,0.00013700652279287635,-3.909242793362845e-05,0.0004921977696021274,1,9.222869054919584e-05,nan
dbeta_0p000000,6.0,6.0,0.0,320,62464,0.47573697676775545,101.31934575421442,-0.010331067885679916,0.02830632014216805,31032,5.065967287710722,-59,61,59,1,-2.8240725630465003e-06,0.00013665653912823373,0.013016183165525873,6.707636571845477e-06,615,1000,nan,nan,nan,nan,1000,1000,-8.016679165060353e-06,0.00012670421001019627,-0.0002676606295447447,0.00023607364015048172,1,9.268557541562763e-05,nan
dbeta_0p000000,6.0,6.0,0.0,640,31232,0.9514739535355105,143.23400390914387,0.00885713511947861,-0.012999204567004874,15544,7.161700195457193,-54,57,54,1,0.00012068949796971872,0.00014039931545659515,-0.0069734279244069095,0.012416278038734352,692,1000,nan,nan,nan,nan,1000,1000,0.00013172942549087132,0.000133707781954644,-0.0001293062732957583,0.0003996339336832816,1,9.27544245308769e-05,nan
