case,source,sector,angle,metric,estimate,ci_low,ci_high,seed_min,seed_max
driven,new_seed_8202,middle,theta1,circular_resultant,0.21245731399277604,0.20758859689934914,0.21756979847078162,,
driven,new_seed_8202,middle,theta1,histogram_mode,2.923426497090502,2.836160034490785,3.0106929596902186,,
driven,new_seed_8202,middle,theta1,prob_within_pi_over_6_of_theta0,0.21844072572957396,0.21638505187968748,0.22084898668419484,,
driven,new_seed_8202,middle,theta3,circular_mean,-2.9015512420777467,-2.9160413324336028,-2.8859619008946673,,
driven,new_seed_8202,middle,theta3,circular_resultant,0.18825350075938863,0.1805795907943564,0.19473759938008262,,
driven,new_seed_8202,middle,theta3,histogram_mode,-2.923426497090502,-3.097959422289935,-2.748893571891069,,
driven,new_seed_8202,middle,theta3,prob_within_pi_over_6_of_theta0,0.17679506527043345,0.17522677327237812,0.17843155479395087,,
driven,new_seed_8202,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.20513681724416769,0.2026343062816286,0.2075977366799256,,
driven,new_seed_8202,middle,joint,prob_both_within_pi_over_6_of_theta0,0.039201510983748786,0.038446306108207824,0.0399602153858812,,
driven,new_seed_8202,high,theta1,circular_mean,2.722296326659177,2.704623205447077,2.739483740686495,,
driven,new_seed_8202,high,theta1,circular_resultant,0.24839890725761413,0.2416300678285875,0.25523111863091735,,
driven,new_seed_8202,high,theta1,histogram_mode,2.4870941840919194,2.4870941840919194,2.7488935718910685,,
driven,new_seed_8202,high,theta1,prob_within_pi_over_6_of_theta0,0.24437439072428627,0.2423953686002993,0.24710659953218866,,
driven,new_seed_8202,high,theta3,circular_mean,-2.6810054347362224,-2.7044580243331104,-2.654959580595314,,
driven,new_seed_8202,high,theta3,circular_resultant,0.18943892844201518,0.18212623431371286,0.19652344615261344,,
driven,new_seed_8202,high,theta3,histogram_mode,-2.923426497090502,-2.923426497090502,-2.6616271092913526,,
driven,new_seed_8202,high,theta3,prob_within_pi_over_6_of_theta0,0.15822913078199863,0.15591428059413476,0.16033961461172247,,
driven,new_seed_8202,high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.21830380538333485,0.21612582775082215,0.22066711563702723,,
driven,new_seed_8202,high,joint,prob_both_within_pi_over_6_of_theta0,0.04152230410595799,0.04064513019092065,0.04244399987233623,,
driven,new_seed_8203,low,theta1,circular_mean,3.0070654124068508,2.9794818992784453,3.0321997654813444,,
driven,new_seed_8203,low,theta1,circular_resultant,0.1926908356828447,0.18571408812600554,0.19939694317778342,,
driven,new_seed_8203,low,theta1,histogram_mode,-3.097959422289935,2.923426497090502,-3.097959422289935,,
driven,new_seed_8203,low,theta1,prob_within_pi_over_6_of_theta0,0.20441301601046336,0.20207267966961354,0.2067888887818782,,
driven,new_seed_8203,low,theta3,circular_mean,-3.0301794556995896,-3.0545720979804543,-3.008711635062588,,
driven,new_seed_8203,low,theta3,circular_resultant,0.18507330671371874,0.17816895847168895,0.19182653600932753,,
driven,new_seed_8203,low,theta3,histogram_mode,3.097959422289935,3.0106929596902186,-3.0106929596902186,,
driven,new_seed_8203,low,theta3,prob_within_pi_over_6_of_theta0,0.1853971112270249,0.18302721327491964,0.18776648800751305,,
driven,new_seed_8203,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.1936372436434769,0.19137067460491106,0.19563544190812787,,
driven,new_seed_8203,low,joint,prob_both_within_pi_over_6_of_theta0,0.03821874683066745,0.03730988009185704,0.039115021496838084,,
driven,new_seed_8203,middle,theta1,circular_mean,2.8905566750631007,2.8697322446368805,2.910307925699967,,
driven,new_seed_8203,middle,theta1,circular_resultant,0.21309080966029317,0.20828769667975994,0.2179412384314652,,
driven,new_seed_8203,middle,theta1,histogram_mode,2.923426497090502,2.836160034490785,3.0106929596902186,,
driven,new_seed_8203,middle,theta1,prob_within_pi_over_6_of_theta0,0.21842922229436057,0.21634381343703507,0.22072640424564557,,
driven,new_seed_8203,middle,theta3,circular_mean,-2.9062404469923693,-2.921148190240416,-2.8907195578227345,,
driven,new_seed_8203,middle,theta3,circular_resultant,0.19018646382656967,0.18270837358607822,0.19667486533948034,,
driven,new_seed_8203,middle,theta3,histogram_mode,-2.923426497090502,3.097959422289935,-2.748893571891069,,
driven,new_seed_8203,middle,theta3,prob_within_pi_over_6_of_theta0,0.17730666184364824,0.1757270589596431,0.17880600861147847,,
driven,new_seed_8203,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.20491259208001644,0.2025867984232732,0.207502321510624,,
driven,new_seed_8203,middle,joint,prob_both_within_pi_over_6_of_theta0,0.03931468176219865,0.03856250851682772,0.04002765157897321,,
driven,new_seed_8203,high,theta1,circular_mean,2.72969566194931,2.712981254204733,2.745672154592329,,
driven,new_seed_8203,high,theta1,circular_resultant,0.24939377468561086,0.24291315937498315,0.2557744593424425,,
driven,new_seed_8203,high,theta1,histogram_mode,2.4870941840919194,2.4870941840919194,2.7488935718910685,,
driven,new_seed_8203,high,theta1,prob_within_pi_over_6_of_theta0,0.24426400173112417,0.2421627534626224,0.24701174350283128,,
driven,new_seed_8203,high,theta3,circular_mean,-2.694479499286044,-2.7180105903975567,-2.6709839541579408,,
driven,new_seed_8203,high,theta3,circular_resultant,0.1925825798950284,0.18557152372571578,0.1999695855311077,,
driven,new_seed_8203,high,theta3,histogram_mode,-2.923426497090502,-2.923426497090502,-2.6616271092913526,,
driven,new_seed_8203,high,theta3,prob_within_pi_over_6_of_theta0,0.15916094107641848,0.1570499708998502,0.16120122427950112,,
driven,new_seed_8203,high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.21803687919949327,0.21575472388808362,0.22014856893326484,,
driven,new_seed_8203,high,joint,prob_both_within_pi_over_6_of_theta0,0.04192293756584714,0.04096359956671817,0.04290169717871379,,
driven,new_ensemble,low,theta1,circular_mean,3.0071486467293984,2.9817398633476184,3.033935852886681,3.0044799381096867,3.0099240581526243
driven,new_ensemble,low,theta1,circular_resultant,0.19259988675368114,0.18529675990797764,0.19858573958633272,0.1922172491104306,0.1928913737355622
driven,new_ensemble,low,theta1,histogram_mode,-3.097959422289935,2.923426497090502,-3.097959422289935,-3.097959422289935,-3.097959422289935
driven,new_ensemble,low,theta1,prob_within_pi_over_6_of_theta0,0.2043232025540463,0.20168030559707525,0.20681707695306348,0.20409466635140242,0.20446108428597332
driven,new_ensemble,low,theta3,circular_mean,-3.02987189419847,-3.0549175311943664,-3.0076532624459693,-3.030537117581308,-3.028899197021005
driven,new_ensemble,low,theta3,circular_resultant,0.1851010167301194,0.1780802171573365,0.19200979863070727,0.1846773058774924,0.1855547962181103
driven,new_ensemble,low,theta3,histogram_mode,-3.097959422289935,3.0106929596902186,-3.0106929596902186,-3.097959422289935,3.097959422289935
driven,new_ensemble,low,theta3,prob_within_pi_over_6_of_theta0,0.18534306562605776,0.1829190848238215,0.1879192609183551,0.1852916931882235,0.1853971112270249
driven,new_ensemble,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.19378482610876618,0.19165505678414432,0.19583979645756575,0.1936372436434769,0.19393816642250827
driven,new_ensemble,low,joint,prob_both_within_pi_over_6_of_theta0,0.03819036653802054,0.0373397541991605,0.03914326972325185,0.03814880608464843,0.03821874683066745
driven,new_ensemble,middle,theta1,circular_mean,2.8894480519787336,2.8697542060912067,2.908442037547717,2.8865063212495286,2.8912756778067292
driven,new_ensemble,middle,theta1,circular_resultant,0.21271450858330984,0.20809616931603597,0.21739649673211653,0.21245731399277604,0.21309080966029317
driven,new_ensemble,middle,theta1,histogram_mode,2.923426497090502,2.836160034490785,3.0106929596902186,2.923426497090502,2.923426497090502
driven,new_ensemble,middle,theta1,prob_within_pi_over_6_of_theta0,0.2184032487713323,0.2162308519193358,0.22059490695101355,0.21833980718091495,0.21844072572957396
driven,new_ensemble,middle,theta3,circular_mean,-2.9047886729808945,-2.918824884005466,-2.889744424672268,-2.9065408490756255,-2.9015512420777467
driven,new_ensemble,middle,theta3,circular_resultant,0.1895233668919901,0.18221444741061293,0.19605760550899295,0.18825350075938863,0.19018646382656967
driven,new_ensemble,middle,theta3,histogram_mode,-2.923426497090502,3.097959422289935,-2.748893571891069,-2.923426497090502,-2.923426497090502
driven,new_ensemble,middle,theta3,prob_within_pi_over_6_of_theta0,0.17714873139131118,0.17554724445719289,0.17875620097415448,0.17679506527043345,0.1773443478165159
