case,source,sector,angle,bin,theta,density
equilibrium,new_ensemble,high,theta1,27,-0.7417649320975901,0.11906188696088066
equilibrium,new_ensemble,high,theta1,28,-0.6544984694978737,0.11700872706358506
equilibrium,new_ensemble,high,theta1,29,-0.5672320068981571,0.11589659878588329
equilibrium,new_ensemble,high,theta1,30,-0.4799655442984405,0.11330876183200031
equilibrium,new_ensemble,high,theta1,31,-0.39269908169872414,0.11529776048250541
equilibrium,new_ensemble,high,theta1,32,-0.30543261909900776,0.11303072976257486
equilibrium,new_ensemble,high,theta1,33,-0.21816615649929139,0.11324460058520983
equilibrium,new_ensemble,high,theta1,34,-0.1308996938995748,0.11149085983960318
equilibrium,new_ensemble,high,theta1,35,-0.04363323129985819,0.11290240726899389
equilibrium,new_ensemble,high,theta1,36,0.04363323129985819,0.11097756986527928
equilibrium,new_ensemble,high,theta1,37,0.13089969389957457,0.11427118053385761
equilibrium,new_ensemble,high,theta1,38,0.21816615649929116,0.1118758273203461
equilibrium,new_ensemble,high,theta1,39,0.30543261909900776,0.11424979345159411
equilibrium,new_ensemble,high,theta1,40,0.39269908169872414,0.11200414981392706
equilibrium,new_ensemble,high,theta1,41,0.4799655442984405,0.11474169634365453
equilibrium,new_ensemble,high,theta1,42,0.5672320068981569,0.11698733998132158
equilibrium,new_ensemble,high,theta1,43,0.6544984694978735,0.12066591813064283
equilibrium,new_ensemble,high,theta1,44,0.7417649320975901,0.12040927314348089
equilibrium,new_ensemble,high,theta1,45,0.8290313946973065,0.12363872256526874
equilibrium,new_ensemble,high,theta1,46,0.9162978572970228,0.1253496891463484
equilibrium,new_ensemble,high,theta1,47,1.0035643198967392,0.1268467849047931
equilibrium,new_ensemble,high,theta1,48,1.0908307824964556,0.12964849268131104
equilibrium,new_ensemble,high,theta1,49,1.178097245096172,0.1338617478872197
equilibrium,new_ensemble,high,theta1,50,1.2653637076958888,0.13538023072792787
equilibrium,new_ensemble,high,theta1,51,1.3526301702956056,0.13503803741171194
equilibrium,new_ensemble,high,theta1,52,1.439896632895322,0.13811777725765534
equilibrium,new_ensemble,high,theta1,53,1.5271630954950384,0.14111196877454474
equilibrium,new_ensemble,high,theta1,54,1.6144295580947547,0.14568880437893283
equilibrium,new_ensemble,high,theta1,55,1.7016960206944711,0.15090725245122577
equilibrium,new_ensemble,high,theta1,56,1.7889624832941875,0.15623263593483622
equilibrium,new_ensemble,high,theta1,57,1.8762289458939039,0.1587990858064557
equilibrium,new_ensemble,high,theta1,58,1.9634954084936203,0.1607880844569608
equilibrium,new_ensemble,high,theta1,59,2.050761871093337,0.16962094943178452
equilibrium,new_ensemble,high,theta1,60,2.138028333693054,0.18262429544798991
equilibrium,new_ensemble,high,theta1,61,2.2252947962927703,0.1866450669135271
equilibrium,new_ensemble,high,theta1,62,2.3125612588924866,0.1966542214128431
equilibrium,new_ensemble,high,theta1,63,2.399827721492203,0.20236457237719646
equilibrium,new_ensemble,high,theta1,64,2.4870941840919194,0.20790382668344187
equilibrium,new_ensemble,high,theta1,65,2.574360646691636,0.2127159201927284
equilibrium,new_ensemble,high,theta1,66,2.661627109291352,0.21808407784086584
equilibrium,new_ensemble,high,theta1,67,2.7488935718910685,0.22787936151754687
equilibrium,new_ensemble,high,theta1,68,2.8361600344907854,0.227194974885115
equilibrium,new_ensemble,high,theta1,69,2.923426497090502,0.2296758764276805
equilibrium,new_ensemble,high,theta1,70,3.0106929596902186,0.23840180599118677
equilibrium,new_ensemble,high,theta1,71,3.097959422289935,0.23780296768780887
equilibrium,new_ensemble,high,theta3,0,-3.097959422289935,0.23848735432024074
equilibrium,new_ensemble,high,theta3,1,-3.0106929596902186,0.2405832883820633
equilibrium,new_ensemble,high,theta3,2,-2.923426497090502,0.2375890968651739
equilibrium,new_ensemble,high,theta3,3,-2.8361600344907854,0.23190013298308407
equilibrium,new_ensemble,high,theta3,4,-2.748893571891069,0.2236019450648477
equilibrium,new_ensemble,high,theta3,5,-2.6616271092913526,0.2196239477638375
equilibrium,new_ensemble,high,theta3,6,-2.574360646691636,0.20865237456266422
equilibrium,new_ensemble,high,theta3,7,-2.4870941840919194,0.2077968912721244
equilibrium,new_ensemble,high,theta3,8,-2.399827721492203,0.20084608953648828
equilibrium,new_ensemble,high,theta3,9,-2.3125612588924866,0.19289009493446788
equilibrium,new_ensemble,high,theta3,10,-2.2252947962927703,0.18497687449697445
equilibrium,new_ensemble,high,theta3,11,-2.138028333693054,0.17687117031910957
equilibrium,new_ensemble,high,theta3,12,-2.0507618710933375,0.17190936723397857
equilibrium,new_ensemble,high,theta3,13,-1.9634954084936207,0.16671230624394912
equilibrium,new_ensemble,high,theta3,14,-1.8762289458939043,0.16384643722064068
equilibrium,new_ensemble,high,theta3,15,-1.7889624832941877,0.1553129913975059
equilibrium,new_ensemble,high,theta3,16,-1.7016960206944713,0.15353786356963575
equilibrium,new_ensemble,high,theta3,17,-1.6144295580947547,0.14705757764379654
equilibrium,new_ensemble,high,theta3,18,-1.5271630954950384,0.1417963554069766
equilibrium,new_ensemble,high,theta3,19,-1.439896632895322,0.13523052115208342
equilibrium,new_ensemble,high,theta3,20,-1.3526301702956054,0.1358079723731978
equilibrium,new_ensemble,high,theta3,21,-1.2653637076958888,0.1328565550208354
equilibrium,new_ensemble,high,theta3,22,-1.1780972450961724,0.12802307442928537
equilibrium,new_ensemble,high,theta3,23,-1.090830782496456,0.1257988178738818
equilibrium,new_ensemble,high,theta3,24,-1.0035643198967397,0.12361733548300524
equilibrium,new_ensemble,high,theta3,25,-0.9162978572970231,0.11897633863182668
equilibrium,new_ensemble,high,theta3,26,-0.8290313946973065,0.11893356446729968
equilibrium,new_ensemble,high,theta3,27,-0.7417649320975901,0.11963933818199504
equilibrium,new_ensemble,high,theta3,28,-0.6544984694978737,0.11600353419720076
equilibrium,new_ensemble,high,theta3,29,-0.5672320068981571,0.1158752117036198
equilibrium,new_ensemble,high,theta3,30,-0.4799655442984405,0.11290240726899389
equilibrium,new_ensemble,high,theta3,31,-0.39269908169872414,0.11501972841307996
equilibrium,new_ensemble,high,theta3,32,-0.30543261909900776,0.11431395469838461
equilibrium,new_ensemble,high,theta3,33,-0.21816615649929139,0.10866776498082173
equilibrium,new_ensemble,high,theta3,34,-0.1308996938995748,0.11076369904264431
equilibrium,new_ensemble,high,theta3,35,-0.04363323129985819,0.11270992352862243
equilibrium,new_ensemble,high,theta3,36,0.04363323129985819,0.1108492473716983
equilibrium,new_ensemble,high,theta3,37,0.13089969389957457,0.11238911729467
equilibrium,new_ensemble,high,theta3,38,0.21816615649929116,0.11504111549534346
equilibrium,new_ensemble,high,theta3,39,0.30543261909900776,0.1114053115105492
equilibrium,new_ensemble,high,theta3,40,0.39269908169872414,0.11300934268031136
