case,diagnostic,sector,angle,metric,density_estimate,trajectory_estimate,difference,difference_z_approx,intervals_overlap
driven,phase_locking,high,theta3,prob_within_pi_over_6_of_theta0,0.15879677161240816,0.15725040655953965,0.0015463650528685091,1.114364755500523,True
driven,phase_locking,high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.21817145864508258,0.21892994287317238,-0.0007584842280898008,-0.49809858018796965,True
driven,phase_locking,high,joint,prob_both_within_pi_over_6_of_theta0,0.041817833003831135,0.04206043237464888,-0.00024259937081774763,-0.3920582083030864,True
driven,current_balance,all,none,E_J12_plus_J23,-0.0038465917170254446,0.001926387329722244,-0.005772979046747688,-2.305935665371991,False
equilibrium,phase_locking,low,theta1,circular_mean,3.134463429089351,3.132652214992527,0.0018112140968238322,0.000809123614332657,True
equilibrium,phase_locking,low,theta1,circular_resultant,0.17961772089880781,0.18513920616977697,-0.005521485270969156,-0.7909440246898178,True
equilibrium,phase_locking,low,theta1,histogram_mode,-3.0106929596902186,-3.097959422289935,0.08726646259971638,0.05678774382644734,True
equilibrium,phase_locking,low,theta1,prob_within_pi_over_6_of_theta0,0.19242088655602416,0.19531805783284703,-0.002897171276822874,-1.2384720868097305,True
equilibrium,phase_locking,low,theta3,circular_mean,-3.0993148773812726,-3.123272829908972,0.023957952527699167,0.015123246286275295,True
equilibrium,phase_locking,low,theta3,circular_resultant,0.18127414866531255,0.1858917825341394,-0.004617633868826854,-0.7033533815736995,True
equilibrium,phase_locking,low,theta3,histogram_mode,3.0106929596902186,3.097959422289935,-0.08726646259971638,-0.03988182522701993,True
equilibrium,phase_locking,low,theta3,prob_within_pi_over_6_of_theta0,0.18935647319396826,0.1923906551371257,-0.003034181943157438,-1.2274448251960517,True
equilibrium,phase_locking,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.18880844382414516,0.18644264459162826,0.0023657992325168964,1.2124293836730766,True
equilibrium,phase_locking,low,joint,prob_both_within_pi_over_6_of_theta0,0.03598030886859432,0.038153244490434106,-0.002172935621839789,-2.6750326118548924,True
equilibrium,phase_locking,middle,theta1,circular_mean,3.120917809149868,3.1278427289655175,-0.006924919815649577,-0.003086616412136897,True
equilibrium,phase_locking,middle,theta1,circular_resultant,0.18068265445606058,0.18086536339285317,-0.0001827089367925916,-0.035528722169051424,True
equilibrium,phase_locking,middle,theta1,histogram_mode,3.097959422289935,3.0106929596902186,0.08726646259971638,0.03959393975462398,True
equilibrium,phase_locking,middle,theta1,prob_within_pi_over_6_of_theta0,0.19459015429329196,0.19325465672723113,0.0013354975660608281,0.6764237239670716,True
equilibrium,phase_locking,middle,theta3,circular_mean,-3.112514450649713,-3.1292749108237805,0.016760460174067404,0.010560656170943782,True
equilibrium,phase_locking,middle,theta3,circular_resultant,0.18711867258543113,0.18963643121714877,-0.0025177586317176315,-0.39722147123727486,True
equilibrium,phase_locking,middle,theta3,histogram_mode,3.0106929596902186,-3.097959422289935,-0.17453292519943275,-0.0815164384018936,True
equilibrium,phase_locking,middle,theta3,prob_within_pi_over_6_of_theta0,0.1925507433889887,0.1935139463499266,-0.0009632029609379089,-0.555710260443736,True
equilibrium,phase_locking,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.1916382255797144,0.18703742540656995,0.004600800173144459,2.0085250435777295,True
equilibrium,phase_locking,middle,joint,prob_both_within_pi_over_6_of_theta0,0.037388567536752085,0.03698308897828449,0.0004054785584675924,0.5674790864213504,True
equilibrium,phase_locking,high,theta1,circular_mean,3.136892415020959,-3.1356106442623894,-0.01068224789623784,-0.004750011130562567,True
equilibrium,phase_locking,high,theta1,circular_resultant,0.1834694742238199,0.17809952820658653,0.005369946017233368,0.6821384531438561,True
equilibrium,phase_locking,high,theta1,histogram_mode,3.0106929596902186,3.097959422289935,-0.08726646259971638,-0.04015499874796541,True
equilibrium,phase_locking,high,theta1,prob_within_pi_over_6_of_theta0,0.1930615642462271,0.19214828992353383,0.0009132743226932805,0.41497822595308337,True
equilibrium,phase_locking,high,theta3,circular_mean,3.1273003721938535,-3.134753417321054,-0.0211315176646778,-0.009390917667012697,True
equilibrium,phase_locking,high,theta3,circular_resultant,0.18596549057810538,0.18333389223810115,0.002631598340004232,0.37695624595313276,True
equilibrium,phase_locking,high,theta3,histogram_mode,3.0106929596902186,3.0106929596902186,0.0,0.0,True
equilibrium,phase_locking,high,theta3,prob_within_pi_over_6_of_theta0,0.19355428725004573,0.19490632849535114,-0.0013520412453054131,-0.6590020090079719,True
equilibrium,phase_locking,high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.18591334794082845,0.18862577488852156,-0.0027124269476931084,-1.5715406278718713,True
equilibrium,phase_locking,high,joint,prob_both_within_pi_over_6_of_theta0,0.03860223442416732,0.038323778920070564,0.0002784555040967543,0.3377976155171155,True
equilibrium,current_balance,all,none,E_J12_plus_J23,-8.787840346998602e-05,-0.0004233116994749883,0.0003354332960050023,0.5856031883559825,True
