event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
19,38,-0.19481077068959873,-3.1227506847508972,-0.082177649598707825,0.51711901367781354,-0.56532446390626989,0.49793294370021191,-0.48573864333075845,0.13287963264210836,0,-0.66098348883885361,168.66845842287961,0.014698137261341931,1,251,169.343669250646,17,6.9130801687763714,6.9130801687763714
20,40,-0.067729068471190423,-3.1904797532220877,-0.079761993830552186,0.46005643026347898,-0.64962261085421302,0.50071769589435822,-0.42834078613087273,0.15753237050623664,0,-0.6285984266208503,186.87170125854382,0.016728897827466265,1,254,180.53994490358127,17,6.5346495164024327,6.5346495164024327
21,42,-0.12058894297163025,-3.3110686961937179,-0.078834968956993282,0.25975414523648982,-0.79300398521836968,0.36065094401650433,-0.50020502215399243,0.054557590073905586,0,-0.56208689322694505,190.55012297020212,0.017746598821666962,1,259,180.78896551724137,16,6.7212963437772419,6.7212963437772419
22,44,-0.21339243404264963,-3.5244611302363675,-0.080101389323553804,0.32362582789752353,-0.65675581307062714,0.36653523578290831,-0.4581911009803874,0.042583029565391499,0,-0.61905863160659969,175.06888358856972,0.019411960207400103,1,255,168.04102564102564,16,6.0605724326073886,6.0605724326073886
23,46,-0.13874540966137516,-3.6632065398977427,-0.07963492478038571,0.40017361865401013,-0.90253037840834738,0.46149990473738917,-0.57660494341649393,0.13703753388609935,0,-0.58248063554403695,177.07234751839519,0.018511404538540669,1,261,168.90721649484536,16,5.7517991925574865,5.7517991925574865
24,48,-0.20010355613860842,-3.8633100960363511,-0.080485627000757315,0.4116615011995286,-0.67459746494338035,0.503616111352445,-0.41516148882911402,0.17456714782108684,0,-0.55834330178347413,167.47390024961197,0.021256563111953748,1,251,161.02211302211302,15,5.443415424228581,5.443415424228581
25,50,-0.17945343034907424,-4.0427635263854249,-0.080855270527708495,0.45069637764155684,-0.483419213083989,0.46192593435783336,-0.31959008507284797,0.20931697776190974,0,-0.62377107165077816,170.03728498074798,0.019552427585187,1,255,163.22789539227895,13,4.7581224815769412,4.7581224815769412
26,52,-0.15328653263137859,-4.1960500590168035,-0.080693270365707753,0.29679401706650538,-0.55939923375956369,0.31613587807971172,-0.47367862054860688,0.077406212349421188,0,-0.68199768915146886,172.31861316623372,0.017806229243999876,1,249,165.49494949494951,13,3.5772925764192141,3.5772925764192141
27,54,-0.092286579123285861,-4.2883366381400894,-0.079413641447038691,0.36676946212688993,-0.88895190310870209,0.45836398502585796,-0.64915543575163304,0.15461423986306289,0,-0.65198794048108177,145.9577568396511,0.030690981710841728,1,244,140.93763440860215,12,2.9779615576861906,2.9779615576861906
28,56,-0.22517859522446271,-4.5135152333645525,-0.080598486310081291,0.59996521022218563,-0.84252302306869586,0.58387225583661506,-0.61416357739297323,0.15299099399856092,0,-0.68892109827089487,153.11823072299956,0.023565099295693451,1,241,147.77001127395715,11,2.4110516343836799,2.4110516343836799
29,58,-0.18081246013041241,-4.6943276934949649,-0.080936684370602849,0.80712060539704911,-0.63663817167396874,0.76835581353739713,-0.44983347490764231,0.019249246800131101,0,-0.65860792962113046,174.62328352867794,0.017279794760218105,1,256,166.54637865311309,10,2.2150643029760193,2.2150643029760193
30,60,-0.1505141136151682,-4.8448418071101331,-0.080747363451835558,0.52385183315110007,-0.6532265231396599,0.50949646948445537,-0.43358589441851897,0.019769768567741028,0,-0.64745508064156243,163.33178496050809,0.021002321068892518,1,255,158.68280871670703,9,2.1099467168912285,2.1099467168912285
