case,selection,tau,inverse_tau,a_observed,a_predicted_linear,residual,bootstrap_se,standardized_residual,affinity,dt
moderate_dt5e4,tau_ge_10,20,0.05,0.11336899308909201,0.11416574648083166,-0.0007967533917396519,0.0003663143980588619,-2.17505344032812,moderate,0.0005
moderate_dt5e4,tau_ge_10,25,0.04,0.1162790925689311,0.1156507904601021,0.0006283021088289986,0.0005052925353016372,1.2434422931934472,moderate,0.0005
moderate_dt5e4,tau_ge_10,40,0.025,0.11966113186895713,0.11787835642900774,0.0017827754399493967,0.0009954899323322496,1.7908523050280198,moderate,0.0005
moderate_dt5e4,tau_ge_10,80,0.0125,0.1246027986997101,0.11973466140309577,0.004868137296614325,0.005455737230571251,0.892296877741049,moderate,0.0005
moderate_dt2p5e4,all_admissible,5,0.2,0.09589655660906543,0.09572484562597813,0.0001717109830872976,0.00015731434068538507,1.0915151304019037,moderate,0.00025
moderate_dt2p5e4,all_admissible,10,0.1,0.10671090857518396,0.1078468287014017,-0.0011359201262177432,0.0002475879237691261,-4.587946410815175,moderate,0.00025
moderate_dt2p5e4,all_admissible,20,0.05,0.1143320172977489,0.1139078202391135,0.00042419705863540325,0.0003937162779959617,1.077418136721678,moderate,0.00025
moderate_dt2p5e4,all_admissible,25,0.04,0.11694554491608633,0.11512001854665586,0.0018255263694304663,0.0005123369899193163,3.563135993202352,moderate,0.00025
moderate_dt2p5e4,all_admissible,40,0.025,0.11934606848547306,0.1169383160079694,0.0024077524775036607,0.0010637945737253193,2.26336224772412,moderate,0.00025
moderate_dt2p5e4,all_admissible,80,0.0125,0.11252693886084811,0.11845356389239735,-0.00592662503154924,0.005113055530840032,-1.1591161089102324,moderate,0.00025
moderate_dt2p5e4,tau_ge_10,10,0.1,0.10671090857518396,0.10668413051627015,2.6778058913809466e-05,0.0002475879237691261,0.1081557553622034,moderate,0.00025
moderate_dt2p5e4,tau_ge_10,20,0.05,0.1143320172977489,0.11476129517113391,-0.0004292778733850089,0.0003937162779959617,-1.0903228984335058,moderate,0.00025
moderate_dt2p5e4,tau_ge_10,25,0.04,0.11694554491608633,0.11637672810210667,0.0005688168139796612,0.0005123369899193163,1.1102395984901257,moderate,0.00025
moderate_dt2p5e4,tau_ge_10,40,0.025,0.11934606848547306,0.1187998774985658,0.0005461909869072662,0.0010637945737253193,0.5134365228002162,moderate,0.00025
moderate_dt2p5e4,tau_ge_10,80,0.0125,0.11252693886084811,0.12081916866228173,-0.008292229801433626,0.005113055530840032,-1.621775815149671,moderate,0.00025
moderate_dt1p25e4,all_admissible,5,0.2,0.09621307253693849,0.09609412534345636,0.00011894719348212734,0.00015749539111346476,0.7552423765622065,moderate,0.000125
moderate_dt1p25e4,all_admissible,10,0.1,0.10722134745151185,0.10803983042295151,-0.0008184829714396602,0.0002518460498139775,-3.2499337275459395,moderate,0.000125
moderate_dt1p25e4,all_admissible,20,0.05,0.11465957233682479,0.11401268296269909,0.0006468893741257004,0.00044723328058613663,1.4464249469044381,moderate,0.000125
moderate_dt1p25e4,all_admissible,25,0.04,0.11624770944603188,0.11520725347064861,0.0010404559753832698,0.0005606883264301847,1.8556761864611862,moderate,0.000125
moderate_dt1p25e4,all_admissible,40,0.025,0.11873402810078958,0.11699910923257288,0.001734918868216695,0.0011063216936731425,1.5681866116685483,moderate,0.000125
moderate_dt1p25e4,all_admissible,80,0.0125,0.1271756257106185,0.11849232236750978,0.008683303343108711,0.007663935418562107,1.1330084178524897,moderate,0.000125
moderate_dt1p25e4,tau_ge_10,10,0.1,0.10722134745151185,0.10721051650138619,1.0830950125662042e-05,0.0002518460498139775,0.04300623390226755,moderate,0.000125
moderate_dt1p25e4,tau_ge_10,20,0.05,0.11465957233682479,0.1147476784523302,-8.810611550541525e-05,0.00044723328058613663,-0.19700259200286888,moderate,0.000125
moderate_dt1p25e4,tau_ge_10,25,0.04,0.11624770944603188,0.11625511084251902,-7.401396487138889e-06,0.0005606883264301847,-0.013200553923179441,moderate,0.000125
moderate_dt1p25e4,tau_ge_10,40,0.025,0.11873402810078958,0.11851625942780222,0.00021776867298735347,0.0011063216936731425,0.19684028093522335,moderate,0.000125
moderate_dt1p25e4,tau_ge_10,80,0.0125,0.1271756257106185,0.12040054991553824,0.006775075795080257,0.007663935418562107,0.8840204705628096,moderate,0.000125
equilibrium_dt5e4,all_admissible,5,0.2,0.0002020978795807339,0.0001995478715299578,2.550008050776091e-06,0.00011751416145543757,0.02169958087768917,equilibrium,0.0005
equilibrium_dt5e4,all_admissible,10,0.1,0.00013933763538376897,0.00013350930882514598,5.828326558622983e-06,0.00012796675481164407,0.045545630716366706,equilibrium,0.0005
equilibrium_dt5e4,all_admissible,20,0.05,0.0001630124232864755,0.00010049002747274009,6.252239581373542e-05,0.000133217894406757,0.4693243058086061,equilibrium,0.0005
equilibrium_dt5e4,all_admissible,25,0.04,4.7212615692964034e-05,9.388617120225891e-05,-4.667355550929488e-05,0.00011985452142289754,-0.38941839619559115,equilibrium,0.0005
equilibrium_dt5e4,all_admissible,40,0.025,-1.1067792118875444e-05,8.398038679653713e-05,-9.504817891541257e-05,0.00013448489040169943,-0.7067573065755459,equilibrium,0.0005
equilibrium_dt5e4,all_admissible,80,0.0125,3.89543721509715e-05,7.572556645843566e-05,-3.677119430746416e-05,0.00012474031854166727,-0.2947819497124452,equilibrium,0.0005
equilibrium_dt5e4,all_admissible,160,0.00625,0.00022666363230172484,7.159815628938492e-05,0.00015506547601233992,0.00013817357441777293,1.1222513180667506,equilibrium,0.0005
equilibrium_dt5e4,all_admissible,320,0.003125,-2.824072563046431e-06,6.953445120485956e-05,-7.235852376790599e-05,0.00013199086989122244,-0.5482085528153483,equilibrium,0.0005
equilibrium_dt5e4,all_admissible,640,0.0015625,0.00012068949796971872,6.850259866259686e-05,5.218689930712186e-05,0.0001356683352868887,0.38466528830596863,equilibrium,0.0005
equilibrium_dt5e4,tau_ge_10,10,0.1,0.00013933763538376897,0.00012845956512103402,1.0878070262734948e-05,0.00012796675481164407,0.08500700262928852,equilibrium,0.0005
equilibrium_dt5e4,tau_ge_10,20,0.05,0.0001630124232864755,9.880429379697088e-05,6.420812948950463e-05,0.000133217894406757,0.48197826407206673,equilibrium,0.0005
equilibrium_dt5e4,tau_ge_10,25,0.04,4.7212615692964034e-05,9.287323953215824e-05,-4.566062383919421e-05,0.00011985452142289754,-0.380967053200139,equilibrium,0.0005
equilibrium_dt5e4,tau_ge_10,40,0.025,-1.1067792118875444e-05,8.397665813493931e-05,-9.504445025381475e-05,0.00013448489040169943,-0.7067295810698279,equilibrium,0.0005
equilibrium_dt5e4,tau_ge_10,80,0.0125,3.89543721509715e-05,7.656284030392352e-05,-3.760846815295202e-05,0.00012474031854166727,-0.3014940846121824,equilibrium,0.0005
equilibrium_dt5e4,tau_ge_10,160,0.00625,0.00022666363230172484,7.285593138841563e-05,0.00015380770091330922,0.00013817357441777293,1.113148455205088,equilibrium,0.0005
equilibrium_dt5e4,tau_ge_10,320,0.003125,-2.824072563046431e-06,7.10024769306617e-05,-7.382654949370812e-05,0.00013199086989122244,-0.5593307291220276,equilibrium,0.0005
equilibrium_dt5e4,tau_ge_10,640,0.0015625,0.00012068949796971872,7.007574970178471e-05,5.061374826793401e-05,0.0001356683352868887,0.3730697230190414,equilibrium,0.0005
equilibrium_dt2p5e4,all_admissible,5,0.2,-0.0002850192206145525,-0.0002753083947133552,-9.710825901197327e-06,0.00013604376186889168,-0.07138016302839273,equilibrium,0.00025
