affinity,case,dt,tau,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
weak,weak_dt5e4,0.0005,10,40,37.10621241435018,7608,3005,0.9289227572559183,0.021545748792207237
weak,weak_dt5e4,0.0005,10,41,38.03386772470894,7001,2561,1.0056551887776723,0.02309348846102855
weak,weak_dt5e4,0.0005,10,42,38.96152303506769,6523,2346,1.0226226425826752,0.024074076391932084
weak,weak_dt5e4,0.0005,10,43,39.889178345426444,6018,2040,1.0818051703517284,0.025619606566290178
weak,weak_dt5e4,0.0005,10,44,40.8168336557852,5350,1845,1.0646172834154246,0.0269985426996471
weak,weak_dt5e4,0.0005,10,45,41.744488966143955,5056,1654,1.1173790602430567,0.028326308116823882
weak,weak_dt5e4,0.0005,10,46,42.67214427650271,4613,1549,1.0912688431409518,0.02936590644102312
weak,weak_dt5e4,0.0005,10,47,43.599799586861465,4252,1348,1.1487674479895862,0.0312573704219802
weak,weak_dt5e4,0.0005,10,48,44.527454897220224,4000,1196,1.2073117055914506,0.0329563408365946
weak,weak_dt5e4,0.0005,10,49,45.455110207578976,3593,1029,1.250400051279469,0.03535726589922707
weak,weak_dt5e4,0.0005,10,50,46.38276551793773,3256,979,1.2017230845919207,0.0364496332872913
weak,weak_dt5e4,0.0005,10,51,47.310420828296486,3015,783,1.3482224131704827,0.04011002576307227
weak,weak_dt5e4,0.0005,10,52,48.23807613865524,2809,740,1.3339336409060283,0.0413200910860207
weak,weak_dt5e4,0.0005,10,53,49.165731449014,2530,672,1.3257162411984165,0.043397605407341146
weak,weak_dt5e4,0.0005,10,54,50.09338675937275,2298,585,1.3681826111768445,0.04630942365194423
weak,weak_dt5e4,0.0005,10,55,51.0210420697315,1973,516,1.3412037405410526,0.04944519054616265
weak,weak_dt5e4,0.0005,10,56,51.94869738009026,1924,514,1.3199383657704866,0.04965154389925165
weak,weak_dt5e4,0.0005,10,57,52.87635269044901,1734,432,1.389760569096377,0.05377281918922985
weak,weak_dt5e4,0.0005,10,58,53.80400800080777,1699,358,1.5572621352712317,0.05815391309211954
weak,weak_dt5e4,0.0005,10,59,54.73166331116652,1456,358,1.4029152423559308,0.058992451010266234
weak,weak_dt5e4,0.0005,10,60,55.65931862152527,1362,289,1.5502827985970256,0.0647643575051803
weak,weak_dt5e4,0.0005,10,61,56.58697393188403,1211,256,1.5540242990735298,0.06878963462284254
weak,weak_dt5e4,0.0005,10,62,57.51462924224278,1085,231,1.5469175554527665,0.07246146089597866
weak,weak_dt5e4,0.0005,10,63,58.44228455260154,996,201,1.6004423495255224,0.07732490182577978
weak,weak_dt5e4,0.0005,10,64,59.369939862960294,930,176,1.66470059110915,0.08220150241341385
weak,weak_dt5e4,0.0005,10,65,60.297595173319046,809,166,1.5838111287019485,0.08520675048775095
weak,weak_dt5e4,0.0005,10,66,61.225250483677804,783,149,1.659186390045344,0.08937868092642029
weak,weak_dt5e4,0.0005,10,67,62.152905794036556,671,108,1.826637909847462,0.10368014383179674
weak,weak_dt5e4,0.0005,10,68,63.080561104395315,610,136,1.500804071431305,0.09482766178054625
weak,weak_dt5e4,0.0005,10,69,64.00821641475407,569,121,1.54808988852959,0.10010960020999775
weak,weak_dt5e4,0.0005,10,70,64.93587172511282,522,78,1.900958761193047,0.1213928401215383
weak,weak_dt5e4,0.0005,10,71,65.86352703547158,467,73,1.8558698165205063,0.1258568939713381
weak,weak_dt5e4,0.0005,10,72,66.79118234583034,415,60,1.9339339580085977,0.1381169983053626
weak,weak_dt5e4,0.0005,10,73,67.71883765618908,367,60,1.8110172858324696,0.1392532308673434
weak,weak_dt5e4,0.0005,10,74,68.64649296654784,321,56,1.7460894323948666,0.14481853353300692
weak,weak_dt5e4,0.0005,10,75,69.5741482769066,334,53,1.8408490794245786,0.1478578253064402
weak,weak_dt5e4,0.0005,10,76,70.50180358726534,286,44,1.8718021769015913,0.16193756890782393
weak,weak_dt5e4,0.0005,10,77,71.4294588976241,263,37,1.9612361195335402,0.17558276793537664
weak,weak_dt5e4,0.0005,10,78,72.35711420798286,226,42,1.6828653809889176,0.1680306596148029
weak,weak_dt5e4,0.0005,10,79,73.28476951834162,200,26,2.0402208285265546,0.20847431127488697
weak,weak_dt5e4,0.0005,10,80,74.21242482870036,178,26,1.9236870122706031,0.209951222881955
weak,weak_dt5e4,0.0005,10,81,75.14008013905912,155,22,1.952382663560931,0.22782923069213762
weak,weak_dt5e4,0.0005,10,82,76.06773544941788,149,14,2.3648889763302003,0.2795352944165452
weak,weak_dt5e4,0.0005,10,83,76.99539075977663,140,16,2.169053700369523,0.2638993314558738
weak,weak_dt5e4,0.0005,10,84,77.92304607013538,110,15,1.992430164690206,0.27524094128159016
weak,weak_dt5e4,0.0005,20,1,1.2929969205320362,20149,19613,0.026962047690255155,0.010030794840385162
weak,weak_dt5e4,0.0005,20,2,2.5859938410640724,20710,19154,0.07810510430806515,0.010024682949697251
weak,weak_dt5e4,0.0005,20,3,3.878990761596109,20751,18559,0.11163959169038995,0.010103101609624975
weak,weak_dt5e4,0.0005,20,4,5.171987682128145,20883,18110,0.14247115895931703,0.010154011606141234
weak,weak_dt5e4,0.0005,20,5,6.464984602660181,21140,17545,0.18639797140691317,0.01021273640747694
weak,weak_dt5e4,0.0005,20,6,7.757981523192218,20847,16829,0.21410646426936367,0.010362903540646508
weak,weak_dt5e4,0.0005,20,7,9.050978443724253,21000,16431,0.24535264325372905,0.010415354821452644
weak,weak_dt5e4,0.0005,20,8,10.34397536425629,20527,15507,0.28044955785302983,0.010639705386370976
weak,weak_dt5e4,0.0005,20,9,11.636972284788326,20470,15182,0.2988498840786218,0.01071071674287728
weak,weak_dt5e4,0.0005,20,10,12.929969205320361,20263,14496,0.33492381358256856,0.01087821590912448
