affinity,case,kind,T_left,T_right,delta_beta,dt,seed,bootstrap_seed,tau,inverse_tau,N_windows,mean_Q,std_Q,skew_Q,excess_kurtosis_Q,n_negative,p_negative,dQ,n_symmetric_pairs,full_sample_resolved,admissible,a_fit,a_bootstrap_se,a_ci_low,a_ci_high,ci_contains_reference,a_over_delta_beta,intercept,R2,quadratic_linear,quadratic_coefficient,quadratic_intercept,quadratic_R2,bootstrap_accepted,bootstrap_total
weak,weak_dt2p5e4,new,6.5,5.5,0.02797202797202797,0.00025,2026091101,2026095102,10,0.1,2000128,4.479099917650966,18.534149401217558,0.15618872818334884,0.6576062977041888,813275,0.4066114768654806,0.926707470060878,86,1,1,0.026487378597024932,0.00014493320164469544,0.026200012980219362,0.02675853493422672,0,0.9469237848436415,-0.002285570108497226,0.9978220514950508,0.026494843157210568,-1.7719994388206017e-07,-0.002334205254300866,0.9978220640362778,1000,1000
weak,weak_dt2p5e4,new,6.5,5.5,0.02797202797202797,0.00025,2026091101,2026095102,20,0.05,1000064,8.958199835301931,25.859148551135352,0.13245633304637425,0.38917408577073775,365872,0.3658485856905158,1.2929574275567677,74,1,1,0.027228073087490843,0.00015431369738771916,0.02692028668058192,0.027503341926128737,0,0.9734036128777978,-0.001215949653831425,0.9988311574105976,0.027409888544270053,-3.2781718414327623e-06,-0.0028003405144970944,0.9988375868399987,1000,1000
weak,weak_dt2p5e4,new,6.5,5.5,0.02797202797202797,0.00025,2026091101,2026095102,25,0.04,800000,11.197735971411513,28.81563532803775,0.12226498581484554,0.325821372884747,279855,0.34981875,1.4407817664018876,72,1,1,0.027400127891222138,0.00013717246387960464,0.02711711107204371,0.027655429437250176,0,0.9795545721111916,3.519278540508604e-05,0.9977332052126722,0.027516250188821464,-1.9135502238942857e-06,-0.0010756972466960586,0.9977357693138457,1000,1000
weak,weak_dt2p5e4,new,6.5,5.5,0.02797202797202797,0.00025,2026091101,2026095102,40,0.025,499968,17.9159672518531,36.31286435127634,0.10111215172980714,0.2122572347075149,155701,0.31142193100358423,1.8156432175638169,65,1,1,0.027647300793392452,0.0001528902640260255,0.027329024957622062,0.027933924710531743,0,0.9883910033637803,-0.001377279844820847,0.9978974708976334,0.027805370072328767,-2.1614695065471614e-06,-0.0032105813684918678,0.9979018655013984,1000,1000
weak,weak_dt2p5e4,new,6.5,5.5,0.02797202797202797,0.00025,2026091101,2026095102,80,0.0125,249984,35.83193450370621,51.24350625124677,0.07373332442511561,0.10803506502820426,60447,0.24180347542242703,2.5621753125623385,55,1,1,0.027766300998675733,0.0001862295937252839,0.027365276386801096,0.028099823135200718,1,0.9926452607026576,-0.0015982082148779829,0.9979769280470011,0.027407905032741625,3.7792790357408665e-06,0.0038160877244676227,0.9979979590720822,1000,1000
weak,weak_dt2p5e4,new,6.5,5.5,0.02797202797202797,0.00025,2026091101,2026095102,160,0.00625,124928,71.66384453650721,72.36663746784679,0.05063934827000186,0.04783754335565105,20012,0.16018826844262296,3.6183318733923393,44,1,1,0.02768138688908955,0.0002554492317735006,0.027145485882205927,0.028149819953760504,1,0.9896095812849516,0.005089424524335239,0.9958399404908708,0.026970941825336502,6.02474233132273e-06,0.01848860892850083,0.9959166004405119,1000,1000
weak,weak_dt2p5e4,new,6.5,5.5,0.02797202797202797,0.00025,2026091101,2026095102,320,0.003125,62464,143.32768907301443,102.31025716229617,0.03339801151979061,0.003682372426400349,5016,0.08030225409836066,5.115512858114808,32,1,1,0.02811643559678445,0.0004490430636326807,0.02718828522913288,0.02893156222498711,1,1.0051625725850442,-0.024993724679153277,0.9939817004578214,0.027070411567851137,7.801460193036207e-06,-0.0023338130533667495,0.9941237589248174,1000,1000
weak,weak_dt2p5e4,new,6.5,5.5,0.02797202797202797,0.00025,2026091101,2026095102,640,0.0015625,31232,286.65537814602885,145.04251091400596,0.023017816255197117,-0.034264577028343624,719,0.02302126024590164,7.252125545700298,14,1,1,0.02496633279147329,0.0015868175219435382,0.02181223618815656,0.02819655610860577,1,0.8925463972951703,0.1445382981963448,0.9509555228739034,0.016320182392191865,8.438955355091377e-05,0.29811792691864564,0.9584609638292411,1000,1000
weak,weak_dt1p25e4,new,6.5,5.5,0.02797202797202797,0.000125,2026091102,2026095103,5,0.2,4000256,2.2326403799774344,13.44236513860378,0.16417110904774246,0.9322357127121825,1747636,0.43688103961346475,0.672118256930189,98,1,1,0.02537870303100658,0.0001244389531971208,0.025122213450378,0.02561800783234159,0,0.9072886333584854,-0.008029475013656548,0.9970915885668962,0.02384835951552596,4.782304435531204e-05,-0.0005735187637394429,0.9977164594968998,1000,1000
weak,weak_dt1p25e4,new,6.5,5.5,0.02797202797202797,0.000125,2026091102,2026095103,10,0.1,2000128,4.465280759954869,18.524730424092603,0.15696482029946535,0.6385363539684255,814370,0.40715894182772305,0.9262365212046302,85,1,1,0.02652907972588664,0.00012243208549647498,0.026293753348629444,0.02676960331061609,0,0.9484146002004474,-0.004729382256120875,0.9976928462641185,0.025911894226120103,1.469137632315998e-05,-0.0007143174835079148,0.9977781532358643,1000,1000
weak,weak_dt1p25e4,new,6.5,5.5,0.02797202797202797,0.000125,2026091102,2026095103,20,0.05,1000064,8.930561519909737,25.842179916675395,0.12620717704672582,0.3652941779812102,366079,0.3660555724433636,1.2921089958337697,76,1,1,0.02709515909602477,0.00014855518570564162,0.026795848586885097,0.027362923382271892,0,0.9686519376828856,0.000679355453145929,0.9982423050534379,0.026771236101380887,5.841586336754234e-06,0.003503434611692629,0.9982630020649869,1000,1000
weak,weak_dt1p25e4,new,6.5,5.5,0.02797202797202797,0.000125,2026091102,2026095103,25,0.04,800000,11.163182037887488,28.809599017602498,0.12132731921550971,0.30041193186841264,280548,0.350685,1.440479950880125,72,1,1,0.027460923408609783,0.00015186068917985002,0.02713545351328064,0.02773150658749088,0,0.9817280118577999,-0.0057102317905778684,0.9985010164892458,0.027083178321626215,6.2399524940727595e-06,-0.002098587062256909,0.9985278259633986,1000,1000
weak,weak_dt1p25e4,new,6.5,5.5,0.02797202797202797,0.000125,2026091102,2026095103,40,0.025,499968,17.86096883650495,36.30582979303214,0.10296444365554579,0.20267768831833388,156076,0.31217197900665644,1.815291489651607,63,1,1,0.02758432474867799,0.00016177268881990343,0.027241063017476547,0.027864328775260575,0,0.9861396097652383,-0.002456295801446424,0.9978039852450121,0.027518418026558418,9.077645347131595e-07,-0.001697492442338947,0.9978047414615554,1000,1000
weak,weak_dt1p25e4,new,6.5,5.5,0.02797202797202797,0.000125,2026091102,2026095103,80,0.0125,249984,35.7219376730099,51.249143590723484,0.06890320955999697,0.09796340120868896,60627,0.24252352150537634,2.562457179536174,56,1,1,0.027579450507162078,0.00020025111965553576,0.02713633575795056,0.027942997519382503,0,0.9859653556310444,0.0027916847737328174,0.9973502972099639,0.027951040126634144,-3.878101242615974e-06,-0.002868305364469082,0.9973738359580436,1000,1000
weak,weak_dt1p25e4,new,6.5,5.5,0.02797202797202797,0.000125,2026091102,2026095103,160,0.00625,124928,71.44523961545163,72.47830975498334,0.051069900274321185,0.05010234528010704,20138,0.1611968493852459,3.623915487749167,44,1,1,0.027680430226846905,0.0003197311790723082,0.027004333916633063,0.028228612396004653,1,0.989575380609777,0.004260213813224134,0.9967064841706161,0.027443575816173876,2.0031540056960956e-06,0.00872330918441638,0.9967149583724326,1000,1000
weak,weak_dt1p25e4,new,6.5,5.5,0.02797202797202797,0.000125,2026091102,2026095103,320,0.003125,62464,142.89047923090325,102.36101266251303,0.03680388110177781,0.021842933278582777,5053,0.08089459528688525,5.118050633125652,32,1,1,0.027482161608075352,0.0004704644894008952,0.026481594236054878,0.02831471280315796,1,0.9824872774886939,-0.007427789169124955,0.9925559643517787,0.02730221951340063,1.3276555714351321e-06,-0.0034848550037057985,0.9925603032505889,1000,1000
weak,weak_dt1p25e4,new,6.5,5.5,0.02797202797202797,0.000125,2026091102,2026095103,640,0.0015625,31232,285.7809584618065,146.19049512555728,0.02245906863720477,0.04744470182473792,781,0.02500640368852459,7.309524756277864,15,1,1,0.025095078662409412,0.0015714448483461255,0.022026935205585317,0.02826605725606011,1,0.8971490621811365,0.06877166478371657,0.9639732832587483,0.02422250070518912,8.052594791780607e-06,0.08512965652793798,0.9640539747456305,1000,1000
moderate,moderate_dt5e4,baseline,8.0,4.0,0.125,0.0005,2026090403,2026094126,5,0.2,4000256,8.724804056290328,14.346205337409915,0.5627260827406823,1.261860350879342,1078232,0.2695407493920389,0.7173102668704957,75,1,1,0.09594196561402853,0.00016028477726922296,0.09561930861439123,0.0962418584103434,0,0.7675357249122282,-0.0008609573655422413,0.9997107524912198,0.09584954910977984,3.4654175869411383e-06,-0.0004799218323567678,0.999710905202775,1000,1000
moderate,moderate_dt5e4,baseline,8.0,4.0,0.125,0.0005,2026090403,2026094126,10,0.1,2000128,17.449608112580655,19.83182242323218,0.5439708522476381,0.8779290331110614,359864,0.1799204850889543,0.991591121161609,58,1,1,0.10681800458074688,0.000226194058969177,0.10633239275979815,0.10720447228659945,0,0.854544036645975,-0.00672422544489368,0.9996567891052976,0.10640891563605404,1.3007221687121296e-05,-0.004705751432835147,0.9996590390609421,1000,1000
