affinity,case,kind,T_left,T_right,delta_beta,dt,seed,bootstrap_seed,tau,inverse_tau,N_windows,mean_Q,std_Q,skew_Q,excess_kurtosis_Q,n_negative,p_negative,dQ,n_symmetric_pairs,full_sample_resolved,admissible,a_fit,a_bootstrap_se,a_ci_low,a_ci_high,ci_contains_reference,a_over_delta_beta,intercept,R2,quadratic_linear,quadratic_coefficient,quadratic_intercept,quadratic_R2,bootstrap_accepted,bootstrap_total
equilibrium,equilibrium_dt5e4,baseline,6.0,6.0,0.0,0.0005,2026090405,2026091099,160,0.00625,124928,0.23786848838387745,71.82083216876076,-0.0003265779129092582,0.06122800750445245,62425,0.49968782018442626,3.591041608438038,66,1,1,0.00022666363230172484,0.00013817357441777293,-4.5444863852145883e-05,0.0004860217499978111,1,nan,-0.010718223803932274,0.055104015533052,0.00023777481095238392,-7.046171346939183e-08,-0.010997787273856478,0.055120808618040806,1000,1000
equilibrium,equilibrium_dt5e4,baseline,6.0,6.0,0.0,0.0005,2026090405,2026091099,320,0.003125,62464,0.47573697676775506,101.31934575421441,-0.010331067885679971,0.02830632014216894,31032,0.4967981557377049,5.065967287710721,59,1,1,-2.824072563046431e-06,0.00013199086989122244,-0.0002673825485559012,0.0002463901724195242,1,nan,0.013016183165525868,6.707636571845477e-06,0.00016163937081902467,-7.578759787192199e-07,0.007307755043014059,0.002648750033987346,1000,1000
equilibrium,equilibrium_dt5e4,baseline,6.0,6.0,0.0,0.0005,2026090405,2026091099,640,0.0015625,31232,0.9514739535355097,143.23400390914387,0.008857135119478495,-0.012999204567005318,15544,0.49769467213114754,7.161700195457193,54,1,1,0.00012068949796971872,0.0001356683352868887,-0.00013372316724752812,0.00038994402079173317,1,nan,-0.0069734279244069095,0.01241627803873413,2.1019620348395357e-05,3.363766615009637e-07,-0.0022216449013594108,0.01334351764274333,1000,1000
equilibrium,equilibrium_dt2p5e4,baseline,6.0,6.0,0.0,0.00025,2026091003,2026094103,5,0.2,4000256,-0.007867608046980005,13.37572091180982,-0.0011058445804186306,0.8942751815212144,1999557,0.49985725913541534,0.668786045590491,107,1,1,-0.0002850192206145525,0.00013604376186889168,-0.0005485820249820686,-2.3320926818049984e-05,0,nan,0.003392137952915914,0.05102940891978791,-0.00039455824212674025,3.320049437364811e-06,0.003939889341144669,0.05236914540320026,1000,1000
equilibrium,equilibrium_dt2p5e4,baseline,6.0,6.0,0.0,0.00025,2026091003,2026094103,10,0.1,2000128,-0.015735216093960013,18.437497917584707,-0.0025726264574042596,0.6321788835743973,1000353,0.5001444907525918,0.9218748958792353,94,1,1,-0.0001775593702328581,0.00013030845388371294,-0.0004344604770022171,8.700646500253225e-05,1,nan,0.0019491542056371887,0.022237972638550096,4.601618110141196e-05,-5.067074416700997e-06,0.00043015663559881144,0.027991944571125305,1000,1000
equilibrium,equilibrium_dt2p5e4,baseline,6.0,6.0,0.0,0.00025,2026091003,2026094103,20,0.05,1000064,-0.03147043218792001,25.734133766574082,-0.0004704935855321341,0.37925777100271896,500592,0.5005599641622936,1.2867066883287042,83,1,1,-4.324975660586546e-05,0.00013528953365817044,-0.0003053694331716047,0.0002278425952312713,1,nan,-0.0016572234885986119,0.00135559306311972,3.9525236166685734e-05,-1.38652961258882e-06,-0.0024304447636595543,0.002097332978776345,1000,1000
equilibrium,equilibrium_dt2p5e4,baseline,6.0,6.0,0.0,0.00025,2026091003,2026094103,25,0.04,800000,-0.039457215491250974,28.677531276073182,-0.0034372049168737693,0.307970361534065,400515,0.50064375,1.433876563803659,82,1,1,-7.473529695181086e-05,0.0001333087951368458,-0.0003241625809406088,0.0001906808071064851,1,nan,-0.0007946059000225984,0.0036823563103098866,0.00025321087850208436,-4.971461459888627e-06,-0.004193053528242436,0.01399261655114481,1000,1000
equilibrium,equilibrium_dt2p5e4,baseline,6.0,6.0,0.0,0.00025,2026091003,2026094103,40,0.025,499968,-0.06291879711190614,36.14691185358277,-0.0004314123308402409,0.2072734438344117,250368,0.500768049155146,1.8073455926791386,78,1,1,-8.034507687196035e-05,0.0001298215559304655,-0.00033241550613325686,0.0001579096339168846,1,nan,-0.00080131154843149,0.0051608732655992196,7.773031644948976e-05,-1.923473104600158e-06,-0.0028541413770691933,0.007979014774089355,1000,1000
equilibrium,equilibrium_dt2p5e4,baseline,6.0,6.0,0.0,0.00025,2026091003,2026094103,80,0.0125,249984,-0.12583759422381224,50.933860979031465,-0.002565851070339977,0.11609628088444879,125167,0.5007000448028673,2.5466930489515733,70,1,1,-0.0001248806535509028,0.00013918437680585736,-0.0003967966634539776,0.00012916391173124203,1,nan,0.0018207828420559648,0.012517392712368625,0.00025566690093529174,-3.3607575195164972e-06,-0.005029989096437064,0.027764289797712505,1000,1000
equilibrium,equilibrium_dt2p5e4,baseline,6.0,6.0,0.0,0.00025,2026091003,2026094103,160,0.00625,124928,-0.2445977452671972,71.97853854833295,-0.0038028558041238625,0.08200948544730613,62616,0.5012167008196722,3.5989269274166475,65,1,1,-0.00013750522794251307,0.0001276223724436193,-0.00039949348629018445,0.00011262363404107695,1,nan,0.003965720999506452,0.017413468652923925,-0.0001049535517616019,-2.066305656666655e-07,0.003148560562827265,0.017536063109718447,1000,1000
equilibrium,equilibrium_dt2p5e4,baseline,6.0,6.0,0.0,0.00025,2026091003,2026094103,320,0.003125,62464,-0.4891954905343943,101.69055950561997,0.0014744512623943071,0.024025980647684353,31441,0.5033459272540983,5.084527975280999,61,1,1,-1.2043344795574794e-05,0.00014168121559740484,-0.00030133546665191135,0.0002491267020425006,1,nan,-0.010631173943961954,0.00018735677435655074,0.00017321866950021755,-8.455240946777915e-07,-0.01711577522073326,0.005523002391243481,1000,1000
equilibrium,equilibrium_dt2p5e4,baseline,6.0,6.0,0.0,0.00025,2026091003,2026094103,640,0.0015625,31232,-0.9783909810687887,143.9156454111359,0.022104542210302253,-0.018435038016349825,15729,0.5036180840163934,7.195782270556795,56,1,1,-2.3366256661947917e-05,0.00014361090736970413,-0.0003402746144427488,0.00022273510840338525,1,nan,-0.012975435356624468,0.0006574267891151786,-0.0006105365103190054,1.947172237416983e-06,0.015600321075904736,0.04754360520730627,1000,1000
