observable,lag_index,time,C,SE_C,SNR_C,C_discard_first_quarter,lambda_eff,lambda_ci_low,lambda_ci_high
cos_theta1_minus_theta3,299,2.99,0.0015997076158595618,0.0005992696307417534,2.669428807662928,0.000946106204442087,-1.3744836127444993,-4.927134690998333,0.5794116063524452
cos_theta1_minus_theta3,316,3.16,0.001642330591134057,0.0005394658053019599,3.0443645825054304,0.0014560294084722196,-1.2822201796975674,-4.587307031447476,0.7572451805713402
cos_theta1_minus_theta3,335,3.35,0.0007037813827986417,0.0006492174500641009,1.084045696444471,0.0001402396582489053,-0.13479710964519198,-1.9776439015305687,1.7006616357962425
cos_theta1_minus_theta3,355,3.5500000000000003,0.0006111994840300365,0.0005681913173848439,1.0756931078129492,0.0005369409135054455,-2.6939619496105514,-5.057579032508097,0.06539079986979279
cos_theta1_minus_theta3,376,3.7600000000000002,0.0014419943173334749,0.0006090729558182965,2.367523140797048,0.0012884197310157241,nan,-5.506888676991704,0.8391848584994664
cos_theta1_minus_theta3,398,3.98,0.00018033618538495182,0.0005698946762407473,0.3164377435046793,0.000482389302255952,nan,-4.429198768490979,0.7588273589426273
cos_theta1_minus_theta3,422,4.22,-0.0008115942288421845,0.0005474482828182704,-1.4825039265153734,-0.001136507898029996,nan,-5.050487026523871,-0.07519965753127701
cos_theta1_minus_theta3,447,4.47,-0.0006535598063536932,0.0005740625348576583,-1.1384819016550987,-0.0014036489977770528,nan,-3.7891249682143364,1.8246392736445274
cos_theta1_minus_theta3,473,4.73,-0.0010230278180611172,0.0007350986765255059,-1.3916877430612828,-0.0006632553155526478,nan,-0.9940685993936859,3.8402913433290573
cos_theta1_minus_theta3,501,5.01,-0.0007771118407704718,0.0006124313137469877,-1.2688963208232005,-0.0006215946794246367,nan,-1.96201722345809,3.229730315054427
cos_theta1_minus_theta3,531,5.3100000000000005,0.0006203442255587661,0.0005705924036605328,1.087193277686593,0.00048024520323939745,nan,-0.6493140190052751,3.8563940946444193
cos_theta1_minus_theta3,562,5.62,-3.4897530660642884e-05,0.0005896908049218053,-0.05917937056059471,-0.0005591341148637448,nan,-1.415734901103876,2.9622526719189994
cos_theta1_minus_theta3,596,5.96,0.0011278097244048226,0.0005565399456409592,2.026466803035926,0.0009285838421735609,-1.2915147684780006,-2.4938258062837653,0.9880277049762394
cos_theta1_minus_theta3,631,6.3100000000000005,0.00019049176888893298,0.0005855027518893968,0.32534735024595995,0.0003963545423499947,nan,-0.40312091707009445,2.8104376898390933
cos_theta1_minus_theta3,668,6.68,0.00010573112274501651,0.0005721627860167681,0.1847920300463545,0.00043130056728001666,-0.35838228675071154,-1.7820476273270105,0.9477382448339385
cos_theta1_minus_theta3,708,7.08,0.0010523874013255471,0.0005840205325026068,1.8019698670797157,0.0011938555569077842,nan,-2.4879688265142006,1.3207338635909676
cos_theta1_minus_theta3,750,7.5,0.0006494488058843901,0.0006432339005014017,1.0096619680308265,2.7893036520417196e-06,nan,-2.242040295686644,1.5981944329438291
cos_theta1_minus_theta3,794,7.94,-0.0005890575163585861,0.0005376526519864887,-1.0956098034338149,-0.00046718616164656546,nan,-2.2737119661780536,0.6587734764298145
cos_theta1_minus_theta3,841,8.41,-0.000332574720769701,0.0007034346196015232,-0.4727869676901823,-0.0005343427811091849,-1.0302153673654133,-1.5618557730896607,0.9404454216663588
cos_theta1_minus_theta3,891,8.91,-5.5030632701536176e-05,0.0005690544466647275,-0.09670539088847299,9.365345534883738e-05,nan,-1.3173664210083034,1.752976043473267
cos_theta1_minus_theta3,944,9.44,8.801490714493178e-05,0.0006991027511162254,0.1258969543524216,0.0006119483863486243,nan,nan,nan
cos_theta1_minus_theta3,1000,10.0,-6.531679187944038e-05,0.0005191245737726313,-0.12582103637430223,-0.00011505635214897393,nan,nan,nan
I2,0,0.0,2.4254318104066206,0.018736408950538973,129.4501959692148,2.439870322085436,nan,nan,nan
I2,1,0.01,2.416585161152234,0.018650845533937352,129.56973756256681,2.43096528224426,nan,nan,nan
I2,2,0.02,2.3905831148115473,0.018401200272958187,129.9145207568156,2.404789628343665,-1.413358600995307,-1.4259854098321687,-1.4002045161085013
