source,n,tau,observable,n_samples,negative_count,autocorrelation_time,max_bins,min_effective_count,range_quantile,adaptive_slope,adaptive_intercept,adaptive_r_squared,adaptive_slope_ci_low,adaptive_slope_ci_high,adaptive_intercept_ci_low,adaptive_intercept_ci_high,adaptive_bins_used,adaptive_a_max
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,entropy_rate,333312,1180,1.0,60,50.0,0.99,0.6178206838754402,-0.002320934398990088,0.9812973459121297,0.550226965681844,0.6852127013737912,-0.004925546621102758,-0.00012216471250105446,9,0.17995822181030843
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,heat_current,333312,1587,1.0,60,50.0,0.99,0.17907828312023777,1.866421488495198e-06,0.9848942025575809,0.16396973031586912,0.19380231675412912,-0.0019052255262484484,0.002063172862174597,13,0.6019233241018899
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,action_current,333312,4832,1.0,60,50.0,0.99,1.3735723677893703,0.00022087891749393798,0.99424884433642,1.3219297024028895,1.4242075001107546,-0.0008710207090747116,0.00125836371663262,26,0.09633723647509744
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,entropy_rate,249984,140,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,heat_current,249984,255,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,2,0.3810176922430105
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,action_current,249984,1082,1.0,60,50.0,0.99,1.3206860670189122,0.0011947071914629205,0.960955438884163,1.1680269141446362,1.4792448311720103,-0.0008360043213940288,0.0031661699999264116,7,0.06773908810009312
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,entropy_rate,199936,25,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,heat_current,199936,44,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,action_current,199936,280,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,2,0.044229449482486256
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,entropy_rate,166656,3,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,heat_current,166656,4,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,action_current,166656,54,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,entropy_rate,142848,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,heat_current,142848,1,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,action_current,142848,17,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,entropy_rate,124928,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,heat_current,124928,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,action_current,124928,7,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,entropy_rate,111104,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,heat_current,111104,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,action_current,111104,1,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,entropy_rate,99968,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,heat_current,99968,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,action_current,99968,1,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,entropy_rate,1000064,214942,1.0,60,50.0,0.99,0.2600497212994468,-0.004554195147292225,0.9898399396789916,0.258134816624614,0.2617598139909722,-0.0049355314172378996,-0.00412207892482722,60,0.573092856440664
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,heat_current,1000064,211630,1.0,60,50.0,0.99,0.07931364690758486,0.002554028798484745,0.9977758196413468,0.07873536260432606,0.07982589037992717,0.0021463770962439283,0.0029462194494635258,60,2.1354942147912905
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,action_current,1000064,277240,1.0,60,50.0,0.99,0.6089206806615893,0.004295590774964012,0.9869362459089646,0.604163857071382,0.6134300905585932,0.003939160092989218,0.004689186259908323,60,0.23067575144294536
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,entropy_rate,499968,48561,1.0,60,50.0,0.99,0.33412648767052555,-0.0015568033395948493,0.9951094013259774,0.3301776963365827,0.33730690574426797,-0.0019861456854976278,-0.0010990269054715852,60,0.30397984777221376
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,heat_current,499968,48779,1.0,60,50.0,0.99,0.10788215367536771,0.0008917303083021414,0.9981803848760171,0.10673077574654714,0.1088847850587738,0.00045615973157385866,0.0013367426433216836,60,1.0900535900528212
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,action_current,499968,78989,1.0,60,50.0,0.99,0.8822775507962249,0.002558220437538525,0.9914446159849333,0.8731388550375435,0.8902001006023462,0.002220064657025413,0.002888129152516939,60,0.12205681744560268
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,entropy_rate,333312,13500,1.0,60,50.0,0.99,0.39497466520915536,-0.0005130946650026564,0.995571333014422,0.3867398339084215,0.4013809392712777,-0.0009665984433009495,6.354658257184895e-05,45,0.20706556432168138
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,heat_current,333312,14702,1.0,60,50.0,0.99,0.12896274552798714,0.000215702629518309,0.9970022687693982,0.12612531886747025,0.1312658148600935,-0.00038780355313964464,0.0008006696353667757,45,0.7418263986302518
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,action_current,333312,29100,1.0,60,50.0,0.99,1.103332328958839,0.0014852854900806664,0.9942746649245063,1.0862615110092084,1.1166504002684303,0.0011169671902312261,0.0018859464379272137,51,0.08222045286443674
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,entropy_rate,249984,4009,1.0,60,50.0,0.99,0.4361472274809706,0.00027947939260755076,0.981149385049323,0.41120354471438997,0.4574636740729873,-0.0007305420332347105,0.0013218585120379845,30,0.15764302967220195
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,heat_current,249984,4959,1.0,60,50.0,0.99,0.14303372282856675,4.77199017037485e-05,0.9910118483085657,0.1355644449050761,0.1495159432420755,-0.0008744352269878428,0.0008961666189737842,31,0.5223133182292659
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,action_current,249984,11913,1.0,60,50.0,0.99,1.280384738214751,0.0007849646918999197,0.9952102367909176,1.25279526115242,1.3049025990522296,0.00034049228564780366,0.0012655782136784708,40,0.06179008719673814
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,entropy_rate,199936,1226,1.0,60,50.0,0.99,0.5444886376977819,-0.0007691252067093112,0.981135777045817,0.4853100640815787,0.6067289717356698,-0.002280553743163991,0.000677781848644663,9,0.11512657911993442
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,heat_current,199936,1689,1.0,60,50.0,0.99,0.15876019412240866,-4.6519170334963805e-05,0.9640030743304365,0.14040900189511857,0.1759592514058119,-0.0012689976084710177,0.001264127171009546,11,0.4190852728057598
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,action_current,199936,5162,1.0,60,50.0,0.99,1.4515773509068566,-0.00018626079653454164,0.9923151802116021,1.3854790389759084,1.5167459060279562,-0.0009483311371226801,0.0005105456272415376,28,0.04993819594988888
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,entropy_rate,166656,387,1.0,60,50.0,0.99,0.47993593713415794,0.00106971151778946,0.996480207552976,0.3808695681806149,0.5821385805614208,-0.0009784829179966892,0.003179668792767473,3,0.08433605726930472
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,heat_current,166656,615,1.0,60,50.0,0.99,0.15694299704096168,0.0005598716585150298,0.9944289770844978,0.1358787115129817,0.1784472819142289,-0.001179105629465133,0.002254413056158329,5,0.37138134414675317
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,action_current,166656,2219,1.0,60,50.0,0.99,1.4126243421724176,0.0009662974661285062,0.9905416446840153,1.3089896829966452,1.5193487544076225,0.00016493306109692846,0.0017273019388006389,16,0.0408331282636945
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,entropy_rate,142848,137,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
