source,n,tau,n_samples,mean_action_current,mean_heat_current,heat_on_action_slope,heat_on_action_intercept,pearson_correlation,residual_variance,heat_variance,residual_variance_fraction
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,20.0,1000064,0.1197866996395881,1.4069133971213776,5.093911462811402,0.7967305547349269,0.5396914385013944,0.976003622772668,1.3771101593155586,0.7087331512082913
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,499968,0.11978675279213845,1.4069236430739207,7.240808408092007,0.5395707162785697,0.6984916708687445,0.3175194842705004,0.6200227785705408,0.5121093857269888
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,333312,0.11978675279213845,1.4069236430739207,8.321339335191922,0.4101374252297893,0.7677673825935455,0.16362984731870087,0.39857879677993163,0.410533246225454
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,249984,0.11978675279213846,1.4069236430739207,9.021764179053394,0.32623580760868226,0.8098505731480511,0.10082120898656723,0.2929639351808599,0.3441420491717717
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,199936,0.11978791485350138,1.4069434021088316,9.470173039277313,0.27253112043195166,0.8364310849170908,0.0696790974210631,0.23196748184679486,0.300383040184414
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,166656,0.11978675279213845,1.4069236430739207,9.786550331210163,0.2346245578614299,0.8549127094489162,0.05166056874253497,0.19195805272903443,0.2691242592227083
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,142848,0.11978675279213843,1.4069236430739207,10.04970479324567,0.20310213937143748,0.8696830820124293,0.03995067642855769,0.16396658004503084,0.24365133686136445
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,124928,0.11978923324219184,1.4069469238144872,10.254514350595501,0.17856651248559596,0.8804632129229089,0.032085823468299544,0.14274035392864798,0.22478453068946694
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,111104,0.11978675279213845,1.4069236430739207,10.38652063131402,0.16275606384026223,0.888205322655431,0.026737808209238805,0.12666465932237456,0.21109130480656282
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,99968,0.11978791485350138,1.4069434021088316,10.522387127802741,0.14648858878801832,0.8960168525446809,0.022311435604631034,0.11316766711886371,0.19715379995592383
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,1000064,0.05426050419513707,0.795948701200249,2.8357086546084376,0.6420817198506795,0.2647295086106667,0.9736485753069348,1.0470259469404817,0.9299182872707566
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,499968,0.05426098571770842,0.7959488400759613,5.31632734587757,0.5074796778906364,0.46681829096799443,0.323811000340423,0.4140378445458652,0.7820806832177215
