source,n,tau,observable,first_quarter_mean,last_quarter_mean,last_minus_first,paired_se,paired_z
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,20.0,heat_current,1.4054853184131118,1.4091137531729334,0.0036284347598217973,0.0030329059997862744,1.196355825098928
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,entropy_rate,0.5621686979110607,0.5636679709847361,0.0014992730736755428,0.0012152573076654794,1.2337083383235607
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,action_current,0.11962652839156182,0.1199590479460125,0.0003325195544506783,0.00025399042335180587,1.309181464649557
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,heat_current,1.4053798596096592,1.4091558852104942,0.003776025600834964,0.003033138255041767,1.2449236676100566
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,entropy_rate,0.5621418566703716,0.5636767390065557,0.001534882336183989,0.0012079085910656371,1.2706941133930427
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,action_current,0.11964083415983603,0.11995199289552713,0.0003111587356910782,0.00025424863003569614,1.2238364299048219
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,heat_current,1.4054853184131118,1.409115063082245,0.0036297446691335375,0.00303290484120974,1.196788181354788
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,entropy_rate,0.5621686979110607,0.5636679709847361,0.0014992730736755428,0.0012152573076654799,1.2337083383235603
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,action_current,0.11962652839156182,0.1199590479460125,0.00033251955445067795,0.00025399042335180587,1.3091814646495559
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,heat_current,1.4053798596096592,1.4091558852104942,0.0037760256008349587,0.003033138255041766,1.2449236676100555
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,entropy_rate,0.5621110965302761,0.5636967265636279,0.0015856300333517955,0.0012136770276549782,1.3064678635431464
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,action_current,0.11963118039566117,0.11996387886373155,0.0003326984680703795,0.00025327807265272066,1.3135699612123757
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,heat_current,1.405427253251212,1.4092373121576365,0.003810058906424628,0.003026166256799565,1.2590381965510704
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,entropy_rate,0.562111096530276,0.5636839643200655,0.0015728677897894738,0.0012138588141420619,1.2957584287931825
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,action_current,0.11963118039566117,0.11995171686252651,0.0003205364668653369,0.00025317230084001785,1.2660803168506463
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,heat_current,1.405427253251212,1.4091794895772485,0.003752236326036584,0.003036891809941088,1.2355515312576686
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,entropy_rate,0.5621418566703716,0.5636767390065557,0.001534882336183989,0.0012079085910656371,1.2706941133930427
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,action_current,0.11964083415983603,0.11995199289552713,0.0003111587356910789,0.000254248630035696,1.2238364299048252
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,heat_current,1.4054853184131115,1.4091150630822453,0.0036297446691335652,0.0030329048412097367,1.1967881813547987
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,entropy_rate,0.5621686979110607,0.563686491150021,0.0015177932389603072,0.0012027500433783073,1.261935717497129
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,action_current,0.11962652839156182,0.11996070023107601,0.00033417183951416855,0.0002504672180828256,1.3341939199550783
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,heat_current,1.4053798596096592,1.4092541303796433,0.003874270769984159,0.003006504000231256,1.288629840401395
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,entropy_rate,0.5621418566703716,0.5636767390065557,0.0015348823361839813,0.0012079085910656376,1.2706941133930356
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,action_current,0.11964083415983603,0.1199519928955271,0.00031115873569107606,0.00025424863003569614,1.2238364299048134
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,heat_current,1.4054853184131118,1.409115063082245,0.0036297446691335323,0.0030329048412097385,1.1967881813547872
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,entropy_rate,0.5621110965302761,0.5636967265636279,0.001585630033351798,0.0012136770276549782,1.3064678635431486
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,action_current,0.11963118039566117,0.11996387886373155,0.0003326984680703819,0.00025327807265272055,1.3135699612123857
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,heat_current,1.405427253251212,1.4092373121576365,0.0038100589064246453,0.0030261662567995598,1.2590381965510784
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,entropy_rate,0.3189474518032155,0.31849869725182695,-0.000448754551388516,0.0008729141294225019,-0.5140878538481222
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,action_current,0.05435602536163059,0.05426412239105148,-9.19029705790957e-05,0.0001437396021916636,-0.639371260096793
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,heat_current,0.7973090587057914,0.796145342155374,-0.001163716550417344,0.00220133454333798,-0.5286413888970959
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,entropy_rate,0.31892788252352006,0.318495820767732,-0.00043206175578807933,0.000876021596188345,-0.49320902323415533
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,action_current,0.05436391251606685,0.05426605132164743,-9.786119441941929e-05,0.00014317845421354326,-0.6834910668435097
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,heat_current,0.7973659763454326,0.7961459986809989,-0.0012199776644336458,0.002199415145024755,-0.5546827606390401
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,entropy_rate,0.3189474518032155,0.3185057054156206,-0.0004417463875948202,0.0008754551172306851,-0.5045905596990401
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,action_current,0.05435602536163059,0.05426437942315265,-9.164593847793513e-05,0.00014286922029951531,-0.6414673383518565
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,heat_current,0.7973090587057914,0.7961839611513111,-0.0011250975544802857,0.002202994863256662,-0.5107127452930448
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,entropy_rate,0.31892788252352006,0.318495820767732,-0.00043206175578808367,0.0008760215961883454,-0.4932090232341601
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,action_current,0.05436391251606684,0.05426605132164743,-9.78611944194188e-05,0.0001431784542135433,-0.6834910668435061
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,heat_current,0.7973659763454326,0.7961459986809989,-0.0012199776644336415,0.0021994151450247554,-0.554682760639038
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,entropy_rate,0.31892155060229654,0.3185065241913178,-0.0004150264109787534,0.0008790593696920317,-0.4721255756868311
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,action_current,0.054364339965522195,0.05426472270403333,-9.961726148885496e-05,0.0001432053905464911,-0.6956250816306708
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,heat_current,0.7972012997432747,0.7961883803256045,-0.0010129194176701113,0.0021972865881792433,-0.46098648356537575
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,entropy_rate,0.31892155060229654,0.3184778250409933,-0.0004437255613032134,0.0008791998375326521,-0.5046924969281903
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,action_current,0.054364339965522195,0.05426726452588572,-9.707543963647242e-05,0.00014220637893945772,-0.682637729477669
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,heat_current,0.7972012997432747,0.7962116097156883,-0.0009896900275862437,0.002197439482842485,-0.45038329169640473
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,entropy_rate,0.3189474518032155,0.3185057054156206,-0.0004417463875948154,0.0008754551172306848,-0.5045905596990349
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,action_current,0.05435602536163058,0.05426437942315264,-9.16459384779361e-05,0.00014286922029951526,-0.6414673383518636
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,heat_current,0.7973090587057914,0.7961839611513111,-0.0011250975544802918,0.002202994863256663,-0.5107127452930473
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,entropy_rate,0.31892788252352006,0.31843018985895083,-0.000497692664569201,0.0008742790000017893,-0.5692606874558149
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,action_current,0.05436391251606684,0.05427630895069868,-8.760356536815746e-05,0.00014253078086359796,-0.6146290986225222
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,heat_current,0.7973659763454326,0.7962649695025763,-0.0011010068428563566,0.002193733806420079,-0.5018871659060007
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,entropy_rate,0.31894745180321543,0.3185057054156206,-0.000441746387594815,0.0008754551172306859,-0.5045905596990338
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,action_current,0.05435602536163059,0.05426437942315264,-9.164593847793594e-05,0.00014286922029951531,-0.6414673383518623
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,heat_current,0.7973090587057914,0.7961839611513111,-0.0011250975544802918,0.0022029948632566634,-0.5107127452930472
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,entropy_rate,0.31892155060229654,0.31850652419131786,-0.00041502641097875296,0.0008790593696920325,-0.4721255756868302
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,action_current,0.05436433996552219,0.05426472270403333,-9.961726148885583e-05,0.0001432053905464912,-0.6956250816306764
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,heat_current,0.7972012997432747,0.7961883803256045,-0.001012919417670113,0.002197286588179243,-0.46098648356537664
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,entropy_rate,0.20942668438338707,0.2089507651487687,-0.0004759192346183328,0.0007190028150751086,-0.6619156763226542
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,action_current,0.030549013604659885,0.03047031516265144,-7.869844200845128e-05,0.00010002981756562734,-0.7867498304374991
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,heat_current,0.5235749409609451,0.522270673144396,-0.001304267816549176,0.0017831773686572438,-0.7314290992439563
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,entropy_rate,0.20942564920852394,0.20897872660535272,-0.00044692260317121717,0.000719497072214198,-0.6211597245223619
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,action_current,0.03055290976858545,0.030474126575115244,-7.878319347020719e-05,9.981949058513388e-05,-0.7892566172035782
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,heat_current,0.5236207746736603,0.5222963456180357,-0.0013244290556246457,0.0017868472480601415,-0.741210003855947
