observable,bin_index,abs_left,abs_right,a_center,positive_count,negative_count,qualifies_ge_20_each,log_count_ratio
medium_entropy,218,104.31488500601164,104.7933936528282,104.55413932941991,283,0,0,nan
medium_entropy,219,104.7933936528282,105.27190229964476,105.03264797623649,247,0,0,nan
medium_entropy,220,105.27190229964476,105.75041094646133,105.51115662305305,240,0,0,nan
medium_entropy,221,105.75041094646133,106.22891959327791,105.98966526986962,231,0,0,nan
medium_entropy,222,106.22891959327791,106.70742824009447,106.46817391668618,225,0,0,nan
medium_entropy,223,106.70742824009447,107.18593688691104,106.94668256350275,206,0,0,nan
medium_entropy,224,107.18593688691104,107.6644455337276,107.42519121031933,214,0,0,nan
medium_entropy,225,107.6644455337276,108.14295418054417,107.90369985713589,172,0,0,nan
medium_entropy,226,108.14295418054417,108.62146282736074,108.38220850395246,189,0,0,nan
medium_entropy,227,108.62146282736074,109.09997147417731,108.86071715076902,173,0,0,nan
medium_entropy,228,109.09997147417731,109.57848012099387,109.33922579758558,164,0,0,nan
medium_entropy,229,109.57848012099387,110.05698876781044,109.81773444440216,163,0,0,nan
medium_entropy,230,110.05698876781044,110.535497414627,110.29624309121873,168,0,0,nan
medium_entropy,231,110.535497414627,111.01400606144358,110.77475173803529,156,0,0,nan
medium_entropy,232,111.01400606144358,111.49251470826015,111.25326038485186,126,0,0,nan
medium_entropy,233,111.49251470826015,111.97102335507671,111.73176903166842,136,0,0,nan
medium_entropy,234,111.97102335507671,112.44953200189327,112.21027767848499,124,0,0,nan
medium_entropy,235,112.44953200189327,112.92804064870984,112.68878632530156,137,0,0,nan
medium_entropy,236,112.92804064870984,113.4065492955264,113.16729497211813,117,0,0,nan
medium_entropy,237,113.4065492955264,113.88505794234298,113.64580361893469,98,0,0,nan
medium_entropy,238,113.88505794234298,114.36356658915955,114.12431226575126,102,0,0,nan
medium_entropy,239,114.36356658915955,114.84207523597611,114.60282091256782,97,0,0,nan
medium_entropy,240,114.84207523597611,115.32058388279268,115.0813295593844,93,0,0,nan
medium_entropy,241,115.32058388279268,115.79909252960924,115.55983820620096,89,0,0,nan
medium_entropy,242,115.79909252960924,116.27760117642582,116.03834685301753,94,0,0,nan
