source,n,tau,k,psi,psi_ci_low,psi_ci_high,sample_count,n_streams,groups_per_stream,sample_weight_ess,sample_weight_relative_ess,stream_weight_ess,max_sample_weight_fraction,max_stream_weight_fraction,direct_reliability_gate
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.775,0.05848104062900807,-0.03941264937252241,0.10773814457988874,1000064,128,7813,1.4993528978369337,1.4992569453924286e-06,1.4896727374943217,0.8160082116923562,0.8185262861511361,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.8,0.08053810603572682,-0.027339551372232474,0.13082107118375566,1000064,128,7813,1.3965826631898826,1.396493287619475e-06,1.3895184949168657,0.845660052020578,0.8477217879216844,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.8250000000000001,0.10293149917845881,-0.01478795338666341,0.15404867234679945,1000064,128,7813,1.3183551476654498,1.3182707783356364e-06,1.3131087859024873,0.8705140726043386,0.8721948709706883,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.8500000000000001,0.1255949705008134,-0.0020873095018687057,0.17739017075064598,1000064,128,7813,1.25794049591076,1.2578599928712164e-06,1.253988352260269,0.8912712708075322,0.8926370410435672,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.875,0.14847527745900574,0.010671483786214507,0.20082190739539146,1000064,128,7813,1.2106874601215896,1.2106099810828002e-06,1.2076756191084794,0.908574636038885,0.9096817291561771,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.9,0.17152987379005155,0.023833326961188995,0.2243256091161744,1000064,128,7813,1.1733149198562576,1.173239832506977e-06,1.1709978621920276,0.9229909688037983,0.9238867894718852,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.925,0.1947248602243424,0.03741421332955677,0.2478870832004105,1000064,128,7813,1.1434651705160648,1.1433919934284854e-06,1.141668726492461,0.9350070413523155,0.9357309949206404,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.9500000000000001,0.21803325036638688,0.051179056464476506,0.27149523818920507,1000064,128,7813,1.1194156308366086,1.119343992821068e-06,1.118013861863923,0.9450337075645309,0.9456182618230967,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.9750000000000001,0.24143354660868477,0.06468623453801928,0.29514135013346393,1000064,128,7813,1.0998887326486126,1.0998183442745792e-06,1.0987890807418166,0.9534137934923662,0.9538855256532016,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,1.0,0.2649085931967107,0.07834458745538224,0.3188185120475483,1000064,128,7813,1.0839240340627538,1.0838546673640426e-06,1.083057527469054,0.9604312646074786,0.9608118251126354,0
