quarter,j,interval_start,interval_end,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
1,55,0,500,0.26496091956538714,0.004017549384070546,512,0.0008404656897959435,0.0014680144517660405
1,56,0,500,0.2647558718525227,0.004062430958836521,512,0.0008512879688884166,0.0014090814445398266
1,57,0,500,0.26157614377463223,0.0038269649416126377,512,0.0009318633534576271,0.0013976606437085635
1,58,0,500,0.25939397854780866,0.0036064411390293945,512,-0.0014056973944707347,0.0014455024872100637
1,59,0,500,0.26112844366244325,0.003574020770858392,512,-0.0006738768590358261,0.0013984644482393247
1,60,0,500,0.2625264386162223,0.003710049863304446,512,0.0018441960417320397,0.0013530715650390429
1,61,0,500,0.26272544182447455,0.003885355392433551,512,0.002393321587777525,0.0014420681179231562
1,62,0,500,0.2636084192196006,0.0037181928560069094,512,0.0021342737310352648,0.0015047450285806416
1,63,0,500,0.2608193631921536,0.003464958464390014,512,0.0018018917640846743,0.0014271577653091677
1,64,0,500,0.26049314814772406,0.003494350146948127,512,0.0005956159324714912,0.0014399373135592847
1,65,0,500,0.2607022277577271,0.003714806550333268,512,0.002371355527849413,0.0014646284449282053
1,66,0,500,0.26105588476516683,0.003758610148321896,512,0.0024691081043729753,0.0014136055089680004
1,67,0,500,0.26184595523861154,0.003673271707531349,512,0.00036260072327511247,0.0014572463483873838
1,68,0,500,0.2619237680542915,0.003709816298588366,512,0.0014082869727293746,0.0014896828016705535
1,69,0,500,0.2627679157457832,0.0037532217971445983,512,0.0018824284534713397,0.0015560921155989456
1,70,0,500,0.2620751877682921,0.003840275836228508,512,0.0030749536863253625,0.0013993154384314636
1,71,0,500,0.2632708766157929,0.0038222906684461126,512,-0.0013954615363519975,0.0015062772081789455
1,72,0,500,0.2652158267380143,0.003943829151250126,512,-0.0005737253206450144,0.0014122066675857274
1,73,0,500,0.2655688755945873,0.003983065545271067,512,-0.0005973935319493078,0.0014806626154089137
1,74,0,500,0.26812492177207303,0.003999692110785028,512,-0.0003637391836949777,0.0015033041506694585
1,75,0,500,0.2729747189639796,0.004250851833400454,512,0.0017510610165114599,0.0014749246176607137
1,76,0,500,0.2759134642230202,0.004404425730502693,512,0.00040937326838973273,0.0014788369619574558
1,77,0,500,0.27374380574242635,0.004417315874776893,512,0.0010064200530536529,0.001458093534456985
1,78,0,500,0.27175166190343103,0.00429298993419376,512,0.0027913683363087116,0.0014967449844777013
1,79,0,500,0.26916144472463943,0.004106731830866126,512,0.0012876989225206281,0.0014457620858035754
1,80,0,500,0.2662032253254832,0.004038577276273874,512,0.0005758291149344991,0.0015151983961182584
1,81,0,500,0.2672931051941979,0.0041906872579391035,512,0.002832196485532043,0.0014709586169212893
1,82,0,500,0.26948275429883545,0.00435516472148558,512,0.0009012119429189615,0.0015069704833298484
1,83,0,500,0.2687990220070909,0.004328549433806937,512,1.9022767838623353e-05,0.0014538963947368139
1,84,0,500,0.2706419167501992,0.004452671538379269,512,0.0032249884617066623,0.0014487193002397014
1,85,0,500,0.27140461698736523,0.004710715072727946,512,0.002822124136012443,0.001407281327085772
1,86,0,500,0.27060503228729127,0.004729292881042325,512,0.0019259991468605023,0.0014631646024681649
1,87,0,500,0.26822562010439543,0.0044479361852851895,512,0.001744286838099211,0.0014419993558149884
1,88,0,500,0.26856707019554593,0.004556898677197184,512,-0.0008805338908750696,0.0014310835925889324
1,89,0,500,0.26957491572974823,0.004711321924512825,512,0.00036570307683358647,0.0015122609364792983
1,90,0,500,0.26771061589263323,0.004777343139659996,512,0.0005167869339090851,0.001372680885452649
1,91,0,500,0.26473988556525896,0.00459496167605613,512,0.0020379744738903203,0.0014399875263992465
1,92,0,500,0.26546403061892354,0.004722447768339867,512,0.0007146374395550067,0.0014803181007655203
1,93,0,500,0.2644568594550435,0.004902072494070565,512,-3.480289113828077e-05,0.001401322730102845
1,94,0,500,0.26384050614191057,0.00498088733759239,512,-0.0003824108651574881,0.0014396209142473787
1,95,0,500,0.2658526819794863,0.005081340338167138,512,0.00021664416631842452,0.0014386030557024742
1,96,0,500,0.2665687466281394,0.005240797257338761,512,0.0039104038933982805,0.0013850443319517612
1,97,0,500,0.2652229794737243,0.0055703613891872564,512,0.0007485980359966766,0.001476521588600754
1,98,0,500,0.26336295909696744,0.005939999777064406,512,-0.0013854972640829802,0.0012745478613444643
1,99,0,500,0.2529994480830265,0.005340741231081892,512,-0.0002437776140681037,0.0013207780934757335
1,100,0,500,0.21413366195987898,0.003095182486266899,512,nan,nan
2,1,500,1000,0.23830025749079384,0.000929662295695746,512,0.002551337760096176,0.0004002900770213453
