phase,checkpoint,j,absolute_time,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
burnin,3,21,6000,0.47036749971948666,0.025281209569059677,512,-0.002652106279583677,0.03042920960192687
burnin,3,22,6000,0.45100156979608474,0.02730053673398567,512,0.010041571877309252,0.03128804936297686
burnin,3,23,6000,0.442553388553506,0.02417109599701443,512,0.035733885579247726,0.030923078059911305
burnin,3,24,6000,0.44339562365757956,0.024804825278010305,512,0.03948085892898234,0.03069402622792469
burnin,3,25,6000,0.4634918750068664,0.028463975024478977,512,0.04981243265876856,0.030787030297487184
burnin,3,26,6000,0.4497490403007305,0.02815855561158297,512,0.09144942366128817,0.03132182544536338
burnin,3,27,6000,0.46646616921509576,0.027784613624088707,512,-0.004751859333964603,0.030788630813385946
burnin,3,28,6000,0.4895414468454078,0.031339836222962804,512,0.017228875510227226,0.03116369780479361
burnin,3,29,6000,0.46245989220892625,0.027912769168741598,512,0.015133145775962475,0.030626278792322683
burnin,3,30,6000,0.4406866832152332,0.02595390353605495,512,0.037072940660664244,0.030241170097717297
burnin,3,31,6000,0.4052454849789342,0.023740430443530525,512,0.03656597742036638,0.030659272563679944
burnin,3,32,6000,0.4596736975243516,0.026455610587875367,512,0.047738319318739286,0.03102595970999231
burnin,3,33,6000,0.4925565054296328,0.030059877539736442,512,-0.026863421462167025,0.030422754062156988
burnin,3,34,6000,0.5311871630289033,0.03469729696080178,512,-0.006989400256998124,0.029950091494999775
burnin,3,35,6000,0.4700451318042189,0.03090299990381274,512,0.022753991042918642,0.03141136887849685
burnin,3,36,6000,0.43084165784438255,0.024624658475856244,512,-0.009013582202101134,0.03147400727542784
burnin,3,37,6000,0.46353624041591956,0.03125524823532615,512,-0.02585362127024382,0.030756931513318056
burnin,3,38,6000,0.5100974914756762,0.03024280191511187,512,0.0003280087248640484,0.030841414085547754
burnin,3,39,6000,0.4972573520337846,0.03305022298758421,512,0.054286835177663306,0.031033344546604526
burnin,3,40,6000,0.5222060819221781,0.03231925649015199,512,0.04089291060336109,0.030584406721219735
burnin,3,41,6000,0.4510478603768888,0.026502080357938197,512,0.05118391894666274,0.030422774517383174
burnin,3,42,6000,0.48606578391817834,0.028888993954506385,512,0.016407762579092378,0.031230875332694637
burnin,3,43,6000,0.5309768953125058,0.03266921763459693,512,0.0047117908291056665,0.03058269566570234
burnin,3,44,6000,0.5124069328621772,0.03422143745952015,512,-0.022980927377830085,0.031185957568751758
burnin,3,45,6000,0.4998434676211616,0.03177182823353708,512,0.010786528426933728,0.031232680080262934
burnin,3,46,6000,0.4494827436642481,0.027758714566073792,512,0.0067806925017777075,0.03120203885688901
burnin,3,47,6000,0.4407287432090925,0.027307606383644895,512,-0.005059159931988688,0.030458382640781753
burnin,3,48,6000,0.45110418567941224,0.023273161140022296,512,0.014986045690648098,0.030955498198554705
burnin,3,49,6000,0.4554495256912787,0.02635038726455207,512,-0.0013956935699752648,0.03123553164957747
burnin,3,50,6000,0.35726032670385166,0.01899755775605192,512,nan,nan
burnin,4,1,8000,0.4456912233967428,0.01843068009308737,512,-0.03762161114264018,0.030694994034644228
burnin,4,2,8000,0.3962762744996553,0.018343493132475727,512,-0.01308988754863094,0.03169749114929151
burnin,4,3,8000,0.43158990341629533,0.021421741948220645,512,0.016665479246057657,0.03179415780770136
burnin,4,4,8000,0.40975335941601543,0.020381581882374433,512,0.004269863586159772,0.031892093159501
burnin,4,5,8000,0.4335713464189439,0.02180048586350792,512,0.03259375731738601,0.031712504513221156
burnin,4,6,8000,0.43828648808607795,0.02420045755273721,512,0.008908930134566617,0.031037332121029194
burnin,4,7,8000,0.46150489529941296,0.024591878256229934,512,-0.04272800788930908,0.03205489173130064
burnin,4,8,8000,0.42150788299647957,0.02172953733352898,512,-0.024982480212543123,0.03141192896226953
burnin,4,9,8000,0.43079497329506466,0.020789656081938043,512,0.009527936863378272,0.031717776573343744
burnin,4,10,8000,0.45374190276947957,0.024007202574331227,512,0.0344071694644299,0.030239926078475296
burnin,4,11,8000,0.47867075281897087,0.02745718419807116,512,-0.012527363387789592,0.030290519386684964
burnin,4,12,8000,0.4422574884281154,0.026538974709787663,512,0.0405204772180241,0.031004039978337027
burnin,4,13,8000,0.421423251556007,0.021318772263378565,512,0.01377138853786164,0.03139288064725918
burnin,4,14,8000,0.45450068214196904,0.025339615205352092,512,-0.0004520431862147234,0.03169175388374501
burnin,4,15,8000,0.4661338017806429,0.02561726665024768,512,0.03431264923710842,0.031079057267419195
burnin,4,16,8000,0.4769814348114778,0.024930951591049008,512,0.018349574219882925,0.030589662567479508
burnin,4,17,8000,0.4525479670687531,0.027914194834370364,512,0.03760067731343497,0.030748323791111604
burnin,4,18,8000,0.49967382883361533,0.031187899341651004,512,-0.012766735640980187,0.030846226854204656
burnin,4,19,8000,0.4399202817011769,0.02258154138317556,512,-0.016114744104925194,0.031253141255477054
burnin,4,20,8000,0.44914999775460274,0.02634218423215166,512,0.016453705102549065,0.030773141580774422
burnin,4,21,8000,0.44525811540140126,0.028609217873045985,512,0.04622663749887579,0.031105402985346864
burnin,4,22,8000,0.4479694205215452,0.022792120851156537,512,0.05861822752416401,0.031922841589826
burnin,4,23,8000,0.45962552978716076,0.0271367780293959,512,0.05406166264771173,0.03202316630425538
burnin,4,24,8000,0.4438699750796786,0.024834114596986187,512,0.028399054550391156,0.03103549077603767
burnin,4,25,8000,0.49510407790432964,0.03088901624515143,512,0.014831690387836716,0.03082014423243101
burnin,4,26,8000,0.5335602427268213,0.03308495707961491,512,-0.007124532992747845,0.03127408841604189
burnin,4,27,8000,0.51467324320447,0.03330491657349866,512,0.023379934933473123,0.030683779826874265
burnin,4,28,8000,0.4661407278821912,0.029751259893233663,512,0.020392594921759155,0.031276999659546445
burnin,4,29,8000,0.49044641078899076,0.031983414296542334,512,-0.019810894604177065,0.030498237415753835
burnin,4,30,8000,0.4434755339439107,0.027843302767130765,512,0.022043942119694293,0.031585557888931824
burnin,4,31,8000,0.49184108022606665,0.02936000947172723,512,-0.01343402796828741,0.030530754912332425
burnin,4,32,8000,0.44484634247362465,0.02842421631125147,512,-0.017131626774471442,0.03057411924497641
burnin,4,33,8000,0.4557462221472406,0.031165486858092565,512,-0.024456209590425715,0.03140732162730225
burnin,4,34,8000,0.516308228588116,0.031723268736380004,512,-0.019712246579729253,0.030795496356592608
burnin,4,35,8000,0.46448597598021024,0.03373729003770077,512,-0.008157007294357754,0.03187906814426283
burnin,4,36,8000,0.45153581251781816,0.02660367455464718,512,-0.004285446783796942,0.031767144274878964
burnin,4,37,8000,0.5046498659123699,0.031752569055927916,512,-0.01478327361655829,0.031031532312637382
burnin,4,38,8000,0.5415401250567129,0.03180392989466566,512,-0.051246059980257996,0.029923221200524493
burnin,4,39,8000,0.45995377538923776,0.026830593115492615,512,0.01765346892739217,0.029656228207338688
burnin,4,40,8000,0.46375257777643597,0.03032054409504863,512,-0.001957908592203239,0.03024087763480798
burnin,4,41,8000,0.4927653157434406,0.03033739604365278,512,-0.01849339571708697,0.031800731065981074
burnin,4,42,8000,0.48322424391881214,0.030078893557535603,512,0.03336043573602865,0.03147775769103197
burnin,4,43,8000,0.45367339676234053,0.030536685209858305,512,0.02938567129498182,0.03139932507544386
burnin,4,44,8000,0.5006500856600269,0.03156363170336915,512,0.01811641226277061,0.03101347663492986
burnin,4,45,8000,0.5193223553741859,0.03433576482413492,512,-0.032335289745333284,0.03105307273300842
burnin,4,46,8000,0.44418003931275507,0.0296125946239677,512,0.02363503818287427,0.03112490206250115
burnin,4,47,8000,0.46716633827918486,0.03017299976653755,512,-0.010463049285590387,0.031247443261470886
burnin,4,48,8000,0.5301798464803369,0.035053348363222665,512,-0.028403646982496866,0.029672543377478895
burnin,4,49,8000,0.4833478193472729,0.029260029400133926,512,-0.0421139005210307,0.0312860793822722
burnin,4,50,8000,0.39853438481725334,0.019342457045625434,512,nan,nan
measurement,1,1,8500,0.4289549046607631,0.020696639674649308,512,0.04859852398476505,0.030698126334084978
measurement,1,2,8500,0.4052820339865093,0.016713114956836764,512,-0.001326472986193039,0.03144434724923488
measurement,1,3,8500,0.446456713973987,0.023438592230266227,512,0.033267431852209484,0.031102092721064022
measurement,1,4,8500,0.4344270668404988,0.021191309025324633,512,0.005592035048039179,0.032266867863863076
measurement,1,5,8500,0.41086596602531245,0.018719741932665096,512,-0.013537632970951563,0.031432662959631694
measurement,1,6,8500,0.4211233201803566,0.023231385634809535,512,-0.029523641598643735,0.03062545925625379
measurement,1,7,8500,0.4639738809462983,0.023175936301070163,512,0.051387311710882955,0.031612389155443704
measurement,1,8,8500,0.42146261828816023,0.024259140615814544,512,0.040441304101477726,0.031049601761056783
measurement,1,9,8500,0.43339035302483353,0.023855453178333787,512,-0.011590388353624803,0.030606828401294184
measurement,1,10,8500,0.4166479817696427,0.019783793096201867,512,-0.02064783543391968,0.03021440985875517
measurement,1,11,8500,0.5267480366433119,0.03126731333308577,512,0.10108331268770598,0.03064874575609697
measurement,1,12,8500,0.4034472417354493,0.020727229772604917,512,0.03441587247039024,0.030647931739156024
measurement,1,13,8500,0.43159920249058814,0.024684074110009075,512,0.024682180946456356,0.030661185170377435
measurement,1,14,8500,0.46706324359661266,0.025682993076272274,512,0.0001045486455950595,0.031343291989660176
measurement,1,15,8500,0.4139034423640453,0.023836404546475773,512,-0.0202988340245156,0.030934136592197455
measurement,1,16,8500,0.4677852523573165,0.027250744571696305,512,-0.02940642441194541,0.03132059620519318
measurement,1,17,8500,0.44196213729173905,0.025666006376827602,512,-0.005487899657452999,0.030373937828792476
measurement,1,18,8500,0.43838251279214546,0.028373104137592736,512,-0.030610533018034403,0.032068702029519336
measurement,1,19,8500,0.4787458058727907,0.029043005510290192,512,-0.02369116196672394,0.03056424171567362
measurement,1,20,8500,0.5095534990470014,0.03432078538031142,512,0.013581500184500328,0.030528079091645725
measurement,1,21,8500,0.46669917157348095,0.027681776092984663,512,-0.012131990666830461,0.030798257233903028
measurement,1,22,8500,0.4303504896678305,0.027379267366375214,512,0.07004365993088868,0.030236460259701878
measurement,1,23,8500,0.47081208571743716,0.029873715265173184,512,-0.03020822634744036,0.03083111990927818
measurement,1,24,8500,0.4807099050549368,0.02450852535913799,512,0.024326902323991817,0.029751475520090324
measurement,1,25,8500,0.4972547150932769,0.029500117545213773,512,-0.01099392101423291,0.030910097346640544
measurement,1,26,8500,0.5006180954267165,0.028525215523872702,512,0.01267326174615846,0.030782884650422664
measurement,1,27,8500,0.5145287799612106,0.03330550101620754,512,-0.020544450242141465,0.031749564463062145
measurement,1,28,8500,0.4402262879054888,0.02594125396917811,512,-0.034061509034188475,0.03172794130495956
measurement,1,29,8500,0.4539764967695419,0.02838244927112312,512,0.00960195313746226,0.030467995557434926
measurement,1,30,8500,0.513256035732411,0.032972375202863,512,0.04481535983904905,0.031222677002910326
measurement,1,31,8500,0.5459338204325945,0.03599604584268064,512,-0.023623556919801558,0.030692532997838532
measurement,1,32,8500,0.4854797294844957,0.02822377125035334,512,0.01126589071827766,0.031862580322138456
measurement,1,33,8500,0.49371701982164495,0.029237529639585366,512,-0.0117579118877984,0.03085255216470093
measurement,1,34,8500,0.4699010404207229,0.02676184968167673,512,-0.021360451566579286,0.03170766298121632
measurement,1,35,8500,0.46529675975623164,0.029283022759604937,512,0.004800025147261522,0.03102059772151582
measurement,1,36,8500,0.4671740068701524,0.029691992050405965,512,0.00984631597657426,0.031385313936437294
measurement,1,37,8500,0.44168119198275235,0.026925130632817137,512,0.029180892794443025,0.030483564730857855
measurement,1,38,8500,0.5090002517770245,0.032291055566423865,512,0.11137528028302768,0.029468986487410084
measurement,1,39,8500,0.514820693659999,0.03403401480395509,512,-0.051524046446502325,0.03090755914698994
measurement,1,40,8500,0.49194077632205335,0.028534489909140648,512,-0.044999454248227266,0.030535050052729332
measurement,1,41,8500,0.5376694704666534,0.038732971846300444,512,-0.04537377476663096,0.031612055060960896
measurement,1,42,8500,0.4612569722291653,0.02782658589533887,512,-0.0004171179928107449,0.030563171693243026
measurement,1,43,8500,0.5240213537180409,0.034241129217600766,512,0.014707610637742619,0.031283796345950535
measurement,1,44,8500,0.48782628825898655,0.0315347452514872,512,-0.004969961566530401,0.031935752264361524
measurement,1,45,8500,0.44824401349842447,0.026828206459157358,512,-0.021196937978402275,0.03060393949155258
measurement,1,46,8500,0.48784598174124083,0.03164867086701422,512,0.055505494387602994,0.030998568660048346
measurement,1,47,8500,0.47163437113374584,0.02921546791746698,512,-0.016997358354501557,0.031039449706620956
measurement,1,48,8500,0.47674620272803736,0.029192954527656106,512,0.004259770311364264,0.030925249851919377
measurement,1,49,8500,0.44946858509695176,0.02880417240637459,512,-0.005231839317275444,0.031114814758989764
measurement,1,50,8500,0.3730228229479735,0.02335998051876533,512,nan,nan
measurement,2,1,9000,0.4340193608163645,0.01899145098592934,512,-0.004040150884065952,0.03041278020430636
measurement,2,2,9000,0.4182520402371921,0.01948084892943601,512,0.03467993985850626,0.03119089961070743
measurement,2,3,9000,0.3862378203677963,0.02166942804818287,512,-0.0024474418487443472,0.03068215049871644
measurement,2,4,9000,0.4601345819071412,0.022797460733869058,512,0.026129965503969288,0.03093724314621502
