theta1,theta3,density
-1.36136,1.98968,0.0215433
-1.36136,2.19911,0.0250664
-1.36136,2.40855,0.029013
-1.36136,2.61799,0.0320184
-1.36136,2.82743,0.0342001
-1.36136,3.03687,0.0352739
-1.15192,-3.03687,0.0305637
-1.15192,-2.82743,0.030185
-1.15192,-2.61799,0.0282669
-1.15192,-2.40855,0.025762
-1.15192,-2.19911,0.0226483
-1.15192,-1.98968,0.0193301
-1.15192,-1.78024,0.016198
-1.15192,-1.5708,0.0134467
-1.15192,-1.36136,0.0109528
-1.15192,-1.15192,0.00961821
-1.15192,-0.942478,0.00828985
-1.15192,-0.733038,0.00711461
-1.15192,-0.523599,0.00659904
-1.15192,-0.314159,0.0062478
-1.15192,-0.10472,0.00603586
-1.15192,0.10472,0.0058155
-1.15192,0.314159,0.00618415
-1.15192,0.523599,0.00656631
-1.15192,0.733038,0.00716535
-1.15192,0.942478,0.00805522
-1.15192,1.15192,0.0096326
-1.15192,1.36136,0.0114073
-1.15192,1.5708,0.0133725
-1.15192,1.78024,0.0157195
-1.15192,1.98968,0.0189169
-1.15192,2.19911,0.0213608
-1.15192,2.40855,0.0243585
-1.15192,2.61799,0.0274022
-1.15192,2.82743,0.0288081
-1.15192,3.03687,0.0298994
-0.942478,-3.03687,0.0262192
-0.942478,-2.82743,0.0257964
-0.942478,-2.61799,0.0246666
-0.942478,-2.40855,0.0223072
-0.942478,-2.19911,0.0192955
-0.942478,-1.98968,0.0165598
-0.942478,-1.78024,0.0141167
-0.942478,-1.5708,0.0116842
-0.942478,-1.36136,0.00964946
-0.942478,-1.15192,0.0081663
-0.942478,-0.942478,0.0068899
-0.942478,-0.733038,0.00631919
-0.942478,-0.523599,0.00552577
-0.942478,-0.314159,0.00513314
-0.942478,-0.10472,0.00532058
-0.942478,0.10472,0.00527028
-0.942478,0.314159,0.00544913
-0.942478,0.523599,0.00562544
-0.942478,0.733038,0.0060574
-0.942478,0.942478,0.00711775
-0.942478,1.15192,0.00828661
-0.942478,1.36136,0.0097129
-0.942478,1.5708,0.0112878
-0.942478,1.78024,0.0135835
-0.942478,1.98968,0.0161193
-0.942478,2.19911,0.0183196
-0.942478,2.40855,0.0205675
-0.942478,2.61799,0.0234381
-0.942478,2.82743,0.0251157
-0.942478,3.03687,0.0261377
-0.733038,-3.03687,0.0234308
-0.733038,-2.82743,0.0229533
-0.733038,-2.61799,0.021586
-0.733038,-2.40855,0.0196141
-0.733038,-2.19911,0.0168737
-0.733038,-1.98968,0.0143438
-0.733038,-1.78024,0.0119454
-0.733038,-1.5708,0.0102897
-0.733038,-1.36136,0.00854546
-0.733038,-1.15192,0.00744389
-0.733038,-0.942478,0.00646762
-0.733038,-0.733038,0.00539303
-0.733038,-0.523599,0.00494174
-0.733038,-0.314159,0.00459561
-0.733038,-0.10472,0.00454935
-0.733038,0.10472,0.00470693
-0.733038,0.314159,0.0047517
-0.733038,0.523599,0.0049282
-0.733038,0.733038,0.00541608
-0.733038,0.942478,0.00623523
-0.733038,1.15192,0.00741503
-0.733038,1.36136,0.00857207
-0.733038,1.5708,0.00997131
-0.733038,1.78024,0.0118258
-0.733038,1.98968,0.0138564
-0.733038,2.19911,0.0157778
-0.733038,2.40855,0.0184545
-0.733038,2.61799,0.020594
-0.733038,2.82743,0.0223351
-0.733038,3.03687,0.02298
-0.523599,-3.03687,0.0213679
-0.523599,-2.82743,0.0207898
-0.523599,-2.61799,0.019306
-0.523599,-2.40855,0.0175745
-0.523599,-2.19911,0.0148569
-0.523599,-1.98968,0.0129477
-0.523599,-1.78024,0.0109755
-0.523599,-1.5708,0.00916509
-0.523599,-1.36136,0.00775724
-0.523599,-1.15192,0.00661861
-0.523599,-0.942478,0.00577921
-0.523599,-0.733038,0.00495082
-0.523599,-0.523599,0.00459789
-0.523599,-0.314159,0.00443091
-0.523599,-0.10472,0.00419469
-0.523599,0.10472,0.00413641
-0.523599,0.314159,0.00423565
-0.523599,0.523599,0.00466187
-0.523599,0.733038,0.00489766
-0.523599,0.942478,0.00559735
-0.523599,1.15192,0.00662514
-0.523599,1.36136,0.00772645
-0.523599,1.5708,0.0092909
-0.523599,1.78024,0.0107499
-0.523599,1.98968,0.0127075
-0.523599,2.19911,0.0148917
-0.523599,2.40855,0.016872
-0.523599,2.61799,0.01889
-0.523599,2.82743,0.0199085
-0.523599,3.03687,0.0213867
-0.314159,-3.03687,0.0196534
-0.314159,-2.82743,0.0190362
-0.314159,-2.61799,0.0178881
-0.314159,-2.40855,0.0159446
-0.314159,-2.19911,0.0139804
-0.314159,-1.98968,0.0123
-0.314159,-1.78024,0.0103124
-0.314159,-1.5708,0.00845282
-0.314159,-1.36136,0.00727657
-0.314159,-1.15192,0.00611832
-0.314159,-0.942478,0.00538767
-0.314159,-0.733038,0.00475218
-0.314159,-0.523599,0.00416969
-0.314159,-0.314159,0.00405114
-0.314159,-0.10472,0.00388923
-0.314159,0.10472,0.00377467
-0.314159,0.314159,0.00411859
-0.314159,0.523599,0.00428072
-0.314159,0.733038,0.00472521
-0.314159,0.942478,0.0053347
-0.314159,1.15192,0.0062676
-0.314159,1.36136,0.00734946
-0.314159,1.5708,0.00850939
-0.314159,1.78024,0.010254
-0.314159,1.98968,0.0119246
-0.314159,2.19911,0.0138822
-0.314159,2.40855,0.0157707
-0.314159,2.61799,0.0177227
-0.314159,2.82743,0.0187225
-0.314159,3.03687,0.0192832
-0.10472,-3.03687,0.0188498
-0.10472,-2.82743,0.018345
-0.10472,-2.61799,0.0170324
-0.10472,-2.40855,0.0157671
-0.10472,-2.19911,0.0135903
-0.10472,-1.98968,0.0117382
-0.10472,-1.78024,0.0100519
-0.10472,-1.5708,0.0083231
-0.10472,-1.36136,0.00717454
-0.10472,-1.15192,0.0060639
-0.10472,-0.942478,0.00518114
-0.10472,-0.733038,0.00468612
-0.10472,-0.523599,0.00434674
-0.10472,-0.314159,0.00388314
-0.10472,-0.10472,0.00378775
-0.10472,0.10472,0.003847
-0.10472,0.314159,0.00405857
-0.10472,0.523599,0.00416188
-0.10472,0.733038,0.00458154
-0.10472,0.942478,0.00506185
-0.10472,1.15192,0.00597374
-0.10472,1.36136,0.00704085
-0.10472,1.5708,0.00849207
-0.10472,1.78024,0.00996732
-0.10472,1.98968,0.011409
-0.10472,2.19911,0.0136468
-0.10472,2.40855,0.0152845
-0.10472,2.61799,0.0167247
-0.10472,2.82743,0.0179154
-0.10472,3.03687,0.0188634
0.10472,-3.03687,0.0186026
0.10472,-2.82743,0.0180959
0.10472,-2.61799,0.0173441
0.10472,-2.40855,0.0154756
0.10472,-2.19911,0.0134117
0.10472,-1.98968,0.0115893
0.10472,-1.78024,0.00967125
0.10472,-1.5708,0.00825604
0.10472,-1.36136,0.00722952
0.10472,-1.15192,0.00597006
0.10472,-0.942478,0.00536535
0.10472,-0.733038,0.0047939
0.10472,-0.523599,0.00419222
0.10472,-0.314159,0.00386541
0.10472,-0.10472,0.00377816
0.10472,0.10472,0.00388192
0.10472,0.314159,0.00402091
0.10472,0.523599,0.00411825
0.10472,0.733038,0.00459775
0.10472,0.942478,0.00519351
0.10472,1.15192,0.00599872
0.10472,1.36136,0.00707073
0.10472,1.5708,0.00829343
0.10472,1.78024,0.00953825
0.10472,1.98968,0.0115617
0.10472,2.19911,0.0131728
0.10472,2.40855,0.015365
0.10472,2.61799,0.0166436
0.10472,2.82743,0.0181018
0.10472,3.03687,0.0186815
0.314159,-3.03687,0.019947
0.314159,-2.82743,0.0191972
0.314159,-2.61799,0.0177081
0.314159,-2.40855,0.0158558
0.314159,-2.19911,0.014051
0.314159,-1.98968,0.0119123
0.314159,-1.78024,0.0102408
0.314159,-1.5708,0.0083516
0.314159,-1.36136,0.00715301
0.314159,-1.15192,0.00608929
0.314159,-0.942478,0.00539016
0.314159,-0.733038,0.0049391
0.314159,-0.523599,0.00452384
0.314159,-0.314159,0.00418026
0.314159,-0.10472,0.00404234
0.314159,0.10472,0.00403331
0.314159,0.314159,0.0040674
0.314159,0.523599,0.00435649
0.314159,0.733038,0.00465418
0.314159,0.942478,0.00539506
0.314159,1.15192,0.00608779
0.314159,1.36136,0.00719511
0.314159,1.5708,0.00868245
0.314159,1.78024,0.0101326
0.314159,1.98968,0.0120419
0.314159,2.19911,0.0138066
0.314159,2.40855,0.0159014
0.314159,2.61799,0.0171893
0.314159,2.82743,0.0187259
0.314159,3.03687,0.0193372
0.523599,-3.03687,0.0210425
0.523599,-2.82743,0.0201728
0.523599,-2.61799,0.0191224
0.523599,-2.40855,0.0166911
0.523599,-2.19911,0.0151731
0.523599,-1.98968,0.0127571
0.523599,-1.78024,0.0107527
0.523599,-1.5708,0.00895302
0.523599,-1.36136,0.00777084
0.523599,-1.15192,0.00668507
0.523599,-0.942478,0.00550739
0.523599,-0.733038,0.00509103
0.523599,-0.523599,0.00456106
0.523599,-0.314159,0.00435688
0.523599,-0.10472,0.00432392
0.523599,0.10472,0.00431067
0.523599,0.314159,0.00422723
0.523599,0.523599,0.00463903
0.523599,0.733038,0.00508407
0.523599,0.942478,0.00585055
0.523599,1.15192,0.00659605
0.523599,1.36136,0.00779905
0.523599,1.5708,0.00913344
0.523599,1.78024,0.010729
0.523599,1.98968,0.0127646
0.523599,2.19911,0.0149744
0.523599,2.40855,0.0166899
0.523599,2.61799,0.0186283
0.523599,2.82743,0.0199359
0.523599,3.03687,0.0209552
0.733038,-3.03687,0.0232035
0.733038,-2.82743,0.0226886
0.733038,-2.61799,0.0211595
0.733038,-2.40855,0.0191847
0.733038,-2.19911,0.016755
0.733038,-1.98968,0.0141005
0.733038,-1.78024,0.0122781
0.733038,-1.5708,0.0100737
0.733038,-1.36136,0.00871063
0.733038,-1.15192,0.00745529
0.733038,-0.942478,0.00645292
0.733038,-0.733038,0.00566478
0.733038,-0.523599,0.00508076
0.733038,-0.314159,0.00480116
0.733038,-0.10472,0.00482361
0.733038,0.10472,0.00476352
0.733038,0.314159,0.00483301
0.733038,0.523599,0.0049473
0.733038,0.733038,0.00549616
0.733038,0.942478,0.00635731
0.733038,1.15192,0.00745092
0.733038,1.36136,0.00859735
0.733038,1.5708,0.0102972
0.733038,1.78024,0.0121216
0.733038,1.98968,0.0140767
0.733038,2.19911,0.016441
0.733038,2.40855,0.0184813
0.733038,2.61799,0.020191
0.733038,2.82743,0.0222572
0.733038,3.03687,0.023137
0.942478,-3.03687,0.0262737
0.942478,-2.82743,0.0254706
0.942478,-2.61799,0.0233747
0.942478,-2.40855,0.0214232
0.942478,-2.19911,0.0188567
0.942478,-1.98968,0.0158909
0.942478,-1.78024,0.0135272
0.942478,-1.5708,0.0116721
0.942478,-1.36136,0.00948479
0.942478,-1.15192,0.00806182
0.942478,-0.942478,0.0070693
0.942478,-0.733038,0.00639661
0.942478,-0.523599,0.00559745
0.942478,-0.314159,0.00541101
0.942478,-0.10472,0.00513559
0.942478,0.10472,0.005345
0.942478,0.314159,0.00547905
0.942478,0.523599,0.00575891
0.942478,0.733038,0.00640041
0.942478,0.942478,0.00724027
0.942478,1.15192,0.00844664
0.942478,1.36136,0.00977255
0.942478,1.5708,0.0116071
0.942478,1.78024,0.0137725
0.942478,1.98968,0.016129
0.942478,2.19911,0.0184224
0.942478,2.40855,0.0209981
0.942478,2.61799,0.0231336
0.942478,2.82743,0.0253743
0.942478,3.03687,0.0257418
1.15192,-3.03687,0.029954
1.15192,-2.82743,0.0291827
1.15192,-2.61799,0.0271799
1.15192,-2.40855,0.0253104
1.15192,-2.19911,0.0215903
1.15192,-1.98968,0.0186039
1.15192,-1.78024,0.0158401
1.15192,-1.5708,0.0132709
1.15192,-1.36136,0.0111518
1.15192,-1.15192,0.00953253
1.15192,-0.942478,0.00821357
1.15192,-0.733038,0.00738273
1.15192,-0.523599,0.00647729
1.15192,-0.314159,0.00611443
1.15192,-0.10472,0.00611455
1.15192,0.10472,0.00602772
1.15192,0.314159,0.00638645
1.15192,0.523599,0.00673054
1.15192,0.733038,0.00760589
1.15192,0.942478,0.00843318
1.15192,1.15192,0.00963951
1.15192,1.36136,0.0116708
1.15192,1.5708,0.0135186
1.15192,1.78024,0.0162503
1.15192,1.98968,0.0185474
1.15192,2.19911,0.0214314
1.15192,2.40855,0.0245607
1.15192,2.61799,0.0269007
1.15192,2.82743,0.0286678
1.15192,3.03687,0.0297537
1.36136,-3.03687,0.0348811
1.36136,-2.82743,0.0339704
1.36136,-2.61799,0.0319517
1.36136,-2.40855,0.0294036
1.36136,-2.19911,0.0255373
1.36136,-1.98968,0.0216362
1.36136,-1.78024,0.0189076
1.36136,-1.5708,0.0158933
1.36136,-1.36136,0.0132293
1.36136,-1.15192,0.0109448
1.36136,-0.942478,0.00927315
1.36136,-0.733038,0.00845608
1.36136,-0.523599,0.00781279
1.36136,-0.314159,0.00731145
1.36136,-0.10472,0.00705409
1.36136,0.10472,0.00702926
1.36136,0.314159,0.00711416
1.36136,0.523599,0.00786252
1.36136,0.733038,0.00868589
1.36136,0.942478,0.0100486
1.36136,1.15192,0.0115932
1.36136,1.36136,0.0134107
1.36136,1.5708,0.0161399
1.36136,1.78024,0.0193409
1.36136,1.98968,0.021938
1.36136,2.19911,0.025249
1.36136,2.40855,0.028895
1.36136,2.61799,0.0313146
1.36136,2.82743,0.0333353
1.36136,3.03687,0.0348119
1.5708,-3.03687,0.0410718
1.5708,-2.82743,0.0400059
1.5708,-2.61799,0.0374309
1.5708,-2.40855,0.0343143
1.5708,-2.19911,0.0301624
1.5708,-1.98968,0.0262663
1.5708,-1.78024,0.0223777
1.5708,-1.5708,0.0184358
1.5708,-1.36136,0.0152788
1.5708,-1.15192,0.013151
1.5708,-0.942478,0.0111918
1.5708,-0.733038,0.00982592
1.5708,-0.523599,0.00915596
1.5708,-0.314159,0.00874184
1.5708,-0.10472,0.00825352
1.5708,0.10472,0.00830808
1.5708,0.314159,0.00870606
1.5708,0.523599,0.009134
1.5708,0.733038,0.0101191
1.5708,0.942478,0.0117532
1.5708,1.15192,0.0140361
1.5708,1.36136,0.0161185
1.5708,1.5708,0.0193146
1.5708,1.78024,0.0225315
1.5708,1.98968,0.0264712
1.5708,2.19911,0.0304027
1.5708,2.40855,0.0339481
1.5708,2.61799,0.0368222
1.5708,2.82743,0.0392526
1.5708,3.03687,0.0411863
1.78024,-3.03687,0.0485763
1.78024,-2.82743,0.0465518
1.78024,-2.61799,0.0435417
1.78024,-2.40855,0.0403823
1.78024,-2.19911,0.0358113
1.78024,-1.98968,0.0315081
1.78024,-1.78024,0.0259096
1.78024,-1.5708,0.0216802
1.78024,-1.36136,0.0184717
1.78024,-1.15192,0.0157353
1.78024,-0.942478,0.0135402
1.78024,-0.733038,0.0117601
1.78024,-0.523599,0.0107134
1.78024,-0.314159,0.010387
1.78024,-0.10472,0.00991416
1.78024,0.10472,0.00983863
1.78024,0.314159,0.0102529
1.78024,0.523599,0.010708
1.78024,0.733038,0.0120349
1.78024,0.942478,0.0138531
1.78024,1.15192,0.0163174
1.78024,1.36136,0.0192288
1.78024,1.5708,0.0225973
1.78024,1.78024,0.0268866
1.78024,1.98968,0.0317649
1.78024,2.19911,0.0365168
1.78024,2.40855,0.0405298
1.78024,2.61799,0.0441275
1.78024,2.82743,0.0465036
1.78024,3.03687,0.047629
1.98968,-3.03687,0.055939
1.98968,-2.82743,0.0539481
1.98968,-2.61799,0.050752
1.98968,-2.40855,0.0470512
1.98968,-2.19911,0.0414877
1.98968,-1.98968,0.0361401
1.98968,-1.78024,0.0302619
1.98968,-1.5708,0.0254106
1.98968,-1.36136,0.0218098
1.98968,-1.15192,0.0183684
1.98968,-0.942478,0.0160856
1.98968,-0.733038,0.0138901
1.98968,-0.523599,0.0125934
1.98968,-0.314159,0.011827
1.98968,-0.10472,0.0112192
1.98968,0.10472,0.0113907
1.98968,0.314159,0.0120402
1.98968,0.523599,0.0126252
1.98968,0.733038,0.0138349
1.98968,0.942478,0.0157969
1.98968,1.15192,0.018877
1.98968,1.36136,0.0220525
1.98968,1.5708,0.026744
1.98968,1.78024,0.0319902
1.98968,1.98968,0.0371893
1.98968,2.19911,0.0432883
1.98968,2.40855,0.047797
1.98968,2.61799,0.05179
1.98968,2.82743,0.0551138
1.98968,3.03687,0.0556058
2.19911,-3.03687,0.0642907
2.19911,-2.82743,0.062205
2.19911,-2.61799,0.0583704
2.19911,-2.40855,0.053377
2.19911,-2.19911,0.0479356
2.19911,-1.98968,0.0415315
2.19911,-1.78024,0.0354375
2.19911,-1.5708,0.0295963
2.19911,-1.36136,0.0249325
2.19911,-1.15192,0.021366
2.19911,-0.942478,0.018686
2.19911,-0.733038,0.0162608
2.19911,-0.523599,0.0149974
2.19911,-0.314159,0.0138603
2.19911,-0.10472,0.0133446
2.19911,0.10472,0.0131489
2.19911,0.314159,0.0139393
2.19911,0.523599,0.0145376
2.19911,0.733038,0.0160659
2.19911,0.942478,0.0182283
2.19911,1.15192,0.0210818
2.19911,1.36136,0.0251423
2.19911,1.5708,0.0301392
2.19911,1.78024,0.0360661
2.19911,1.98968,0.042945
2.19911,2.19911,0.04988
2.19911,2.40855,0.0557725
2.19911,2.61799,0.0608449
2.19911,2.82743,0.0637563
2.19911,3.03687,0.0651329
2.40855,-3.03687,0.0732439
2.40855,-2.82743,0.0705208
2.40855,-2.61799,0.0654787
2.40855,-2.40855,0.0596835
2.40855,-2.19911,0.0534993
2.40855,-1.98968,0.0464589
2.40855,-1.78024,0.0395913
2.40855,-1.5708,0.0334876
2.40855,-1.36136,0.028528
2.40855,-1.15192,0.0243252
2.40855,-0.942478,0.020963
2.40855,-0.733038,0.0185958
2.40855,-0.523599,0.0168845
2.40855,-0.314159,0.0155718
2.40855,-0.10472,0.0149057
2.40855,0.10472,0.0151591
2.40855,0.314159,0.0154331
2.40855,0.523599,0.0164058
2.40855,0.733038,0.0184539
2.40855,0.942478,0.0209975
2.40855,1.15192,0.0241139
2.40855,1.36136,0.0284379
2.40855,1.5708,0.0339692
2.40855,1.78024,0.040358
2.40855,1.98968,0.0484335
2.40855,2.19911,0.0559423
2.40855,2.40855,0.063168
2.40855,2.61799,0.0687046
2.40855,2.82743,0.0726602
2.40855,3.03687,0.0738283
2.61799,-3.03687,0.0813023
2.61799,-2.82743,0.0776072
2.61799,-2.61799,0.0722659
2.61799,-2.40855,0.0661452
2.61799,-2.19911,0.058376
2.61799,-1.98968,0.0509705
2.61799,-1.78024,0.0436489
2.61799,-1.5708,0.0373067
2.61799,-1.36136,0.0316426
2.61799,-1.15192,0.0270133
2.61799,-0.942478,0.0230967
2.61799,-0.733038,0.0203429
2.61799,-0.523599,0.0185316
