bc_label,temp_label,T1,Tn,n,burnin,measure,seeds,valid_trajectories,nonfinite_trajectories,discarded_trajectories,projection_count,mean_I_left,se_I_left,mean_I_right,se_I_right,mean_I_mid,se_I_mid_conservative,mid_sites,mean_sin_mid,se_sin_mid_conservative,mid_bonds,max_seed_z,median_seed_z,left_last_quarter_relative_change,right_last_quarter_relative_change,max_I_left_over_trajectories,max_I_right_over_trajectories,unstable_nonfinite
BC2,T10_T2,10,2,50,8000,2000,2026191000;2026191001,512,0,0,28428108,0.5172486334828345,0.0006717948129868646,0.10664544352999704,0.00014783633085315494,0.40437215110819974,0.0012371323074781327,25;26,0.01569767796498591,0.0005224022121830009,25,2.3272428023750535,0.937010096214613,0.0003386878572929484,0.0005112056340548978,12.687664031982422,5.24378776550293,False
BC2,T10_T2,10,2,100,32000,2000,2026191500;2026191501,512,0,0,139278800,0.3585968347382105,0.0009047360323898119,0.072144427065368,0.00018249370265607703,0.2984629292107903,0.002146639192751839,50;51,0.007823720824514612,0.0006781558277509856,50,2.9616000794976536,0.6817358690996396,-0.0008729276146276862,-0.0004886710417124028,11.04297161102295,3.2088146209716797,False
BC2,T4_T6,4,6,25,2000,2000,2026200750;2026200751,512,0,0,6616632,0.3650804562195037,0.00031982918289472296,0.5332313930357081,0.00042602799608282624,0.4584874891423337,0.0007985526138449952,13,-0.013287384995089016,0.0005115613929406467,12;13,2.5489878681297675,1.0498913405687078,-3.194653227880581e-05,-0.00018145004042005632,8.026491165161133,9.772204399108887,False
BC2,T4_T6,4,6,50,8000,2000,2026201000;2026201001,512,0,0,23410693,0.2536054148117794,0.0003030324903139743,0.37798178859718,0.0004429574856927374,0.32480221074059445,0.000977001521766253,25;26,-0.0074865954920279075,0.0006016123855448361,25,2.5222144190873155,0.6333941305069138,0.001440807308379784,0.0012312111641541174,5.83609676361084,7.374224662780762,False
BC2,T4_T6,4,6,100,32000,2000,2026201500;2026201501,512,0,0,113642508,0.17649847609521244,0.0004024323881875167,0.26444452667086277,0.0005855641396655995,0.23659502395181325,0.0016093911323766957,50;51,-0.0037079003655298547,0.000722304887412078,50,2.6892466767060035,0.5859792236512098,-0.0005167043688826838,-0.0010512016734450713,4.419477462768555,6.473862648010254,False
BC2,T6_T6,6,6,25,2000,2000,2026210750;2026210751,512,0,0,7188374,0.4963908118730304,0.0003889803458820856,0.4959154592170878,0.00039848915536588566,0.495119447241124,0.000779165901943322,13,7.606104460542823e-05,0.00045730221106740794,12;13,2.384701526747286,1.0400294178699296,-7.890615306380304e-05,-0.0003442070517918568,10.297809600830078,8.588932991027832,False
BC2,T6_T6,6,6,50,8000,2000,2026211000;2026211001,512,0,0,25329850,0.3504676159441027,0.0003732309130048124,0.3503802281430306,0.0003765580248521737,0.3489106649972478,0.0008692805951159748,25;26,-4.274225763243407e-05,0.0005445074080879873,25,3.6401892798722195,0.5385875213580542,0.0006931737058267482,0.0003730633093679593,8.778228759765625,7.818460464477539,False
BC2,T6_T6,6,6,100,32000,2000,2026211500;2026211501,512,0,0,122838383,0.24472260126919015,0.0004945186343136677,0.2446730792143628,0.0004965236253011981,0.2547184727763767,0.001589696768503544,50;51,0.0003285165487719704,0.0006685782243698299,50,3.4597890062642196,0.8726421630555619,-0.00105799343800541,-0.0012357582651554347,6.291565418243408,6.083132743835449,False
BC3,T10_T2,10,2,25,2000,2000,2026290750;2026290751,512,0,0,1156031,2.889550653940765,0.0019197093517087111,1.9636858590407154,0.0016555227527407894,2.471247624778929,0.0033592486620224646,13,0.019639314633970412,0.0002217469614108428,12;13,3.5310571111796594,0.8494694619859062,-0.0005946130381528858,0.000132911060554157,53.99790954589844,59.30568313598633,False
BC3,T10_T2,10,2,50,8000,2000,2026291000;2026291001,512,0,0,2961403,2.9674258488646474,0.0019869716434463927,1.7123787290467563,0.0017377648623314642,2.6793568958950607,0.006230350953464641,25;26,0.010333503165354047,0.0002391522849094857,25,3.02829583671393,0.7825590987631289,-0.0005833102894662609,0.0005037561919397902,80.15754699707031,77.24034118652344,False
