n,tau,inverse_tau,k,psi_medium,psi_right,right_minus_medium,difference_ci_low,difference_ci_high,tau_times_difference,medium_reliability_gate,right_reliability_gate,paired_reliability_gate
20,200.0,0.005,0.1,-0.04172411816595812,-0.04237482401446929,-0.0006507058485111725,-0.0007198817024271409,-0.0005885557523015548,-0.1301411697022345,1,1,1
20,200.0,0.005,0.2,-0.06477018628401286,-0.06690497538970447,-0.0021347891056916063,-0.0026687641501574573,-0.0015079146188785163,-0.42695782113832126,0,0,0
20,200.0,0.005,0.3,-0.07877558459265818,-0.08271765033353354,-0.003942065740875356,-0.004861320919148215,-0.0020225132979051082,-0.7884131481750711,0,0,0
30,20.0,0.05,0.05,-0.012092208968546547,-0.013738095495199953,-0.0016458865266534058,-0.001652238933316395,-0.0016379313772461241,-0.03291773053306812,1,1,1
30,20.0,0.05,0.1,-0.01798352054850403,-0.024038251926320076,-0.0060547313778160465,-0.006079722285834949,-0.006024680035694452,-0.12109462755632093,1,1,1
30,20.0,0.05,0.2,-0.015683346456506174,-0.03756951521206746,-0.021886168755561285,-0.022000167554105117,-0.021749694836917702,-0.4377233751112257,1,1,1
30,20.0,0.05,0.3,0.0027781439077306123,-0.044292923501796186,-0.047071067409526796,-0.04751142811312705,-0.04662669712136009,-0.9414213481905359,1,1,1
30,40.0,0.025,0.05,-0.012608317372838407,-0.013754294727109784,-0.0011459773542713773,-0.0011537142697559623,-0.0011394581397155422,-0.04583909417085509,1,1,1
30,40.0,0.025,0.1,-0.01995301444919937,-0.02411542682266523,-0.00416241237346586,-0.004192134273243676,-0.004137783745915415,-0.1664964949386344,1,1,1
30,40.0,0.025,0.2,-0.02335653260258406,-0.03801847550931452,-0.014661942906730459,-0.014793004859957767,-0.014541528880683894,-0.5864777162692183,1,1,1
30,40.0,0.025,0.3,-0.014920275223859702,-0.0455995890058162,-0.030679313781956496,-0.031167105488093844,-0.030201959252580072,-1.2271725512782599,1,1,1
30,60.0,0.016666666666666666,0.05,-0.012915381855127084,-0.013767275008617682,-0.0008518931534905981,-0.0008586969085229802,-0.0008454227314555617,-0.051113589209435886,1,1,1
30,60.0,0.016666666666666666,0.1,-0.021073017703274122,-0.02416210155686119,-0.0030890838535870685,-0.0031134521779392324,-0.0030635153417111114,-0.1853450312152241,1,1,1
30,60.0,0.016666666666666666,0.2,-0.027348665103231588,-0.03821027426525883,-0.010861609162027244,-0.011012386202443537,-0.010705000777873957,-0.6516965497216346,1,1,1
30,60.0,0.016666666666666666,0.3,-0.0230766130677799,-0.046104474991991516,-0.023027861924211617,-0.024123960566593543,-0.02215360380500587,-1.381671715452697,0,1,0
30,80.0,0.0125,0.05,-0.013114164372205495,-0.013774427964690994,-0.0006602635924854994,-0.0006682804637996032,-0.0006511438722065126,-0.05282108739883995,1,1,1
30,80.0,0.0125,0.1,-0.021773572775490836,-0.02417440086256062,-0.0024008280870697826,-0.0024381022941599205,-0.0023654052915085618,-0.1920662469655826,1,1,1
30,80.0,0.0125,0.2,-0.029690577816378582,-0.038225940491734556,-0.008535362675355974,-0.00881462202947547,-0.008309053671957119,-0.6828290140284778,1,1,1
30,80.0,0.0125,0.3,-0.027438170907681924,-0.046170294942013634,-0.01873212403433171,-0.021248711893742195,-0.01719015855127376,-1.4985699227465368,0,1,0
30,100.0,0.01,0.05,-0.013236170610699104,-0.013777856866446694,-0.0005416862557475893,-0.0005483619474745239,-0.0005350105684567214,-0.05416862557475893,1,1,1
30,100.0,0.01,0.1,-0.022227697549300113,-0.024187349938097017,-0.0019596523887969036,-0.001987598727985416,-0.0019314525889282607,-0.19596523887969036,1,1,1
30,100.0,0.01,0.2,-0.031477799471560514,-0.03827448102724178,-0.006796681555681264,-0.006984353387769732,-0.006615467459862815,-0.6796681555681263,1,1,1
30,100.0,0.01,0.3,-0.03245625490286588,-0.04625388985545136,-0.013797634952585479,-0.014590875578726565,-0.013139191260710819,-1.3797634952585478,0,1,0
30,120.0,0.008333333333333333,0.05,-0.013322179394497683,-0.013779549116432073,-0.0004573697219343899,-0.00046435728334668876,-0.00044929500518426453,-0.054884366632126785,1,1,1
30,120.0,0.008333333333333333,0.1,-0.02253575995693075,-0.024191918789761385,-0.0016561588328306356,-0.0016872461606055517,-0.0016234286448937923,-0.19873905993967628,1,1,1
30,120.0,0.008333333333333333,0.2,-0.03259212459975549,-0.038321068655522365,-0.005728944055766877,-0.005927249776875875,-0.005539841170972165,-0.6874732866920252,1,1,1
30,120.0,0.008333333333333333,0.3,-0.034961297765290555,-0.04657027302347509,-0.011608975258184537,-0.012527843632836586,-0.010895560466379656,-1.3930770309821443,0,1,0
30,140.0,0.007142857142857143,0.05,-0.013390369639245073,-0.013784571410870963,-0.0003942017716258902,-0.00040048381127419076,-0.0003880538011024888,-0.05518824802762463,1,1,1
30,140.0,0.007142857142857143,0.1,-0.02275184859422405,-0.024197035043325245,-0.0014451864491011948,-0.001477319504491827,-0.0014124405382165452,-0.20232610287416727,1,1,1
30,140.0,0.007142857142857143,0.2,-0.03290249396944333,-0.0382231320113971,-0.005320638041953769,-0.00561788675068754,-0.005022808507886859,-0.7448893258735277,0,1,0
30,140.0,0.007142857142857143,0.3,-0.03452619441902705,-0.04600366002793799,-0.011477465608910935,-0.012513835600749229,-0.0102601988041389,-1.606845185247531,0,0,0
