case,mode,reference_real,reference_imag,tau,lambda_real,lambda_imag,pass,real_range,real_tolerance,imag_range,imag_tolerance
driven_dt2p5e-4,3,-2.6741973789419244,0.0,0.1,-3.0356391785153427,0.0,True,0.42968321153098543,0.5357383470118301,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,0.25,-2.6059559669843573,0.0,True,0.42968321153098543,0.5357383470118301,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,0.5,-2.6741973789419244,0.0,True,0.42968321153098543,0.5357383470118301,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,1.0,-2.6831860911763767,0.0,True,0.42968321153098543,0.5357383470118301,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,0.1,-1.0718314879784612,0.0,True,0.13834705316113427,0.19715442250153734,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,0.25,-1.0163952924828432,0.0,True,0.13834705316113427,0.19715442250153734,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,0.5,-0.95514893253253,0.0,True,0.13834705316113427,0.19715442250153734,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,1.0,-0.9334844348173269,0.0,True,0.13834705316113427,0.19715442250153734,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,0.1,-2.328537469081623,0.0,True,0.40229588510258196,0.4057888936682778,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,0.25,-2.035347934768937,0.0,True,0.40229588510258196,0.4057888936682778,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,0.5,-1.9262415839790412,0.0,True,0.40229588510258196,0.4057888936682778,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,1.0,-2.0225410019138406,0.0,True,0.40229588510258196,0.4057888936682778,0.0,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,0.1,-2.328537469081623,0.0,True,0.225430976263298,0.4568514193422628,0.04827915577242777,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,0.25,-2.366881863430086,0.0,True,0.225430976263298,0.4568514193422628,0.04827915577242777,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,0.5,-2.2399767243410045,0.0,True,0.225430976263298,0.4568514193422628,0.04827915577242777,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,1.0,-2.141450887166788,0.04827915577242777,True,0.225430976263298,0.4568514193422628,0.04827915577242777,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,0.1,-2.746184301781158,0.0,True,0.3663470394059325,0.5635013056339915,0.03379974284145903,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,0.25,-3.1125313411870903,0.0,True,0.3663470394059325,0.5635013056339915,0.03379974284145903,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,0.5,-2.8338177497142727,0.0,True,0.3663470394059325,0.5635013056339915,0.03379974284145903,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,1.0,-2.8011953066256425,0.03379974284145903,True,0.3663470394059325,0.5635013056339915,0.03379974284145903,0.5
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,0.1,nan,nan,False,nan,nan,nan,nan
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,0.25,nan,nan,False,nan,nan,nan,nan
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,0.5,-2.984235371913249,3.6121464590980006,False,nan,nan,nan,nan
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,1.0,-3.0315069740360427,3.141592653589793,False,nan,nan,nan,nan
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,0.1,-1.0518071248059178,0.0,True,0.13057273014481985,0.19156005033121407,0.0,0.5
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,0.25,-0.9748420991603589,0.0,True,0.13057273014481985,0.19156005033121407,0.0,0.5
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,0.5,-0.9407584041517817,0.0,True,0.13057273014481985,0.19156005033121407,0.0,0.5
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,1.0,-0.9212343946610979,0.0,True,0.13057273014481985,0.19156005033121407,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,0.1,-2.1638489810325816,0.0,False,0.4179022109652628,0.3784354755335972,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,0.25,-1.9917490006309164,0.0,False,0.4179022109652628,0.3784354755335972,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,0.5,-1.7926057547050551,0.0,False,0.4179022109652628,0.3784354755335972,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,1.0,-1.7459467700673188,0.0,False,0.4179022109652628,0.3784354755335972,0.0,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,0.1,-2.1638489810325816,0.0,True,0.31278858641709983,0.43154884144914346,0.11917606359820915,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,0.25,-1.9917490006309164,0.0,True,0.31278858641709983,0.43154884144914346,0.11917606359820915,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,0.5,-2.1516394334588527,0.0,True,0.31278858641709983,0.43154884144914346,0.11917606359820915,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,1.0,-2.3045375870480163,0.11917606359820915,True,0.31278858641709983,0.43154884144914346,0.11917606359820915,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,0.1,-2.1638489810325816,0.0,False,0.5358852807584693,0.5141905305174793,0.1401014899777974,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,0.25,-2.699734261791051,0.0,False,0.5358852807584693,0.5141905305174793,0.1401014899777974,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,0.5,-2.5437710919280434,0.0,False,0.5358852807584693,0.5141905305174793,0.1401014899777974,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,1.0,-2.5981342132467495,0.1401014899777974,False,0.5358852807584693,0.5141905305174793,0.1401014899777974,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,0.1,-2.969104232160137,0.0,True,0.26936997036908616,0.5714793069568861,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,0.25,-2.699734261791051,0.0,True,0.26936997036908616,0.5714793069568861,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,0.5,-2.862537701207786,0.0,True,0.26936997036908616,0.5714793069568861,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,1.0,-2.852255368361075,0.0,True,0.26936997036908616,0.5714793069568861,0.0,0.5
