case,mode,reference_real,reference_imag,cutoff,lambda_real,lambda_imag,pass,real_range,real_tolerance,imag_range,imag_tolerance
equilibrium_dt1e-3,0,-0.95514893253253,0.0,1e-12,-0.95514893253253,0.0,True,0.0,0.191029786506506,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,1e-08,-1.9262415839790412,0.0,True,0.0,0.3852483167958083,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,1e-10,-1.9262415839790412,0.0,True,0.0,0.3852483167958083,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,1e-12,-1.9262415839790412,0.0,True,0.0,0.3852483167958083,0.0,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,1e-08,-2.2399767243410045,0.0,True,0.0,0.4479953448682009,0.0,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,1e-10,-2.2399767243410045,0.0,True,0.0,0.4479953448682009,0.0,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,1e-12,-2.2399767243410045,0.0,True,0.0,0.4479953448682009,0.0,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,1e-08,-2.8338177497142727,0.0,True,0.0,0.5667635499428546,0.0,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,1e-10,-2.8338177497142727,0.0,True,0.0,0.5667635499428546,0.0,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,1e-12,-2.8338177497142727,0.0,True,0.0,0.5667635499428546,0.0,0.5
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,1e-08,-2.984235371913249,3.6121464590980006,True,0.0,0.5968470743826498,0.0,0.7224292918196001
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,1e-10,-2.984235371913249,3.6121464590980006,True,0.0,0.5968470743826498,0.0,0.7224292918196001
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,1e-12,-2.984235371913249,3.6121464590980006,True,0.0,0.5968470743826498,0.0,0.7224292918196001
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,1e-08,-0.9407584041517817,0.0,True,0.0,0.18815168083035635,0.0,0.5
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,1e-10,-0.9407584041517817,0.0,True,0.0,0.18815168083035635,0.0,0.5
