case,replicate,reference_mode,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
driven_dt2p5e-4,253,3,-2.6741973789419244,0.0,1,0.027796976416436525,0.2662817816819497,0.0,-2.646400402525488,0.0,500,3.1086244689504383e-15
driven_dt2p5e-4,254,0,-0.9631910243268651,0.0,1,0.0009456419874506183,0.6180890789785669,0.0,-0.9622453823394145,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,254,1,-1.8481229631188287,0.0,1,0.1008532866617744,0.377385478364187,0.0,-1.9489762497806031,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,254,2,-2.0877156713269587,0.0,1,0.13873942154635555,0.377385478364187,0.0,-1.9489762497806031,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,254,3,-2.6741973789419244,0.0,1,0.1749192557522541,0.24061471508749807,0.0,-2.8491166346941785,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,255,0,-0.9631910243268651,0.0,1,0.000567480364756956,0.6176216336258374,0.0,-0.963758504691622,0.0,500,1.3322676295501878e-15
driven_dt2p5e-4,255,1,-1.8481229631188287,0.0,1,0.10170747486633225,0.3772243336665165,0.0,-1.949830437985161,0.0,500,1.3322676295501878e-15
driven_dt2p5e-4,255,2,-2.0877156713269587,0.0,1,0.1378852333417977,0.3772243336665165,0.0,-1.949830437985161,0.0,500,1.3322676295501878e-15
driven_dt2p5e-4,255,3,-2.6741973789419244,0.0,1,0.05788597348440083,0.2551147905199258,0.0,-2.7320833524263253,0.0,500,1.3322676295501878e-15
driven_dt2p5e-4,256,0,-0.9631910243268651,0.0,1,0.006405647824603067,0.6158213731976767,0.0,-0.9695966721514682,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,256,1,-1.8481229631188287,0.0,1,0.1538028035779222,0.42863048147525806,0.0,-1.6943201595409065,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,256,2,-2.0877156713269587,0.0,1,0.04118510729595615,0.34491737295667924,0.0,-2.128900778622915,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,256,3,-2.6741973789419244,0.0,1,0.10214834704400708,0.27419894327542027,0.007316678377603282,-2.5870909579264136,0.05335500184323384,500,1.1102230246251565e-15
driven_dt2p5e-4,257,0,-0.9631910243268651,0.0,1,0.0006148115715096658,0.6176070174101709,0.0,-0.9638058358983748,0.0,500,1.9984014443252818e-15
driven_dt2p5e-4,257,1,-1.8481229631188287,0.0,1,0.017922671497836884,0.393362847374248,0.0,-1.8660456346166656,0.0,500,1.9984014443252818e-15
driven_dt2p5e-4,257,2,-2.0877156713269587,0.0,1,0.22167003671029306,0.393362847374248,0.0,-1.8660456346166656,0.0,500,1.9984014443252818e-15
driven_dt2p5e-4,257,3,-2.6741973789419244,0.0,1,0.0023731244628448778,0.26291825115326795,0.0,-2.6718242544790796,0.0,500,1.9984014443252818e-15
driven_dt2p5e-4,258,0,-0.9631910243268651,0.0,1,0.0006832255161453027,0.6175858913053551,0.0,-0.9638742498430104,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,258,1,-1.8481229631188287,0.0,1,0.0771748150500362,0.41251856257651176,0.0,-1.7709481480687925,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,258,2,-2.0877156713269587,0.0,1,0.31676752325816615,0.41251856257651176,0.0,-1.7709481480687925,0.0,500,1.1102230246251565e-15
driven_dt2p5e-4,258,3,-2.6741973789419244,0.0,1,0.08981193392126474,0.263399524103611,0.011788677913850533,-2.666165507407299,0.08945206825070565,500,1.1102230246251565e-15
driven_dt2p5e-4,259,0,-0.9631910243268651,0.0,1,0.01151038252383374,0.6142515750345346,0.0,-0.9747014068506988,0.0,500,3.552713678800501e-15
driven_dt2p5e-4,259,1,-1.8481229631188287,0.0,1,0.10224975961205951,0.3771220660307555,0.0,-1.9503727227308882,0.0,500,3.552713678800501e-15
driven_dt2p5e-4,259,2,-2.0877156713269587,0.0,1,0.08229647886176528,0.3378997331157141,0.0,-2.170012150188724,0.0,500,3.552713678800501e-15
driven_dt2p5e-4,259,3,-2.6741973789419244,0.0,1,0.013810951800249605,0.2607992915530326,0.0,-2.688008330742174,0.0,500,3.552713678800501e-15
driven_dt2p5e-4,260,0,-0.9631910243268651,0.0,1,0.009644662770550205,0.6148248530354975,0.0,-0.9728356870974153,0.0,500,5.995204332975845e-15
driven_dt2p5e-4,260,1,-1.8481229631188287,0.0,1,0.17370929970865356,0.3638854599200988,0.0,-2.0218322628274823,0.0,500,5.995204332975845e-15
driven_dt2p5e-4,260,2,-2.0877156713269587,0.0,1,0.06588340849947638,0.3638854599200988,0.0,-2.0218322628274823,0.0,500,5.995204332975845e-15
driven_dt2p5e-4,260,3,-2.6741973789419244,0.0,1,0.0505355360160622,0.26932648903173384,0.0,-2.6236618429258622,0.0,500,5.995204332975845e-15
driven_dt2p5e-4,261,0,-0.9631910243268651,0.0,1,0.005010847125729523,0.6162509970310283,0.0,-0.9682018714525946,0.0,500,4.440892098500626e-16
driven_dt2p5e-4,261,1,-1.8481229631188287,0.0,1,0.0251345884136438,0.39194695165254356,0.0,-1.8732575515324725,0.0,500,4.440892098500626e-16
driven_dt2p5e-4,261,2,-2.0877156713269587,0.0,1,0.041557568985353566,0.34485314468379064,0.0,-2.1292732403123122,0.0,500,4.440892098500626e-16
driven_dt2p5e-4,261,3,-2.6741973789419244,0.0,1,0.003053150884560818,0.2622058845522756,0.0,-2.6772505298264853,0.0,500,4.440892098500626e-16
driven_dt2p5e-4,262,0,-0.9631910243268651,0.0,1,0.01841389026074869,0.6235111899482856,0.0,-0.9447771340661164,0.0,500,8.881784197001252e-16
driven_dt2p5e-4,262,1,-1.8481229631188287,0.0,1,0.12729885110461248,0.42298775175919295,0.0,-1.7208241120142163,0.0,500,8.881784197001252e-16
driven_dt2p5e-4,262,2,-2.0877156713269587,0.0,1,0.09505490733455768,0.36923189817458413,0.0,-1.992660763992401,0.0,500,8.881784197001252e-16
driven_dt2p5e-4,262,3,-2.6741973789419244,0.0,1,0.010509973276212836,0.2639900930586728,0.0,-2.6636874056657116,0.0,500,8.881784197001252e-16
driven_dt2p5e-4,263,0,-0.9631910243268651,0.0,1,0.00753735667955957,0.6154730065188262,0.0,-0.9707283810064247,0.0,500,2.220446049250313e-15
driven_dt2p5e-4,263,1,-1.8481229631188287,0.0,1,0.02402323347161084,0.40169994890106847,0.0,-1.824099729647218,0.0,500,2.220446049250313e-15
driven_dt2p5e-4,263,2,-2.0877156713269587,0.0,1,0.2636159416797408,0.40169994890106847,0.0,-1.824099729647218,0.0,500,2.220446049250313e-15
driven_dt2p5e-4,263,3,-2.6741973789419244,0.0,1,0.02228997875057903,0.26554958362272124,0.0,-2.6519074001913454,0.0,500,2.220446049250313e-15
driven_dt2p5e-4,264,0,-0.9631910243268651,0.0,1,0.01810874686983699,0.6234160670456153,0.0,-0.9450822774570281,0.0,500,8.215650382226158e-15
driven_dt2p5e-4,264,1,-1.8481229631188287,0.0,1,0.02450868470393064,0.4017974636028562,0.0,-1.823614278414898,0.0,500,8.215650382226158e-15
driven_dt2p5e-4,264,2,-2.0877156713269587,0.0,1,0.2641013929120606,0.4017974636028562,0.0,-1.823614278414898,0.0,500,8.215650382226158e-15
driven_dt2p5e-4,264,3,-2.6741973789419244,0.0,1,0.030422978010368418,0.26663163950505386,0.0,-2.643774400931556,0.0,500,8.215650382226158e-15
driven_dt2p5e-4,265,0,-0.9631910243268651,0.0,1,0.00904084602811972,0.6205959275235137,0.0,-0.9541501782987454,0.0,500,7.771561172376096e-16
