case,mode,reference_real,reference_imag,dictionary,lambda_real,lambda_imag,pass,real_range,real_tolerance,imag_range,imag_tolerance
driven_dt1e-3,5,-2.7189907205137063,0.0,D3,-2.7189907205137063,0.0,True,0.0723875805139973,0.5569096732934987,0.0,0.5
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,D1,-4.086026010187756,4.128581735811109,False,1.5028508420500186,0.8172052020375512,2.154603571368477,1.0741390851992774
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,D2,-4.463325022405554,6.283185307179586,False,1.5028508420500186,0.8172052020375512,2.154603571368477,1.0741390851992774
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,D3,-2.9604741803555354,5.370695425996387,False,1.5028508420500186,0.8172052020375512,2.154603571368477,1.0741390851992774
driven_dt2p5e-4,0,-0.9631910243268651,0.0,D1,-1.1250044380296393,0.0,True,0.16181341370277424,0.22236316769120612,0.0,0.5
driven_dt2p5e-4,0,-0.9631910243268651,0.0,D2,-1.1118158384560306,0.0,True,0.16181341370277424,0.22236316769120612,0.0,0.5
driven_dt2p5e-4,0,-0.9631910243268651,0.0,D3,-0.9631910243268651,0.0,True,0.16181341370277424,0.22236316769120612,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,D1,-2.1364127760609333,0.0,True,0.28828981294210454,0.4245646130852445,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,D2,-2.1228230654262226,0.0,True,0.28828981294210454,0.4245646130852445,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,D3,-1.8481229631188287,0.0,True,0.28828981294210454,0.4245646130852445,0.0,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,D1,-2.1364127760609333,0.0,True,0.048697104733974594,0.4245646130852445,0.0,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,D2,-2.1228230654262226,0.0,True,0.048697104733974594,0.4245646130852445,0.0,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,D3,-2.0877156713269587,0.0,True,0.048697104733974594,0.4245646130852445,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,D1,-2.981890894091869,0.0,True,0.3076935151499445,0.5938679783777029,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,D2,-2.9693398918885143,0.0,True,0.3076935151499445,0.5938679783777029,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,D3,-2.6741973789419244,0.0,True,0.3076935151499445,0.5938679783777029,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,D1,-1.1357067206187201,0.0,True,0.18055778808619016,0.224630264784479,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,D2,-1.123151323922395,0.0,True,0.18055778808619016,0.224630264784479,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,D3,-0.95514893253253,0.0,True,0.18055778808619016,0.224630264784479,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,D1,-2.2638908505140174,0.0,True,0.3376492665349762,0.4474204840728919,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,D2,-2.2371024203644594,0.0,True,0.3376492665349762,0.4474204840728919,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,D3,-1.9262415839790412,0.0,True,0.3376492665349762,0.4474204840728919,0.0,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,D1,-2.2638908505140174,0.0,True,0.026788430149558007,0.4479953448682009,0.0,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,D2,-2.2371024203644594,0.0,True,0.026788430149558007,0.4479953448682009,0.0,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,D3,-2.2399767243410045,0.0,True,0.026788430149558007,0.4479953448682009,0.0,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,D1,-2.8902323322043375,0.0,True,0.05641458249006481,0.5700830254191115,0.0,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,D2,-2.850415127095557,0.0,True,0.05641458249006481,0.5700830254191115,0.0,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,D3,-2.8338177497142727,0.0,True,0.05641458249006481,0.5700830254191115,0.0,0.5
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,D1,-3.818787902425348,4.528394500458517,False,0.8704967890593709,0.7637575804850697,0.9162480413605163,0.8820116403669044
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,D2,-3.85473216097262,4.410058201834522,False,0.8704967890593709,0.7637575804850697,0.9162480413605163,0.8820116403669044
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,D3,-2.984235371913249,3.6121464590980006,False,0.8704967890593709,0.7637575804850697,0.9162480413605163,0.8820116403669044
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,D1,-1.1121014077977727,0.0,True,0.17134300364599098,0.21959904896717727,0.0,0.5
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,D2,-1.0979952448358863,0.0,True,0.17134300364599098,0.21959904896717727,0.0,0.5
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,D3,-0.9407584041517817,0.0,True,0.17134300364599098,0.21959904896717727,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,D1,-2.166538213387717,0.0,True,0.3739324586826618,0.43321483094944907,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,D2,-2.1660741547472453,0.0,True,0.3739324586826618,0.43321483094944907,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,D3,-1.7926057547050551,0.0,True,0.3739324586826618,0.43321483094944907,0.0,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,D1,-2.166538213387717,0.0,True,0.014898779928864236,0.43321483094944907,0.0,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,D2,-2.1660741547472453,0.0,True,0.014898779928864236,0.43321483094944907,0.0,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,D3,-2.1516394334588527,0.0,True,0.014898779928864236,0.43321483094944907,0.0,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,D1,-2.799290215006972,0.0,True,0.2703967245849128,0.5598580430013944,0.0,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,D2,-2.814167816512956,0.0,True,0.2703967245849128,0.5598580430013944,0.0,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,D3,-2.5437710919280434,0.0,True,0.2703967245849128,0.5598580430013944,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,D1,-2.799290215006972,0.0,True,0.06324748620081433,0.5628335633025913,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,D2,-2.814167816512956,0.0,True,0.06324748620081433,0.5628335633025913,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,D3,-2.862537701207786,0.0,True,0.06324748620081433,0.5628335633025913,0.0,0.5
